Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_1	C1CC1	InChI=1S/C3H6/c1-2-3-1/h1-3H2	LVZWSLJZHVFIQJ-UHFFFAOYSA-N	42.080999999999996
Schrodinger_fragment_2	C1CCCC1	InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2	RGSFGYAAUTVSQA-UHFFFAOYSA-N	70.135
Schrodinger_fragment_3	C1CCCCC1	InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2	XDTMQSROBMDMFD-UHFFFAOYSA-N	84.162
Schrodinger_fragment_4	C1C[C@H]2CC[C@@H]1C2	InChI=1S/C7H12/c1-2-7-4-3-6(1)5-7/h6-7H,1-5H2/t6-,7+	UMRZSTCPUPJPOJ-KNVOCYPGSA-N	96.17299999999999
Schrodinger_fragment_5	C1CC2CCC1CC2	InChI=1S/C8H14/c1-2-8-5-3-7(1)4-6-8/h7-8H,1-6H2/t7-,8+	GPRLTFBKWDERLU-OCAPTIKFSA-N	110.19999999999999
Schrodinger_fragment_6	CO	InChI=1S/CH4O/c1-2/h2H,1H3	OKKJLVBELUTLKV-UHFFFAOYSA-N	32.042
Schrodinger_fragment_7	COC	InChI=1S/C2H6O/c1-3-2/h1-2H3	LCGLNKUTAGEVQW-UHFFFAOYSA-N	46.069
Schrodinger_fragment_8	C[NH3+]	InChI=1S/CH5N/c1-2/h2H2,1H3/p+1	BAVYZALUXZFZLV-UHFFFAOYSA-O	32.066
Schrodinger_fragment_9	C[NH2+]C	InChI=1S/C2H7N/c1-3-2/h3H,1-2H3/p+1	ROSDSFDQCJNGOL-UHFFFAOYSA-O	46.092999999999996
Schrodinger_fragment_10	C[NH+](C)C	InChI=1S/C3H9N/c1-4(2)3/h1-3H3/p+1	GETQZCLCWQTVFV-UHFFFAOYSA-O	60.120000000000005
Schrodinger_fragment_11	CS	InChI=1S/CH4S/c1-2/h2H,1H3	LSDPWZHWYPCBBB-UHFFFAOYSA-N	48.11000000000001
Schrodinger_fragment_11_a	C[S-]	InChI=1S/CH4S/c1-2/h2H,1H3/p-1	LSDPWZHWYPCBBB-UHFFFAOYSA-M	47.102000000000004
Schrodinger_fragment_12	CC#N	InChI=1S/C2H3N/c1-2-3/h1H3	WEVYAHXRMPXWCK-UHFFFAOYSA-N	41.053
Schrodinger_fragment_13	CC(C)=O	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	CSCPPACGZOOCGX-UHFFFAOYSA-N	58.08
Schrodinger_fragment_14	CC(=O)[O-]	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1	QTBSBXVTEAMEQO-UHFFFAOYSA-M	59.044000000000004
Schrodinger_fragment_15	CC(N)=O	InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)	DLFVBJFMPXGRIB-UHFFFAOYSA-N	59.068
Schrodinger_fragment_16	CNC(C)=O	InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)	OHLUUHNLEMFGTQ-UHFFFAOYSA-N	73.095
Schrodinger_fragment_17	CC(=O)N(C)C	InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3	FXHOOIRPVKKKFG-UHFFFAOYSA-N	87.122
Schrodinger_fragment_18	CNC(N)=O	InChI=1S/C2H6N2O/c1-4-2(3)5/h1H3,(H3,3,4,5)	XGEGHDBEHXKFPX-UHFFFAOYSA-N	74.083
