Name	SMILES	InChI	InChIKey	Molecular Weight
Biofocus 037_0043_0061	c1ccc(-c2ccc(Nc3cccnc3)nc2)cc1	InChI=1S/C16H13N3/c1-2-5-13(6-3-1)14-8-9-16(18-11-14)19-15-7-4-10-17-12-15/h1-12H,(H,18,19)	HFSLBGAPAWCZDR-UHFFFAOYSA-N	247.30100000000002
Enamine T0509-1199	Cc1ccc(/C=N/c2ccc(F)c(F)c2)o1	InChI=1S/C12H9F2NO/c1-8-2-4-10(16-8)7-15-9-3-5-11(13)12(14)6-9/h2-7H,1H3/b15-7+	YBGITAHVLRWXIE-VIZOYTHASA-N	221.20599999999996
Chembridge 6201046	O=C(Nc1ccc(F)c([N+](=O)[O-])c1)c1ccc2ccccc2c1	InChI=1S/C17H11FN2O3/c18-15-8-7-14(10-16(15)20(22)23)19-17(21)13-6-5-11-3-1-2-4-12(11)9-13/h1-10H,(H,19,21)	MEORFLZLMYGJFW-UHFFFAOYSA-N	310.284
Biofocus 190_4347_4140	COCCCNc1[nH+]ccn2c(-c3cccc(OC)c3)cnc12	InChI=1S/C17H20N4O2/c1-22-10-4-7-18-16-17-20-12-15(21(17)9-8-19-16)13-5-3-6-14(11-13)23-2/h3,5-6,8-9,11-12H,4,7,10H2,1-2H3,(H,18,19)/p+1	NVRWYWHUDPTUGQ-UHFFFAOYSA-O	313.3810000000001
ASDI 100027720	Cn1nc(SC(N)=[NH2+])c(=O)n(C)c1=O	InChI=1S/C6H9N5O2S/c1-10-4(12)3(14-5(7)8)9-11(2)6(10)13/h1-2H3,(H3,7,8)/p+1	SNNHSUNWRIOCTG-UHFFFAOYSA-O	216.24599999999998
Sigma-Aldrich (SALOR) S643106	O=C1CC[C@@H]2[C@H]3c4ccccc4[C@H](c4ccccc43)[C@H]12	InChI=1S/C19H16O/c20-16-10-9-15-17-11-5-1-3-7-13(11)18(19(15)16)14-8-4-2-6-12(14)17/h1-8,15,17-19H,9-10H2/t15-,17-,18+,19+/m1/s1	CHBGCZKQJQWZDP-YSHGAJCASA-N	260.336
Chembridge 5143016	Cc1ccc(C(=O)N[C@H](NC(=S)Nc2ccccc2)C(Cl)(Cl)Cl)cc1	InChI=1S/C17H16Cl3N3OS/c1-11-7-9-12(10-8-11)14(24)22-15(17(18,19)20)23-16(25)21-13-5-3-2-4-6-13/h2-10,15H,1H3,(H,22,24)(H2,21,23,25)/t15-/m1/s1	TVKOALQPTNHEIA-OAHLLOKOSA-N	416.76100000000014
Specs AG-690/11739215	COc1ccc([C@@H]2NC(=O)NC(C)=C2C(=O)Nc2ccc(Cl)cc2)cc1	InChI=1S/C19H18ClN3O3/c1-11-16(18(24)22-14-7-5-13(20)6-8-14)17(23-19(25)21-11)12-3-9-15(26-2)10-4-12/h3-10,17H,1-2H3,(H,22,24)(H2,21,23,25)/t17-/m0/s1	KMRAXDOZUOTNST-KRWDZBQOSA-N	371.82400000000007
Maybridge SP 00835	Nc1cc(-c2ccc(Cl)cc2)nn1-c1ccc(F)cc1	InChI=1S/C15H11ClFN3/c16-11-3-1-10(2-4-11)14-9-15(18)20(19-14)13-7-5-12(17)6-8-13/h1-9H,18H2	LTSQSXLNOUAASC-UHFFFAOYSA-N	287.725
ASDI 100083437	CCOC(=O)c1cc(-c2ccccn2)nc2ccc(C)cc12	InChI=1S/C18H16N2O2/c1-3-22-18(21)14-11-17(16-6-4-5-9-19-16)20-15-8-7-12(2)10-13(14)15/h4-11H,3H2,1-2H3	ILOGGQPJUXVPHZ-UHFFFAOYSA-N	292.338
Specs AK-968/13034311	Cc1ccc(C)c(C(=O)COC(=O)c2cc3ccccc3cc2O)c1	InChI=1S/C21H18O4/c1-13-7-8-14(2)17(9-13)20(23)12-25-21(24)18-10-15-5-3-4-6-16(15)11-19(18)22/h3-11,22H,12H2,1-2H3	HGGAOFCVBOPVHT-UHFFFAOYSA-N	334.37100000000004
Biofocus 103_0255_0057	CC(C)[C@H](CO)Nc1nccnc1-c1ccc2ccccc2c1	InChI=1S/C19H21N3O/c1-13(2)17(12-23)22-19-18(20-9-10-21-19)16-8-7-14-5-3-4-6-15(14)11-16/h3-11,13,17,23H,12H2,1-2H3,(H,21,22)/t17-/m0/s1	KUGFFEODCKBZJQ-KRWDZBQOSA-N	307.39700000000005
Biofocus 103_0231_0068	c1cncc(CCNc2nccnc2-c2ccc3c(c2)OCO3)c1	InChI=1S/C18H16N4O2/c1-2-13(11-19-6-1)5-7-21-18-17(20-8-9-22-18)14-3-4-15-16(10-14)24-12-23-15/h1-4,6,8-11H,5,7,12H2,(H,21,22)	WGIMASWTTVDWPQ-UHFFFAOYSA-N	320.3520000000001
Biofocus 103_0360_0280	COc1ccc(-c2nccnc2NCc2cccc(C)c2)cc1	InChI=1S/C19H19N3O/c1-14-4-3-5-15(12-14)13-22-19-18(20-10-11-21-19)16-6-8-17(23-2)9-7-16/h3-12H,13H2,1-2H3,(H,21,22)	ZOFZJGJYALPTEN-UHFFFAOYSA-N	305.38100000000003
Bionet 11H-401S	O=C(Nc1cccc(C(F)(F)F)c1)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-]	InChI=1S/C18H10F4N2O4S/c19-11-4-5-14(13(9-11)24(26)27)28-15-6-7-29-16(15)17(25)23-12-3-1-2-10(8-12)18(20,21)22/h1-9H,(H,23,25)	YBEIGMMJMASHAI-UHFFFAOYSA-N	426.34700000000004
Bionet 10H-447	COc1ccc(N2C(=O)N(C(C)C)[C@@H](O)[C@@H]2O)cc1Cl	InChI=1S/C13H17ClN2O4/c1-7(2)15-11(17)12(18)16(13(15)19)8-4-5-10(20-3)9(14)6-8/h4-7,11-12,17-18H,1-3H3/t11-,12-/m0/s1	HCCLMVJNZFENBI-RYUDHWBXSA-N	300.7420000000001
