Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_72_a	C[NH+]1CCN(S(C)(=O)=O)CC1	InChI=1S/C6H14N2O2S/c1-7-3-5-8(6-4-7)11(2,9)10/h3-6H2,1-2H3/p+1	YDOGEBDDNZDNJY-UHFFFAOYSA-O	179.26500000000001
Schrodinger_fragment_249_a	C[N@@H+]1CCC[C@@]12CCN=C2[O-]	InChI=1S/C8H14N2O/c1-10-6-2-3-8(10)4-5-9-7(8)11/h2-6H2,1H3,(H,9,11)/t8-/m0/s1	SZPVVHGAXYSIOO-QMMMGPOBSA-N	154.21300000000002
Schrodinger_fragment_254_a	C[N@H+]1CCC[C@]12CCN=C2[O-]	InChI=1S/C8H14N2O/c1-10-6-2-3-8(10)4-5-9-7(8)11/h2-6H2,1H3,(H,9,11)/t8-/m1/s1	SZPVVHGAXYSIOO-MRVPVSSYSA-N	154.21300000000002
Schrodinger_fragment_255_a	C[N@@H+]1CCC[C@]12CCN=C2[O-]	InChI=1S/C8H14N2O/c1-10-6-2-3-8(10)4-5-9-7(8)11/h2-6H2,1H3,(H,9,11)/t8-/m1/s1	SZPVVHGAXYSIOO-MRVPVSSYSA-N	154.21300000000002
Schrodinger_fragment_288	CN1C(=O)N(C)C2(CC[NH2+]CC2)C1=O	InChI=1S/C9H15N3O2/c1-11-7(13)9(12(2)8(11)14)3-5-10-6-4-9/h10H,3-6H2,1-2H3/p+1	OYRDVMVXXOKKJB-UHFFFAOYSA-O	198.24599999999998
Schrodinger_fragment_167	CNC(N)=[NH2+]	InChI=1S/C2H7N3/c1-5-2(3)4/h1H3,(H4,3,4,5)/p+1	CHJJGSNFBQVOTG-UHFFFAOYSA-O	74.10700000000001
Schrodinger_fragment_289	CN1C(=O)N(C)C2(CC[NH+](C)CC2)C1=O	InChI=1S/C10H17N3O2/c1-11-6-4-10(5-7-11)8(14)12(2)9(15)13(10)3/h4-7H2,1-3H3/p+1	MQAHXZAPDFVSQR-UHFFFAOYSA-O	212.273
Schrodinger_fragment_248_a	C[N@H+]1CCC[C@@]12CCN=C2[O-]	InChI=1S/C8H14N2O/c1-10-6-2-3-8(10)4-5-9-7(8)11/h2-6H2,1H3,(H,9,11)/t8-/m0/s1	SZPVVHGAXYSIOO-QMMMGPOBSA-N	154.21300000000002
Schrodinger_fragment_254	C[N@H+]1CCC[C@]12CCNC2=O	InChI=1S/C8H14N2O/c1-10-6-2-3-8(10)4-5-9-7(8)11/h2-6H2,1H3,(H,9,11)/p+1/t8-/m1/s1	SZPVVHGAXYSIOO-MRVPVSSYSA-O	155.221
Schrodinger_fragment_403	CN1C[C@H]2N(CCC[N@H+]2C)CC1=O	InChI=1S/C9H17N3O/c1-10-4-3-5-12-7-9(13)11(2)6-8(10)12/h8H,3-7H2,1-2H3/p+1/t8-/m1/s1	JOCPCMZUIOZPLT-MRVPVSSYSA-O	184.263
Schrodinger_fragment_250	CN1CC[C@@]2(CCC[N@@H+]2C)C1=O	InChI=1S/C9H16N2O/c1-10-7-5-9(8(10)12)4-3-6-11(9)2/h3-7H2,1-2H3/p+1/t9-/m0/s1	SEUYLPMIUZZDAT-VIFPVBQESA-O	169.24800000000002
Schrodinger_fragment_52_a	[NH-]S(=O)(=O)c1ccccc1	InChI=1S/C6H6NO2S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H,(H-,7,8,9)/q-1	FSWYPKXSWMHLRG-UHFFFAOYSA-N	156.186
Schrodinger_fragment_351_a	CN1CCC2(CC1)CC[NH+](C)CC2	InChI=1S/C11H22N2/c1-12-7-3-11(4-8-12)5-9-13(2)10-6-11/h3-10H2,1-2H3/p+1	OVZDLBJWXQEACI-UHFFFAOYSA-O	183.31900000000002
Schrodinger_fragment_252	CN1CC[C@@]2(CCC[NH2+]2)C1=O	InChI=1S/C8H14N2O/c1-10-6-4-8(7(10)11)3-2-5-9-8/h9H,2-6H2,1H3/p+1/t8-/m0/s1	ZUHZYCRQHHCTHF-QMMMGPOBSA-O	155.221
Schrodinger_fragment_71	CS(=O)(=O)N1CCNCC1	InChI=1S/C5H12N2O2S/c1-10(8,9)7-4-2-6-3-5-7/h6H,2-5H2,1H3	ZZAKLGGGMWORRT-UHFFFAOYSA-N	164.23000000000002
Schrodinger_fragment_71_a	CS(=O)(=O)N1CC[NH2+]CC1	InChI=1S/C5H12N2O2S/c1-10(8,9)7-4-2-6-3-5-7/h6H,2-5H2,1H3/p+1	ZZAKLGGGMWORRT-UHFFFAOYSA-O	165.238
Schrodinger_fragment_169	NC(=[NH2+])c1ccccc1	InChI=1S/C7H8N2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H3,8,9)/p+1	PXXJHWLDUBFPOL-UHFFFAOYSA-O	121.16300000000001
Schrodinger_fragment_290_a	CN1C(=O)NC(=O)C12CC[NH+](C)CC2	InChI=1S/C9H15N3O2/c1-11-5-3-9(4-6-11)7(13)10-8(14)12(9)2/h3-6H2,1-2H3,(H,10,13,14)/p+1	WDQXFBROQINCJI-UHFFFAOYSA-O	198.246
Schrodinger_fragment_258	CN1CC[C@]2(CCC[NH2+]2)C1=O	InChI=1S/C8H14N2O/c1-10-6-4-8(7(10)11)3-2-5-9-8/h9H,2-6H2,1H3/p+1/t8-/m1/s1	ZUHZYCRQHHCTHF-MRVPVSSYSA-O	155.221
Schrodinger_fragment_404	CN1C[C@@H]2N(CCC[N@H+]2C)CC1=O	InChI=1S/C9H17N3O/c1-10-4-3-5-12-7-9(13)11(2)6-8(10)12/h8H,3-7H2,1-2H3/p+1/t8-/m0/s1	JOCPCMZUIOZPLT-QMMMGPOBSA-O	184.263
Schrodinger_fragment_400	CN1C[C@@H]2N(CCC[N@@H+]2C)CC1=O	InChI=1S/C9H17N3O/c1-10-4-3-5-12-7-9(13)11(2)6-8(10)12/h8H,3-7H2,1-2H3/p+1/t8-/m0/s1	JOCPCMZUIOZPLT-QMMMGPOBSA-O	184.263
