Name	SMILES	InChI	InChIKey	Molecular Weight
Enamine T0505-3993	O=C(Nc1ccccc1)c1ccccc1NS(=O)(=O)c1ccc(F)cc1	InChI=1S/C19H15FN2O3S/c20-14-10-12-16(13-11-14)26(24,25)22-18-9-5-4-8-17(18)19(23)21-15-6-2-1-3-7-15/h1-13,22H,(H,21,23)	HUESJLIKUQCQAN-UHFFFAOYSA-N	370.40500000000003
Chem T&I AMSACS-17229	COc1ccc(C)cc1NS(=O)(=O)c1cccc2nsnc12	InChI=1S/C14H13N3O3S2/c1-9-6-7-12(20-2)11(8-9)17-22(18,19)13-5-3-4-10-14(13)16-21-15-10/h3-8,17H,1-2H3	OOZVNQYGYOAOBO-UHFFFAOYSA-N	335.4100000000001
Chemical Block A3692/0156694	CN(C)c1nc(N)nc(COC(=O)c2ccc(-n3cnnc3)cc2)n1	InChI=1S/C15H16N8O2/c1-22(2)15-20-12(19-14(16)21-15)7-25-13(24)10-3-5-11(6-4-10)23-8-17-18-9-23/h3-6,8-9H,7H2,1-2H3,(H2,16,19,20,21)	GEHZJNMZLQKLDL-UHFFFAOYSA-N	340.34700000000015
Life Chemicals F0778-0231	COc1ccc(C(=O)Nc2c3c(nn2-c2ccc([N+](=O)[O-])cc2)CSC3)cc1OC	InChI=1S/C20H18N4O5S/c1-28-17-8-3-12(9-18(17)29-2)20(25)21-19-15-10-30-11-16(15)22-23(19)13-4-6-14(7-5-13)24(26)27/h3-9H,10-11H2,1-2H3,(H,21,25)	WHCYJHQNGMYVMN-UHFFFAOYSA-N	426.45400000000024
Princeton Biomolecular OSSK_459353	Cc1cc(OCc2cccc(F)c2)c2c(C)c(CC(=O)[O-])c(=O)oc2c1	InChI=1S/C20H17FO5/c1-11-6-16(25-10-13-4-3-5-14(21)8-13)19-12(2)15(9-18(22)23)20(24)26-17(19)7-11/h3-8H,9-10H2,1-2H3,(H,22,23)/p-1	NCTHILPXUSADNP-UHFFFAOYSA-M	355.341
Toslab 44086	Cc1ccc([C@H](c2nnnn2C(C)(C)C)[NH+]2CCCCC2)cc1	InChI=1S/C18H27N5/c1-14-8-10-15(11-9-14)16(22-12-6-5-7-13-22)17-19-20-21-23(17)18(2,3)4/h8-11,16H,5-7,12-13H2,1-4H3/p+1/t16-/m1/s1	OGYRWWIGOBAZSV-MRXNPFEDSA-O	314.4570000000001
Specs AM-900/15051004	Cc1cccc(/C=N/Nc2cc(N3CCCCC3)nc(N3CCCCC3)n2)c1	InChI=1S/C22H30N6/c1-18-9-8-10-19(15-18)17-23-26-20-16-21(27-11-4-2-5-12-27)25-22(24-20)28-13-6-3-7-14-28/h8-10,15-17H,2-7,11-14H2,1H3,(H,24,25,26)/b23-17+	LCGZXVBJSNULGU-HAVVHWLPSA-N	378.5240000000002
Life Chemicals F2584-0097	COc1ccc(C)cc1NS(=O)(=O)c1cc2c3c(c1)CC(=O)N3CCC2	InChI=1S/C19H20N2O4S/c1-12-5-6-17(25-2)16(8-12)20-26(23,24)15-9-13-4-3-7-21-18(22)11-14(10-15)19(13)21/h5-6,8-10,20H,3-4,7,11H2,1-2H3	FZAPKBOQCLWSDO-UHFFFAOYSA-N	372.4460000000002
Asinex ASN 06235439	COc1ccc(C(=O)NC2CCN(C(=O)Nc3cc(C)cc(C)c3)CC2)cc1	InChI=1S/C22H27N3O3/c1-15-12-16(2)14-19(13-15)24-22(27)25-10-8-18(9-11-25)23-21(26)17-4-6-20(28-3)7-5-17/h4-7,12-14,18H,8-11H2,1-3H3,(H,23,26)(H,24,27)	PSQPODRLTQKUAY-UHFFFAOYSA-N	381.4760000000001
Specs AA-504/36954121	COc1ccc(C(=O)Nc2nnc(COc3cccc4ccccc34)s2)cc1	InChI=1S/C21H17N3O3S/c1-26-16-11-9-15(10-12-16)20(25)22-21-24-23-19(28-21)13-27-18-8-4-6-14-5-2-3-7-17(14)18/h2-12H,13H2,1H3,(H,22,24,25)	VHVORFXAHLVLOE-UHFFFAOYSA-N	391.45200000000006
