Metric	Pocket Detection strategy	TOP-N pockets	Metric value
Coverage	fpocket	1	0.4395
Coverage	fpocket	2	0.5505
Coverage	fpocket	3	0.6191
Coverage	fpocket	5	0.697
Coverage	fpocket	10	0.7862
Coverage	p2rank	1	0.644
Coverage	p2rank	2	0.6951
Coverage	p2rank	3	0.7213
Coverage	p2rank	5	0.7425
Coverage	p2rank	10	0.7662
Coverage	prank	1	0.6072
Coverage	prank	2	0.7163
Coverage	prank	3	0.755
Coverage	prank	5	0.7824
Coverage	prank	10	0.8223
Precision	fpocket	1	0.5348
Precision	fpocket	2	0.3409
Precision	fpocket	3	0.2604
Precision	fpocket	5	0.1812
Precision	fpocket	10	0.1154
Precision	p2rank	1	0.7834
Precision	p2rank	2	0.4264
Precision	p2rank	3	0.2987
Precision	p2rank	5	0.1953
Precision	p2rank	10	0.1229
Precision	prank	1	0.7443
Precision	prank	2	0.4703
Precision	prank	3	0.3425
Precision	prank	5	0.2196
Precision	prank	10	0.1246
