Pocket Set	Outlier molecules	Proportion of PocketVec descriptors with <=N outlier molecules
PDB-LIG	0	0.8802992518703242
PDB-LIG	1	0.9002493765586035
PDB-LIG	2	0.9114713216957606
PDB-LIG	3	0.9226932668329177
PDB-LIG	4	0.9276807980049875
PDB-LIG	5	0.9301745635910225
PDB-LIG	6	0.933291770573566
PDB-LIG	7	0.9370324189526185
PDB-LIG	8	0.940149625935162
PDB-LIG	9	0.940149625935162
PDB-LIG	10	0.9413965087281796
PDB-LIG	11	0.9451371571072319
PDB-LIG	12	0.9457605985037406
PDB-LIG	13	0.9488778054862843
PDB-LIG	14	0.9501246882793017
PDB-LIG	15	0.9507481296758105
PDB-LIG	16	0.9538653366583542
PDB-LIG	17	0.9551122194513716
PDB-LIG	18	0.956359102244389
PDB-LIG	19	0.9576059850374065
PDB-LIG	20	0.9588528678304239
PDB-LIG	21	0.9594763092269327
PDB-LIG	22	0.9600997506234414
PDB-LIG	23	0.9613466334164589
PDB-LIG	24	0.9613466334164589
PDB-LIG	25	0.9613466334164589
PDB-LIG	26	0.9619700748129676
PDB-LIG	27	0.9644638403990025
PDB-LIG	28	0.96571072319202
PDB-LIG	29	0.96571072319202
PDB-LIG	30	0.96571072319202
PDB-LIG	31	0.96571072319202
PDB-LIG	32	0.9663341645885287
PDB-LIG	33	0.9669576059850374
PDB-LIG	34	0.9675810473815462
PDB-LIG	35	0.9675810473815462
PDB-LIG	36	0.9682044887780549
PDB-LIG	37	0.9682044887780549
PDB-LIG	38	0.9682044887780549
PDB-LIG	39	0.970074812967581
PDB-LIG	40	0.9713216957605985
PDB-LIG	41	0.972568578553616
PDB-LIG	42	0.972568578553616
PDB-LIG	43	0.9731920199501247
PDB-LIG	44	0.9744389027431422
PDB-LIG	45	0.9744389027431422
PDB-LIG	46	0.9750623441396509
PDB-LIG	47	0.9750623441396509
PDB-LIG	48	0.9763092269326683
PDB-LIG	49	0.976932668329177
PDB-LIG	50	0.9788029925187033
PDB-LIG	51	0.9806733167082294
PDB-LIG	52	0.9806733167082294
PDB-LIG	53	0.9812967581047382
PDB-LIG	54	0.9812967581047382
PDB-LIG	55	0.9812967581047382
PDB-LIG	56	0.9825436408977556
PDB-LIG	57	0.9844139650872819
PDB-LIG	58	0.9869077306733167
PDB-LIG	59	0.9869077306733167
PDB-LIG	60	0.9875311720698254
PDB-LIG	61	0.9881546134663342
PDB-LIG	62	0.9881546134663342
PDB-LIG	63	0.9881546134663342
PDB-LIG	64	0.9881546134663342
PDB-LIG	65	0.9881546134663342
PDB-LIG	66	0.9881546134663342
PDB-LIG	67	0.9881546134663342
PDB-LIG	68	0.9887780548628429
PDB-LIG	69	0.9887780548628429
PDB-LIG	70	0.9887780548628429
PDB-LIG	71	0.9887780548628429
PDB-LIG	72	0.9906483790523691
PDB-LIG	73	0.9912718204488778
PDB-LIG	74	0.9925187032418953
PDB-LIG	75	0.993142144638404
PDB-LIG	76	0.9937655860349127
PDB-LIG	77	0.9937655860349127
PDB-LIG	78	0.9937655860349127
PDB-LIG	79	0.9937655860349127
PDB-LIG	80	0.9937655860349127
PDB-LIG	81	0.9943890274314214
PDB-LIG	82	0.9943890274314214
PDB-LIG	83	0.9950124688279302
PDB-LIG	84	0.9950124688279302
PDB-LIG	85	0.9956359102244389
PDB-LIG	86	0.9956359102244389
PDB-LIG	87	0.9956359102244389
PDB-LIG	88	0.9956359102244389
PDB-LIG	89	0.9956359102244389
PDB-LIG	90	0.9956359102244389
PDB-LIG	91	0.9956359102244389
PDB-LIG	92	0.9968827930174564
PDB-LIG	93	0.9968827930174564
PDB-LIG	94	0.9968827930174564
PDB-LIG	95	0.9968827930174564
PDB-LIG	96	0.9968827930174564
PDB-LIG	97	0.9968827930174564
PDB-LIG	98	0.9968827930174564
PDB-LIG	99	0.9968827930174564
PDB-LIG	100	0.9975062344139651
PDB-LIG	101	0.9975062344139651
PDB-LIG	102	0.9975062344139651
PDB-LIG	103	0.9975062344139651
PDB-LIG	104	0.9975062344139651
PDB-LIG	105	0.9975062344139651
PDB-LIG	106	0.9975062344139651
PDB-LIG	107	0.9981296758104738
PDB-LIG	108	0.9981296758104738
PDB-LIG	109	0.9981296758104738
PDB-LIG	110	0.9981296758104738
PDB-LIG	111	0.9981296758104738
PDB-LIG	112	0.9981296758104738
PDB-LIG	113	0.9981296758104738
PDB-LIG	114	0.9981296758104738
PDB-LIG	115	0.9987531172069826
PDB-LIG	116	0.9993765586034913
PDB-LIG	117	0.9993765586034913
PDB-LIG	118	0.9993765586034913
PDB-LIG	119	0.9993765586034913
PDB-LIG	120	0.9993765586034913
PDB-LIG	121	1.0
PDB-LIG	122	1.0
PDB-LIG	123	1.0
PDB-LIG	124	1.0
PDB-LIG	125	1.0
PDB-LIG	126	1.0
PDB-LIG	127	1.0
PDB-PD	0	0.970096440713245
PDB-PD	1	0.9775896759869562
PDB-PD	2	0.981197530007632
PDB-PD	3	0.9831402206341497
PDB-PD	4	0.9842503295635884
PDB-PD	5	0.9852910566849372
PDB-PD	6	0.9858461111496566
PDB-PD	7	0.9866786928467356
PDB-PD	8	0.9871643655033651
PDB-PD	9	0.9876500381599944
PDB-PD	10	0.9882050926247138
PDB-PD	11	0.9886213834732533
PDB-PD	12	0.9891070561298827
PDB-PD	13	0.9893152015541525
PDB-PD	14	0.9895927287865122
PDB-PD	15	0.989731492402692
PDB-PD	16	0.9900090196350517
PDB-PD	17	0.9903559286755013
PDB-PD	18	0.9904946922916811
PDB-PD	19	0.990564074099771
PDB-PD	20	0.9907028377159509
PDB-PD	21	0.9908416013321307
PDB-PD	22	0.9909109831402206
PDB-PD	23	0.9911191285644904
PDB-PD	24	0.9913966557968501
PDB-PD	25	0.9916741830292097
PDB-PD	26	0.9918129466453895
PDB-PD	27	0.9919517102615694
PDB-PD	28	0.9920210920696594
PDB-PD	29	0.9920904738777493
PDB-PD	30	0.992298619302019
PDB-PD	31	0.992298619302019
PDB-PD	32	0.9924373829181988
PDB-PD	33	0.9925761465343786
PDB-PD	34	0.9927842919586485
PDB-PD	35	0.9929230555748283
PDB-PD	36	0.993131200999098
PDB-PD	37	0.9932005828071879
PDB-PD	38	0.9934781100395477
PDB-PD	39	0.9936862554638174
PDB-PD	40	0.9937556372719073
PDB-PD	41	0.9937556372719073
PDB-PD	42	0.9937556372719073
PDB-PD	43	0.993963782696177
PDB-PD	44	0.994102546312357
PDB-PD	45	0.9943106917366267
PDB-PD	46	0.9943800735447166
PDB-PD	47	0.9945188371608964
PDB-PD	48	0.9947269825851661
PDB-PD	49	0.9947963643932561
PDB-PD	50	0.994935128009436
PDB-PD	51	0.994935128009436
PDB-PD	52	0.994935128009436
PDB-PD	53	0.9950045098175259
PDB-PD	54	0.9950045098175259
PDB-PD	55	0.9950045098175259
PDB-PD	56	0.9951432734337057
PDB-PD	57	0.9952820370498855
PDB-PD	58	0.9953514188579754
PDB-PD	59	0.9954208006660653
PDB-PD	60	0.9954901824741553
PDB-PD	61	0.9955595642822452
PDB-PD	62	0.995698327898425
PDB-PD	63	0.9958370915146049
PDB-PD	64	0.9958370915146049
PDB-PD	65	0.9959758551307847
PDB-PD	66	0.9959758551307847
PDB-PD	67	0.9961146187469645
PDB-PD	68	0.9961146187469645
PDB-PD	69	0.9961146187469645
PDB-PD	70	0.9961840005550545
PDB-PD	71	0.9963227641712343
PDB-PD	72	0.9963227641712343
PDB-PD	73	0.996530909595504
PDB-PD	74	0.996600291403594
PDB-PD	75	0.996600291403594
PDB-PD	76	0.996600291403594
PDB-PD	77	0.996600291403594
PDB-PD	78	0.9967390550197738
PDB-PD	79	0.9967390550197738
PDB-PD	80	0.9968778186359537
PDB-PD	81	0.9970165822521335
PDB-PD	82	0.9970859640602234
PDB-PD	83	0.9972941094844932
PDB-PD	84	0.9972941094844932
PDB-PD	85	0.9972941094844932
PDB-PD	86	0.9973634912925831
PDB-PD	87	0.997432873100673
PDB-PD	88	0.997432873100673
PDB-PD	89	0.9975022549087629
PDB-PD	90	0.9975716367168529
PDB-PD	91	0.9975716367168529
PDB-PD	92	0.9976410185249428
PDB-PD	93	0.9977797821411226
PDB-PD	94	0.9979185457573024
PDB-PD	95	0.9979185457573024
PDB-PD	96	0.9979879275653923
PDB-PD	97	0.9979879275653923
PDB-PD	98	0.9980573093734822
PDB-PD	99	0.9981266911815722
PDB-PD	100	0.9981960729896621
PDB-PD	101	0.9981960729896621
PDB-PD	102	0.9982654547977521
PDB-PD	103	0.9982654547977521
PDB-PD	104	0.9982654547977521
PDB-PD	105	0.9982654547977521
PDB-PD	106	0.998334836605842
PDB-PD	107	0.998334836605842
PDB-PD	108	0.9984042184139319
PDB-PD	109	0.9984042184139319
PDB-PD	110	0.9984736002220218
PDB-PD	111	0.9984736002220218
PDB-PD	112	0.9985429820301117
PDB-PD	113	0.9985429820301117
PDB-PD	114	0.9985429820301117
PDB-PD	115	0.9986123638382016
PDB-PD	116	0.9986817456462915
PDB-PD	117	0.9987511274543814
PDB-PD	118	0.9988205092624713
PDB-PD	119	0.9989592728786513
PDB-PD	120	0.9989592728786513
PDB-PD	121	0.9989592728786513
PDB-PD	122	0.9990980364948311
PDB-PD	123	0.9992368001110109
PDB-PD	124	0.9992368001110109
PDB-PD	125	0.9992368001110109
