PocketVec distance cut-off	# of shared compounds	Fisher Test Odds Ratio	Fisher test pvalue	# PocketVec dist <= cut-off & # shared cpds >= cut-off	# PocketVec dist <= cut-off & # shared cpds < cut-off	# PocketVec dist > cut-off & # shared cpds >= cut-off	# PocketVec dist > cut-off & # shared cpds < cut-off
0.05	1	126.966	1.601907576689115e-121	106.0	17.0	96209.0	1959046.0
0.05	2	118.557	3.13682983368473e-121	95.0	28.0	57181.0	1998074.0
0.05	5	187.931	4.86616163961257e-132	84.0	39.0	23288.0	2031967.0
0.05	10	333.785	2.2077202753504965e-127	66.0	57.0	7105.0	2048150.0
0.05	20	732.466	3.0275130727877107e-121	52.0	71.0	2053.0	2053202.0
0.05	50	1156.173	1.5257533243626355e-100	39.0	84.0	825.0	2054430.0
0.05	100	1142.091	8.39391810949928e-71	27.0	96.0	506.0	2054749.0
0.05	200	942.649	1.0431796264091619e-36	14.0	109.0	280.0	2054975.0
0.05	500	1003.736	9.141376419432002e-17	6.0	117.0	105.0	2055150.0
0.05	1000	2025.238	1.2078403881040543e-15	5.0	118.0	43.0	2055212.0
0.1	1	22.15	0.0	618.0	571.0	95697.0	1958492.0
0.1	2	27.829	0.0	525.0	664.0	56751.0	1997438.0
0.1	5	47.976	0.0	418.0	771.0	22954.0	2031235.0
0.1	10	123.123	0.0	346.0	843.0	6825.0	2047364.0
0.1	20	309.624	0.0	259.0	930.0	1846.0	2052343.0
0.1	50	485.476	0.0	168.0	1021.0	696.0	2053493.0
0.1	100	507.308	3.762364664922433e-248	112.0	1077.0	421.0	2053768.0
0.1	200	466.479	2.4807314135302967e-132	60.0	1129.0	234.0	2053955.0
0.1	500	751.771	1.5707050241129577e-79	33.0	1156.0	78.0	2054111.0
0.1	1000	719.854	2.0614438969511104e-34	14.0	1175.0	34.0	2054155.0
0.17	1	1.226	3.059309862996938e-208	46809.0	853005.0	49506.0	1106058.0
0.17	2	1.435	0.0	30078.0	869736.0	27198.0	1128366.0
0.17	5	1.95	0.0	14050.0	885764.0	9322.0	1146242.0
0.17	10	2.905	0.0	4967.0	894847.0	2204.0	1153360.0
0.17	20	4.586	6.682632693903058e-227	1644.0	898170.0	461.0	1155103.0
0.17	50	6.479	4.0018828780734333e-128	721.0	899093.0	143.0	1155421.0
0.17	100	6.324	3.291324467967204e-78	443.0	899371.0	90.0	1155474.0
0.17	200	7.498	2.19597080123272e-49	251.0	899563.0	43.0	1155521.0
0.17	500	12.972	1.17825077984867e-25	101.0	899713.0	10.0	1155554.0
0.17	1000	14.127	4.412650344501473e-12	44.0	899770.0	4.0	1155560.0
