PocketVec distance cut-off	# of shared compounds	Fisher Test Odds Ratio	Fisher test pvalue	# PocketVec dist <= cut-off & # shared cpds >= cut-off	# PocketVec dist <= cut-off & # shared cpds < cut-off	# PocketVec dist > cut-off & # shared cpds >= cut-off	# PocketVec dist > cut-off & # shared cpds < cut-off
0.05	1	13.015	3.1332784025310968e-06	24.0	2.0	65971.0	71553.0
0.05	2	37.802	2.8360204854261555e-13	24.0	2.0	33137.0	104387.0
0.05	3	35.776	4.846841366110796e-16	22.0	4.0	18325.0	119199.0
0.05	4	32.617	2.624078613446828e-16	19.0	7.0	10565.0	126959.0
0.05	5	38.02	6.348904603402767e-17	17.0	9.0	6509.0	131015.0
0.05	10	155.365	1.6023424301435973e-23	14.0	12.0	1025.0	136499.0
0.05	15	159.488	5.067080575503523e-10	5.0	21.0	205.0	137319.0
0.1	1	5.426	1.4826162043478603e-10	65.0	13.0	65930.0	71542.0
0.1	2	7.093	5.1678957589963324e-17	54.0	24.0	33107.0	104365.0
0.1	3	7.999	3.1927034126249998e-18	43.0	35.0	18304.0	119168.0
0.1	4	8.367	4.902907049932134e-16	32.0	46.0	10552.0	126920.0
0.1	5	10.075	1.126386933047334e-15	26.0	52.0	6500.0	130972.0
0.1	10	46.175	4.0009686802081676e-25	20.0	58.0	1019.0	136453.0
0.1	15	77.663	5.519962521335228e-13	8.0	70.0	202.0	137270.0
0.17	1	0.921	1.059307654807546e-13	25336.0	28874.0	40659.0	42681.0
0.17	2	0.916	1.1039995636266673e-11	12543.0	41667.0	20618.0	62722.0
0.17	3	0.906	1.3418445181389138e-09	6858.0	47352.0	11489.0	71851.0
0.17	4	0.893	5.149826444520123e-08	3909.0	50301.0	6675.0	76665.0
0.17	5	0.881	1.2870275911390023e-06	2386.0	51824.0	4140.0	79200.0
0.17	10	0.886	0.06452728757780718	380.0	53830.0	659.0	82681.0
0.17	15	0.836	0.22992461299015454	74.0	54136.0	136.0	83204.0
