Uniprot ID	Compound Name	Binding
O00444	AEW-541	0
O00444	AMG-208	0
O00444	AMG-900	0
O00444	AT-13148	0
O00444	AT-7519	0
O00444	AT-9283	1
O00444	AZD-1208	0
O00444	AZD-7762	0
O00444	AZD-8330	0
O00444	Abemaciclib	0
O00444	Alisertib	0
O00444	Alvocidib	0
O00444	BI-847325	0
O00444	BMS-690514	0
O00444	BMS-754807	1
O00444	Bafetinib	0
O00444	Barasertib_HQPA	0
O00444	Bosutinib	0
O00444	Brivanib_alaninate	0
O00444	CH-5183284	0
O00444	CP-547632	0
O00444	Cerdulatinib	0
O00444	Cobimetinib	0
O00444	Crenolanib	0
O00444	Cyc-116	0
O00444	Dabrafenib	0
O00444	Danusertib	1
O00444	Dasatinib	0
O00444	Defactinib	0
O00444	Dinaciclib	0
O00444	Dovitinib	0
O00444	GDC-0994	0
O00444	GSK-1059615	0
O00444	GSK-2110183	0
O00444	GSK-690693	0
O00444	Galunisertib	0
O00444	Gilteritinib	1
O00444	JNJ-26483327	0
O00444	K-252a	0
O00444	KW-2449	0
O00444	LY-2584702	0
O00444	Lestaurtinib	0
O00444	Linsitinib	0
O00444	Losmapimod	0
O00444	MK-1775	0
O00444	MK-2206	0
O00444	MK-5108	0
O00444	MLN-8054	0
O00444	Milciclib	0
O00444	Momelotinib	0
O00444	Motesanib	0
O00444	OTS-167	0
O00444	Orantinib	0
O00444	P-276-00	0
O00444	PD-325901	0
O00444	PF-03814735	0
O00444	PF-3758309	0
O00444	PF-477736	0
O00444	PF-562271	0
O00444	PH-797804	0
O00444	PHA-793887	0
O00444	Pacritinib	0
O00444	Pexidartinib	0
O00444	Pimasertib	0
O00444	Ponatinib	0
O00444	R-547	0
O00444	RDEA-436	0
O00444	RGB-286638	0
O00444	Ro-4987655	0
O00444	Ro-5126766	0
O00444	Ruboxistaurin	0
O00444	SAR-407899	0
O00444	SB-1317	0
O00444	SCH-900776	0
O00444	SGI-1776	0
O00444	Sapanisertib	0
O00444	Silmitasertib	0
O00444	Sonolisib	0
O00444	Sotrastaurin	0
O00444	TAK-733	0
O00444	TAK-901	0
O00444	TG-100572	0
O00444	Talmapimod	0
O00444	Tanzisertib	0
O00444	Tesevatinib	0
O00444	Tozasertib	0
O00444	Trametinib	0
O00444	UCN-01	0
O00444	Uprosertib	0
O00444	VX-702	0
O00444	XL-019	0
O00444	XL-228	1
O00444	XL-413	0
O00444	Y-39983	0
O14578	AEW-541	0
O14578	AMG-208	0
O14578	AMG-900	0
O14578	AT-13148	0
O14578	AT-7519	0
O14578	AT-9283	0
O14578	AZD-1208	0
O14578	AZD-7762	0
O14578	AZD-8330	0
O14578	Abemaciclib	0
O14578	Alisertib	0
O14578	Alvocidib	0
O14578	BI-847325	0
O14578	BMS-690514	0
O14578	BMS-754807	0
O14578	Bafetinib	0
O14578	Barasertib_HQPA	0
O14578	Bosutinib	0
O14578	Brivanib_alaninate	0
O14578	CH-5183284	0
O14578	CP-547632	0
O14578	Cerdulatinib	0
O14578	Cobimetinib	0
O14578	Crenolanib	0
O14578	Cyc-116	0
O14578	Dabrafenib	0
O14578	Danusertib	0
O14578	Dasatinib	0
O14578	Defactinib	0
O14578	Dinaciclib	0
O14578	Dovitinib	0
O14578	GDC-0994	0
O14578	GSK-1059615	0
O14578	GSK-2110183	0
O14578	GSK-690693	0
O14578	Galunisertib	0
O14578	Gilteritinib	0
O14578	JNJ-26483327	0
O14578	K-252a	0
O14578	KW-2449	0
O14578	LY-2584702	0
O14578	Lestaurtinib	0
O14578	Linsitinib	0
O14578	Losmapimod	0
O14578	MK-1775	0
O14578	MK-2206	0
O14578	MK-5108	0
O14578	MLN-8054	0
O14578	Milciclib	0
O14578	Momelotinib	0
O14578	Motesanib	0
O14578	OTS-167	0
O14578	Orantinib	0
O14578	P-276-00	0
O14578	PD-325901	0
O14578	PF-03814735	0
O14578	PF-3758309	0
O14578	PF-477736	0
O14578	PF-562271	0
O14578	PH-797804	0
O14578	PHA-793887	0
O14578	Pacritinib	0
O14578	Pexidartinib	0
O14578	Pimasertib	0
O14578	Ponatinib	0
O14578	R-547	0
O14578	RDEA-436	0
O14578	RGB-286638	0
O14578	Ro-4987655	0
O14578	Ro-5126766	0
O14578	Ruboxistaurin	0
O14578	SAR-407899	0
O14578	SB-1317	0
O14578	SCH-900776	0
O14578	SGI-1776	0
O14578	Sapanisertib	0
O14578	Silmitasertib	0
O14578	Sonolisib	0
O14578	Sotrastaurin	0
O14578	TAK-733	0
O14578	TAK-901	0
O14578	TG-100572	1
O14578	Talmapimod	0
O14578	Tanzisertib	0
O14578	Tesevatinib	0
O14578	Tozasertib	0
O14578	Trametinib	0
O14578	UCN-01	0
O14578	Uprosertib	0
O14578	VX-702	0
O14578	XL-019	0
O14578	XL-228	0
O14578	XL-413	0
O14578	Y-39983	0
O14757	AEW-541	0
O14757	AMG-208	0
O14757	AMG-900	0
O14757	AT-13148	0
O14757	AT-7519	0
O14757	AT-9283	0
O14757	AZD-1208	0
O14757	AZD-7762	1
O14757	AZD-8330	0
O14757	Abemaciclib	0
O14757	Alisertib	0
O14757	Alvocidib	0
O14757	BI-847325	0
O14757	BMS-690514	0
O14757	BMS-754807	0
O14757	Bafetinib	0
O14757	Barasertib_HQPA	0
O14757	Bosutinib	0
O14757	Brivanib_alaninate	0
O14757	CH-5183284	0
O14757	CP-547632	0
O14757	Cerdulatinib	0
O14757	Cobimetinib	0
O14757	Crenolanib	0
O14757	Cyc-116	0
O14757	Dabrafenib	0
O14757	Danusertib	0
O14757	Dasatinib	0
O14757	Defactinib	0
O14757	Dinaciclib	0
O14757	Dovitinib	0
O14757	GDC-0994	0
O14757	GSK-1059615	0
O14757	GSK-2110183	0
O14757	GSK-690693	0
O14757	Galunisertib	0
O14757	Gilteritinib	0
O14757	JNJ-26483327	0
O14757	K-252a	0
O14757	KW-2449	0
O14757	LY-2584702	0
O14757	Lestaurtinib	0
O14757	Linsitinib	0
O14757	Losmapimod	0
O14757	MK-1775	0
O14757	MK-2206	0
O14757	MK-5108	0
O14757	MLN-8054	0
O14757	Milciclib	0
O14757	Momelotinib	0
O14757	Motesanib	0
O14757	OTS-167	0
O14757	Orantinib	0
O14757	P-276-00	0
O14757	PD-325901	0
O14757	PF-03814735	0
O14757	PF-3758309	0
O14757	PF-477736	1
O14757	PF-562271	0
O14757	PH-797804	0
O14757	PHA-793887	0
O14757	Pacritinib	0
O14757	Pexidartinib	0
O14757	Pimasertib	0
O14757	Ponatinib	0
O14757	R-547	0
O14757	RDEA-436	0
O14757	RGB-286638	0
O14757	Ro-4987655	0
O14757	Ro-5126766	0
O14757	Ruboxistaurin	0
O14757	SAR-407899	0
O14757	SB-1317	0
O14757	SCH-900776	1
O14757	SGI-1776	0
O14757	Sapanisertib	0
O14757	Silmitasertib	0
O14757	Sonolisib	0
O14757	Sotrastaurin	0
O14757	TAK-733	0
O14757	TAK-901	0
O14757	TG-100572	0
O14757	Talmapimod	0
O14757	Tanzisertib	0
O14757	Tesevatinib	0
O14757	Tozasertib	0
O14757	Trametinib	0
O14757	UCN-01	0
O14757	Uprosertib	0
O14757	VX-702	0
O14757	XL-019	0
O14757	XL-228	0
O14757	XL-413	0
O14757	Y-39983	0
O14965	AEW-541	0
O14965	AMG-208	0
O14965	AMG-900	1
O14965	AT-13148	0
O14965	AT-7519	0
O14965	AT-9283	1
O14965	AZD-1208	0
O14965	AZD-7762	0
O14965	AZD-8330	0
O14965	Abemaciclib	0
O14965	Alisertib	1
O14965	Alvocidib	0
O14965	BI-847325	0
O14965	BMS-690514	0
O14965	BMS-754807	0
O14965	Bafetinib	0
O14965	Barasertib_HQPA	0
O14965	Bosutinib	0
O14965	Brivanib_alaninate	0
O14965	CH-5183284	0
O14965	CP-547632	0
O14965	Cerdulatinib	0
O14965	Cobimetinib	0
O14965	Crenolanib	0
O14965	Cyc-116	0
O14965	Dabrafenib	0
O14965	Danusertib	1
O14965	Dasatinib	0
O14965	Defactinib	0
O14965	Dinaciclib	0
O14965	Dovitinib	0
O14965	GDC-0994	0
O14965	GSK-1059615	0
O14965	GSK-2110183	0
O14965	GSK-690693	0
O14965	Galunisertib	0
O14965	Gilteritinib	0
O14965	JNJ-26483327	0
O14965	K-252a	1
O14965	KW-2449	0
O14965	LY-2584702	0
O14965	Lestaurtinib	1
O14965	Linsitinib	0
O14965	Losmapimod	0
O14965	MK-1775	0
O14965	MK-2206	0
O14965	MK-5108	1
O14965	MLN-8054	1
O14965	Milciclib	0
O14965	Momelotinib	0
O14965	Motesanib	0
O14965	OTS-167	0
O14965	Orantinib	0
O14965	P-276-00	0
O14965	PD-325901	0
O14965	PF-03814735	1
O14965	PF-3758309	0
O14965	PF-477736	0
O14965	PF-562271	0
O14965	PH-797804	0
O14965	PHA-793887	0
O14965	Pacritinib	0
O14965	Pexidartinib	0
O14965	Pimasertib	0
O14965	Ponatinib	0
O14965	R-547	0
O14965	RDEA-436	0
O14965	RGB-286638	0
O14965	Ro-4987655	0
O14965	Ro-5126766	0
O14965	Ruboxistaurin	0
O14965	SAR-407899	0
O14965	SB-1317	0
O14965	SCH-900776	0
O14965	SGI-1776	0
O14965	Sapanisertib	0
O14965	Silmitasertib	0
O14965	Sonolisib	0
O14965	Sotrastaurin	0
O14965	TAK-733	0
O14965	TAK-901	1
O14965	TG-100572	0
O14965	Talmapimod	0
O14965	Tanzisertib	0
O14965	Tesevatinib	0
O14965	Tozasertib	1
O14965	Trametinib	0
O14965	UCN-01	0
O14965	Uprosertib	0
O14965	VX-702	0
O14965	XL-019	0
O14965	XL-228	1
O14965	XL-413	0
O14965	Y-39983	0
O14976	AEW-541	0
O14976	AMG-208	0
O14976	AMG-900	0
O14976	AT-13148	0
O14976	AT-7519	0
O14976	AT-9283	0
O14976	AZD-1208	0
O14976	AZD-7762	0
O14976	AZD-8330	0
O14976	Abemaciclib	0
O14976	Alisertib	0
O14976	Alvocidib	0
O14976	BI-847325	0
O14976	BMS-690514	1
O14976	BMS-754807	0
O14976	Bafetinib	0
O14976	Barasertib_HQPA	0
O14976	Bosutinib	0
O14976	Brivanib_alaninate	0
O14976	CH-5183284	0
O14976	CP-547632	0
O14976	Cerdulatinib	0
O14976	Cobimetinib	0
O14976	Crenolanib	0
O14976	Cyc-116	0
O14976	Dabrafenib	0
O14976	Danusertib	0
O14976	Dasatinib	0
O14976	Defactinib	0
O14976	Dinaciclib	0
O14976	Dovitinib	0
O14976	GDC-0994	0
O14976	GSK-1059615	0
O14976	GSK-2110183	0
O14976	GSK-690693	0
O14976	Galunisertib	0
O14976	Gilteritinib	1
O14976	JNJ-26483327	0
O14976	K-252a	0
O14976	KW-2449	0
O14976	LY-2584702	0
O14976	Lestaurtinib	0
O14976	Linsitinib	0
O14976	Losmapimod	0
O14976	MK-1775	0
O14976	MK-2206	0
O14976	MK-5108	0
O14976	MLN-8054	0
O14976	Milciclib	1
O14976	Momelotinib	0
O14976	Motesanib	0
O14976	OTS-167	1
O14976	Orantinib	0
O14976	P-276-00	0
O14976	PD-325901	0
O14976	PF-03814735	0
O14976	PF-3758309	0
O14976	PF-477736	1
O14976	PF-562271	0
O14976	PH-797804	0
O14976	PHA-793887	0
O14976	Pacritinib	0
O14976	Pexidartinib	0
O14976	Pimasertib	0
O14976	Ponatinib	0
O14976	R-547	0
O14976	RDEA-436	0
O14976	RGB-286638	1
O14976	Ro-4987655	0
O14976	Ro-5126766	0
O14976	Ruboxistaurin	0
O14976	SAR-407899	0
O14976	SB-1317	0
O14976	SCH-900776	0
O14976	SGI-1776	0
O14976	Sapanisertib	0
O14976	Silmitasertib	0
O14976	Sonolisib	0
O14976	Sotrastaurin	0
O14976	TAK-733	0
O14976	TAK-901	0
O14976	TG-100572	1
O14976	Talmapimod	0
O14976	Tanzisertib	0
O14976	Tesevatinib	0
O14976	Tozasertib	0
O14976	Trametinib	0
O14976	UCN-01	0
O14976	Uprosertib	0
O14976	VX-702	0
O14976	XL-019	0
O14976	XL-228	0
O14976	XL-413	0
O14976	Y-39983	0
O15530	AEW-541	0
O15530	AMG-208	0
O15530	AMG-900	0
