Strategy	Fisher test Odds Ratio	Pvalue	Exp. Prof. Jacc. Sim. Cut-off	Cut-off
Random (0)	0.839336630782659	0.645438849793177	0.5	-
Random (1)	1.22739018087855	0.538915675232288	0.5	-
Random (2)	0.538915675232288	0.645438849793177	0.5	-
Random (3)	0.925458057894896	0.878168987553485	0.5	-
Random (4)	0.487940379403794	0.04403870570365	0.5	-
Random (5)	1.11861337683524	0.758754075057555	0.5	-
Random (6)	1.34571428571429	0.356417004797513	0.5	-
Random (7)	1.47488770926909	0.218481644585705	0.5	-
Random (8)	0.684520417853751	0.281785995801805	0.5	-
Random (9)	1.11861337683524	0.758754075057555	0.5	-
PocketVec	3.17785450927606	0.00028226991909	0.5	PocketVec distance <0.17
PocketVec	118.549019607843	3.82E-16	0.5	PocketVec distance <0.10
Structure	2.43368502622794	0.012913117071481	0.5	Max TM-Score > 0.85
Sequence	4.80886075949367	6.51E-07	0.5	Max Seq Id > 35%
