Strategy	Fisher test Odds Ratio	Pvalue	Exp. Prof. Jacc. Sim. Cut-off	Cut-off
Random (0)	1.85316573556797	0.143297189669619	0.5	-
Random (1)	3.27384287048153	0.009152858178577	0.5	-
Random (2)	1.09135061781301	0.834792397068223	0.5	-
Random (3)	0.754278653073834	0.671617453123938	0.5	-
Random (4)	0.497578494857703	0.20086675143125	0.5	-
Random (5)	1.55264270613108	0.296395304060643	0.5	-
Random (6)	0.910614895308773	1	0.5	-
Random (7)	0.497578494857703	0.20086675143125	0.5	-
Random (8)	1.30258674101611	0.531336446815342	0.5	-
Random (9)	0.497578494857703	0.20086675143125	0.5	-
PocketVec	4.06464174454829	0.002173545341705	0.5	PocketVec distance <0.17
PocketVec	125.769696969697	6.28E-13	0.5	PocketVec distance <0.10
Structure	1.67469113372093	0.295662425202791	0.5	Max TM-Score > 0.85
Sequence	5.55360623781676	6.73E-05	0.5	Max Seq Id > 35%
