ProSPECCTs Dataset	Compound library	Cosine distance	Sensitivity	Specificity	Precision	Accuracy	MCC	F1 Score
P1	LLM_128	0.0	0.024274013402829486	1.0	1.0	0.8766984079190033	0.14584848164418823	0.04739749927304449
P1	LLM_128	0.003662563711376825	0.024274013402829486	1.0	1.0	0.8766984079190033	0.14584848164418823	0.04739749927304449
P1	LLM_128	0.00732512742275365	0.024274013402829486	1.0	1.0	0.8766984079190033	0.14584848164418823	0.04739749927304449
P1	LLM_128	0.010987691134130475	0.024274013402829486	1.0	1.0	0.8766984079190033	0.14584848164418823	0.04739749927304449
P1	LLM_128	0.0146502548455073	0.024274013402829486	1.0	1.0	0.8766984079190033	0.14584848164418823	0.04739749927304449
P1	LLM_128	0.018312818556884124	0.02486969471332837	1.0	1.0	0.8767736836162445	0.14763276118047566	0.04853240337111305
P1	LLM_128	0.02197538226826095	0.02710349962769918	1.0	1.0	0.8770559674808988	0.1541422521083997	0.05277656952298101
P1	LLM_128	0.025637945979637772	0.029486224869694714	1.0	1.0	0.8773570702698634	0.160799324278545	0.05728337914074931
P1	LLM_128	0.0293005096910146	0.03306031273268801	1.0	1.0	0.8778087244533103	0.170304677440216	0.06400461294507712
P1	LLM_128	0.03296307340239142	0.03827252419955324	1.0	1.0	0.8784673868041702	0.18329909671620895	0.07372346528973035
P1	LLM_128	0.03662563711376825	0.04259121370067014	1.0	1.0	0.8790131356091686	0.19341755816248019	0.08170261391229824
P1	LLM_128	0.040288200825145074	0.04839910647803425	1.0	1.0	0.8797470736572698	0.2062599244167049	0.09232954545454546
P1	LLM_128	0.0439507645365219	0.055100521221146684	1.0	1.0	0.8805939252512326	0.22017050461829646	0.10444601270289344
P1	LLM_128	0.047613328247898726	0.06299329858525689	1.0	1.0	0.8815913282396778	0.235530238043414	0.11852059400392266
P1	LLM_128	0.051275891959275545	0.07475800446760983	1.0	1.0	0.8830780232601905	0.256775753427856	0.13911597616738258
P1	LLM_128	0.05493845567065237	0.08682055100521222	1.0	1.0	0.8846023561293237	0.27693053832691295	0.15976979994519047
P1	LLM_128	0.0586010193820292	0.09694713328369323	1.0	1.0	0.8858820429824231	0.2928250403352082	0.17675807765408635
P1	LLM_128	0.06226358309340602	0.10841399851079672	1.0	1.0	0.8873311001543152	0.3098861758050826	0.19562004568050517
P1	LLM_128	0.06592614680478284	0.12464631422189129	1.0	1.0	0.8893823629041364	0.33262227175900044	0.22166313559322035
P1	LLM_128	0.06958871051615967	0.14177215189873418	1.0	1.0	0.8915465391998193	0.3551281197584922	0.24833702882483372
P1	LLM_128	0.0732512742275365	0.15845122859270291	1.0	1.0	0.8936542587225714	0.3758408116782839	0.27355701246946906
P1	LLM_128	0.07691383793891332	0.17795979151154132	1.0	1.0	0.896119537807219	0.39880815549389265	0.30214917825537296
P1	LLM_128	0.08057640165029015	0.1979151154132539	1.0	1.0	0.8986412736647973	0.4211176832258518	0.33043262058677275
P1	LLM_128	0.08423896536166697	0.21995532390171257	1.0	1.0	0.9014264744627197	0.44458257418564023	0.360595703125
P1	LLM_128	0.0879015290730438	0.24378257632166792	1.0	1.0	0.9044375023523655	0.46877031440715294	0.39200191570881227
