ProSPECCTs Dataset	Strategy	Compound library _ # of cpds	Docking strategy	AUROC
P1	Cavbase	-	-	0.98
P1	FuzCav	-	-	0.94
P1	FuzCav (PDB)	-	-	0.94
P1	grim	-	-	0.69
P1	grim (PDB)	-	-	0.62
P1	IsoMIF	-	-	0.77
P1	KRIPO	-	-	0.91
P1	PocketMatch	-	-	0.82
P1	ProBis	-	-	1.0
P1	RAPMAD	-	-	0.85
P1	shaper	-	-	0.96
P1	shaper (PDB)	-	-	0.96
P1	VolSite/shaper	-	-	0.93
P1	Volsite/shaper (PDB)	-	-	0.94
P1	SiteAlign	-	-	0.97
P1	SiteEngine	-	-	0.96
P1	SiteHopper	-	-	0.98
P1	SMAP	-	-	1.0
P1	TIFP	-	-	0.66
P1	TIFP (PDB)	-	-	0.55
P1	TM-align	-	-	1.0
P1	DeeplyTough	-	-	0.95
P1	BindSiteS-CNN	-	-	0.94
P1	PocketVec	LLM_128	SMINA	0.9167
P1	PocketVec	LLM_128	rDock	0.9663
P1	PocketVec	Fragments_128	SMINA	0.9002
P1	PocketVec	Fragments_128	rDock	0.9313
P1.2	Cavbase	-	-	0.91
P1.2	FuzCav	-	-	0.99
P1.2	FuzCav (PDB)	-	-	0.99
P1.2	grim	-	-	0.97
P1.2	grim (PDB)	-	-	0.83
P1.2	IsoMIF	-	-	0.97
P1.2	KRIPO	-	-	1.0
P1.2	PocketMatch	-	-	0.98
P1.2	ProBis	-	-	1.0
P1.2	RAPMAD	-	-	0.83
P1.2	shaper	-	-	0.93
P1.2	shaper (PDB)	-	-	0.93
P1.2	VolSite/shaper	-	-	0.99
P1.2	Volsite/shaper (PDB)	-	-	1.0
P1.2	SiteAlign	-	-	1.0
P1.2	SiteEngine	-	-	1.0
P1.2	SiteHopper	-	-	0.94
P1.2	SMAP	-	-	1.0
P1.2	TIFP	-	-	0.9
P1.2	TIFP (PDB)	-	-	0.74
P1.2	TM-align	-	-	1.0
P1.2	DeeplyTough	-	-	0.98
P1.2	BindSiteS-CNN	-	-	0.98
P1.2	PocketVec	LLM_128	SMINA	0.9889
P1.2	PocketVec	LLM_128	rDock	0.9978
P1.2	PocketVec	Fragments_128	SMINA	0.9903
P1.2	PocketVec	Fragments_128	rDock	0.9962
P2	Cavbase	-	-	0.87
P2	FuzCav	-	-	0.99
P2	FuzCav (PDB)	-	-	0.98
P2	grim	-	-	0.92
P2	grim (PDB)	-	-	0.85
P2	IsoMIF	-	-	0.7
P2	KRIPO	-	-	0.96
P2	PocketMatch	-	-	0.96
P2	ProBis	-	-	1.0
P2	RAPMAD	-	-	0.82
P2	shaper	-	-	0.93
P2	shaper (PDB)	-	-	0.93
P2	VolSite/shaper	-	-	0.78
P2	Volsite/shaper (PDB)	-	-	0.76
P2	SiteAlign	-	-	1.0
P2	SiteEngine	-	-	1.0
P2	SiteHopper	-	-	1.0
P2	SMAP	-	-	1.0
P2	TIFP	-	-	0.91
P2	TIFP (PDB)	-	-	0.78
P2	TM-align	-	-	1.0
P2	DeeplyTough	-	-	0.9
P2	BindSiteS-CNN	-	-	0.83
P2	PocketVec	LLM_128	SMINA	0.9283
P2	PocketVec	LLM_128	rDock	0.959
P2	PocketVec	Fragments_128	SMINA	0.8536
P2	PocketVec	Fragments_128	rDock	0.8725
P3	Cavbase	-	-	0.65
