Metric	ProSPECCTs Dataset	Value	Random classifier value
Precision	P1	0.9042388879354728	0.12636907674357334
Precision	P1.2	0.9116465863453815	0.11901234567901235
Precision	P2	0.557396449704142	0.07140547482007742
Precision	P3	0.553812247468122	0.5
Precision	P4	0.6124485178954696	0.5
Precision	P5	0.36065573770491804	0.14375
Precision	P5.2	0.32	0.132
Precision	P7	0.037177063642092	0.0020390432454476144
Accuracy	P1	0.962286875682186	0.7792001336268997
Accuracy	P1.2	0.9822222222222222	0.7903031854900169
Accuracy	P2	0.9402444545043006	0.8673865340284066
Accuracy	P3	0.5763588979895756	0.5
Accuracy	P4	0.6443410275502606	0.5
Accuracy	P5	0.835	0.7538281249999998
Accuracy	P5.2	0.8428	0.770848
Accuracy	P7	0.9719143956453129	0.9959302289038185
Sensitivity	P1	0.7846612062546537	0.12636907674357334
Sensitivity	P1.2	0.941908713692946	0.11901234567901235
Sensitivity	P2	0.7922111528011385	0.07140547482007742
Sensitivity	P3	0.7858525688756516	0.5
Sensitivity	P4	0.786150409530901	0.5
Sensitivity	P5	0.19130434782608696	0.14375
Sensitivity	P5.2	0.1696969696969697	0.132
Sensitivity	P7	0.5130434782608696	0.0020390432454476144
Specificity	P1	0.9879800960730672	0.8736309232564267
Specificity	P1.2	0.9876681614349776	0.8809876543209877
Specificity	P2	0.9516276663482968	0.9285945251799226
Specificity	P3	0.3668652271034996	0.5
Specificity	P4	0.5025316455696203	0.5
Specificity	P5	0.9430656934306569	0.85625
Specificity	P5.2	0.9451612903225807	0.868
Specificity	P7	0.972851965034468	0.9979609567545524
MCC	P1	0.8216066711801531	-
MCC	P1.2	0.9165794233555044	-
MCC	P2	0.6342948977052818	-
MCC	P3	0.16819287333080316	-
MCC	P4	0.3010437802551929	-
MCC	P5	0.17762722037262113	-
MCC	P5.2	0.15237670102317086	-
MCC	P7	0.13254334776173862	-
F1 Score	P1	0.8402168713123904	0.12636907674357334
F1 Score	P1.2	0.926530612244898	0.11901234567901235
F1 Score	P2	0.6543764026931709	0.07140547482007742
F1 Score	P3	0.6497368178040447	0.5
F1 Score	P4	0.6885128305455019	0.5
F1 Score	P5	0.25	0.14375
F1 Score	P5.2	0.22178217821782178	0.132
F1 Score	P7	0.06933019976498238	0.0020390432454476144
