ProSPECCTs Dataset	Strategy	Compound library _ # of cpds	Docking strategy	AUROC	ProSPECCTs Dataset SIZE (# of pairs)
P1	Cavbase	-	-	0.98	106276
P1	FuzCav	-	-	0.94	106276
P1	FuzCav (PDB)	-	-	0.94	106276
P1	grim	-	-	0.69	106276
P1	grim (PDB)	-	-	0.62	106276
P1	IsoMIF	-	-	0.77	106276
P1	KRIPO	-	-	0.91	106276
P1	PocketMatch	-	-	0.82	106276
P1	ProBis	-	-	1.0	106276
P1	RAPMAD	-	-	0.85	106276
P1	shaper	-	-	0.96	106276
P1	shaper (PDB)	-	-	0.96	106276
P1	VolSite/shaper	-	-	0.93	106276
P1	Volsite/shaper (PDB)	-	-	0.94	106276
P1	SiteAlign	-	-	0.97	106276
P1	SiteEngine	-	-	0.96	106276
P1	SiteHopper	-	-	0.98	106276
P1	SMAP	-	-	1.0	106276
P1	TIFP	-	-	0.66	106276
P1	TIFP (PDB)	-	-	0.55	106276
P1	TM-align	-	-	1.0	106276
P1	DeeplyTough	-	-	0.95	106276
P1	BindSiteS-CNN	-	-	0.94	106276
P1	PocketVec	LLM_128	rDock	0.9663	106276
P1.2	Cavbase	-	-	0.91	2025
P1.2	FuzCav	-	-	0.99	2025
P1.2	FuzCav (PDB)	-	-	0.99	2025
P1.2	grim	-	-	0.97	2025
P1.2	grim (PDB)	-	-	0.83	2025
P1.2	IsoMIF	-	-	0.97	2025
P1.2	KRIPO	-	-	1.0	2025
P1.2	PocketMatch	-	-	0.98	2025
P1.2	ProBis	-	-	1.0	2025
P1.2	RAPMAD	-	-	0.83	2025
P1.2	shaper	-	-	0.93	2025
P1.2	shaper (PDB)	-	-	0.93	2025
P1.2	VolSite/shaper	-	-	0.99	2025
P1.2	Volsite/shaper (PDB)	-	-	1.0	2025
P1.2	SiteAlign	-	-	1.0	2025
P1.2	SiteEngine	-	-	1.0	2025
P1.2	SiteHopper	-	-	0.94	2025
P1.2	SMAP	-	-	1.0	2025
P1.2	TIFP	-	-	0.9	2025
P1.2	TIFP (PDB)	-	-	0.74	2025
P1.2	TM-align	-	-	1.0	2025
P1.2	DeeplyTough	-	-	0.98	2025
P1.2	BindSiteS-CNN	-	-	0.98	2025
P1.2	PocketVec	LLM_128	rDock	0.9978	2025
P2	Cavbase	-	-	0.87	108241
P2	FuzCav	-	-	0.99	108241
P2	FuzCav (PDB)	-	-	0.98	108241
P2	grim	-	-	0.92	108241
P2	grim (PDB)	-	-	0.85	108241
P2	IsoMIF	-	-	0.7	108241
P2	KRIPO	-	-	0.96	108241
P2	PocketMatch	-	-	0.96	108241
P2	ProBis	-	-	1.0	108241
P2	RAPMAD	-	-	0.82	108241
P2	shaper	-	-	0.93	108241
P2	shaper (PDB)	-	-	0.93	108241
P2	VolSite/shaper	-	-	0.78	108241
P2	Volsite/shaper (PDB)	-	-	0.76	108241
P2	SiteAlign	-	-	1.0	108241
P2	SiteEngine	-	-	1.0	108241
P2	SiteHopper	-	-	1.0	108241
P2	SMAP	-	-	1.0	108241
P2	TIFP	-	-	0.91	108241
P2	TIFP (PDB)	-	-	0.78	108241
P2	TM-align	-	-	1.0	108241
P2	DeeplyTough	-	-	0.9	108241
P2	BindSiteS-CNN	-	-	0.83	108241
P2	PocketVec	LLM_128	rDock	0.959	108241
P3	Cavbase	-	-	0.65	26860
P3	FuzCav	-	-	0.69	26860
P3	FuzCav (PDB)	-	-	0.69	26860
P3	grim	-	-	0.55	26860
P3	grim (PDB)	-	-	0.57	26860
P3	IsoMIF	-	-	0.59	26860
P3	KRIPO	-	-	0.6	26860
