Compound set	Compound name	MW
LLM	Biofocus 037_0043_0061	247.110947416
LLM	Enamine T0509-1199	221.065220348
LLM	Chembridge 6201046	310.07537043200006
LLM	Biofocus 190_4347_4140	313.16590233209
LLM	ASDI 100027720	216.05497198009
LLM	Sigma-Aldrich (SALOR) S643106	260.120115132
LLM	Chembridge 5143016	415.007966172
LLM	Specs AG-690/11739215	371.103669116
LLM	Maybridge SP 00835	287.062553252
LLM	ASDI 100083437	292.121177752
LLM	Specs AK-968/13034311	334.120509056
LLM	Biofocus 103_0255_0057	307.168462292
LLM	Biofocus 103_0231_0068	320.127325752
LLM	Biofocus 103_0360_0280	305.152812228
LLM	Bionet 11H-401S	426.02974068
LLM	Bionet 10H-447	300.087684704
LLM	Bionet 10J-371S	254.985383824
LLM	Maybridge KM 02986	392.087388096
LLM	Bionet 10X-0864	386.052562148
LLM	Biofocus 112_4406_0049	381.033875304
LLM	Life Chemicals F0636-0335	343.062676896
LLM	Biofocus 119_0552_0135	401.185174976
LLM	ASDI 650008660	438.008992352
LLM	ASDI 150016433	133.052763844
LLM	Biofocus 152_5817_5814_4423	315.158291532
LLM	Chemdiv 1648-3187	366.98038252
LLM	Biofocus 170_0148_0349	387.16952491200004
LLM	Biofocus 170_4347_0164	336.07893158799993
LLM	Biofocus 179_0146_0280	336.104482132
LLM	Asinex BAS 01074185	276.13829061609
LLM	Bionet 8R-0635	298.08849507591003
LLM	Chem T&I AMCLME-04217	252.13932635199998
LLM	Chemdiv 2081-1026	324.00684753999997
LLM	Chem T&I NSB 0020467	285.136493468
LLM	Biofocus 229_0146_0280	337.11175858408996
LLM	Bionet 2K-538S	293.027040336
LLM	Bionet 2M-901	394.06556726799994
LLM	Chemdiv 3284-0088	340.109088844
LLM	Chem T&I NSB 0068299	328.14230712
LLM	Biofocus 330_7150_8043_6008	301.08695643199997
LLM	Chemdiv 3365-7624	375.12373586399997
LLM	BiotechCA 34633P	434.137890436
LLM	Chemical Block A3553/0150643	365.128802972
LLM	Chemdiv 3660-0363	299.04219290391
LLM	Labotest LTBB002607	150.104465068
LLM	Chemdiv 2262-3022	317.152812228
LLM	Bionet 1D-121	286.095356928
LLM	Bionet 3G-002	296.032810596
LLM	Bionet 3W-0208	237.12659748
LLM	BiotechCA 4173	187.099714036
LLM	Bionet 2G-385S	261.08234972
LLM	Chembridge 5363217	256.16959074409
LLM	Maybridge ML 00286	242.045819892
LLM	Labotest LT00409011	342.136827816
LLM	Chembridge 7782169	315.00255388
LLM	Chembridge 5234119	287.10700490799996
LLM	Labotest LT00996361	217.089149352
LLM	Chembridge 5266789	271.120843404
LLM	Akos LT-1117 X 229	264.13829061609
LLM	Chemical Block A0158/0007075	307.095691276
LLM	Chembridge 5285134	314.13215968009
LLM	Chembridge 5346089	370.111791276
LLM	Chembridge 5347669	400.215078136
LLM	Chem T&I AMSACS-04541	307.135447912
LLM	Chembridge 5367995	308.16237386800003
LLM	Chembridge 5418691	313.13468245609
LLM	Chembridge 5456601	252.19907986017998
LLM	Specs AG-690/13704539	310.23980180018
LLM	Chembridge 5424021	403.16278902409
LLM	Chembridge 5269683	334.18015542808996
LLM	Chembridge 5460952	267.125928784
LLM	Chembridge 5509842	348.087684704
LLM	Chemdiv 0896-2223	395.98763208799994
LLM	Chembridge 5695101	323.9890893
LLM	Chembridge 5729068	364.088163372
LLM	Chembridge 5808022	367.153206152
LLM	Chembridge 5839398	393.051633544
LLM	Chembridge 5859646	344.173607248
LLM	Chembridge 5907901	368.08307799199997
LLM	Chembridge 5986268	244.084792244
LLM	Chembridge 7268492	300.16051714391
