Pocket Set	Molecule name	Average docking ranking	MW heavy atoms	MW exact
PDB-LIG	Enamine T0505-3993	78.43266832917706	355.29	370.08
PDB-LIG	Chem T&I AMSACS-17229	67.24875311720699	322.31	335.04
PDB-LIG	Chemical Block A3692/0156694	61.084788029925186	324.22	340.14
PDB-LIG	Life Chemicals F0778-0231	58.08915211970075	408.31	426.1
PDB-LIG	Princeton Biomolecular OSSK_459353	78.64401496259352	339.21	355.1
PDB-LIG	Toslab 44086	68.75997506234414	286.23	314.23
PDB-LIG	Specs AM-900/15051004	68.08167082294264	348.28	378.25
PDB-LIG	Life Chemicals F2584-0097	69.72381546134663	352.29	372.11
PDB-LIG	Asinex ASN 06235439	69.69825436408978	354.26	381.21
PDB-LIG	Specs AA-504/36954121	64.56296758104739	374.32	391.1
PDB-LIG	Specs AP-866/42442546	62.591022443890274	379.3	393.03
PDB-LIG	EMC Microcollections 009B3204	72.29364089775561	356.26	379.18
PDB-LIG	Chembridge 9014479	61.81047381546135	298.2	315.13
PDB-LIG	Chem T&I NSB 0071574	77.63279301745636	427.76	446.08
PDB-LIG	Chem T&I AMSACS-12929	64.84039900249377	298.23	319.13
PDB-LIG	Life Chemicals F0396-0052	53.15211970074813	362.31	381.11
PDB-LIG	Chem T&I AMSACS-08712	66.75997506234414	334.32	351.08
PDB-LIG	Life Chemicals F0560-0107	55.281795511221944	355.26	374.14
PDB-LIG	Chemdiv 8005-4355	72.34663341645886	418.17	435.06
PDB-LIG	InterBioScreen STOCK5S-70232	52.3142144638404	408.38	430.1
PDB-LIG	Chembridge 5707467	63.95137157107232	372.32	394.14
PDB-LIG	Asinex ASN 04371767	71.55922693266832	400.33	420.13
PDB-LIG	A-Synthese-Biotech EX-14747	53.0	413.74	429.09
PDB-LIG	InterBioScreen STOCK3S-81928	58.83416458852868	366.28	387.18
PDB-LIG	Nanosyn NS61821	68.70074812967582	388.32	410.14
PDB-LIG	Asinex ASN 05317597	67.66770573566085	396.3	412.08
PDB-LIG	Chem T&I AMSACS-11579	70.5785536159601	342.13	357.01
PDB-LIG	Bionet 8K-348S	72.38653366583542	419.2	434.03
PDB-LIG	InterBioScreen STOCK5S-22526	70.00561097256858	359.66	372.06
PDB-LIG	Asinex ASN 05343028	68.14089775561098	388.35	404.06
PDB-LIG	Asinex ASN 03365236	62.922693266832916	377.31	399.14
PDB-LIG	Life Chemicals F0566-0293	62.89089775561097	413.37	433.09
PDB-LIG	EMC Microcollections 001A3586	64.50436408977556	396.35	418.15
PDB-LIG	Chem T&I AMSACS-01505	65.18640897755611	371.71	383.03
PDB-LIG	Chem T&I ARAK0118211	64.97319201995012	348.3	372.15
PDB-LIG	Chembridge 7634772	60.54426433915212	397.35	415.13
PDB-LIG	Chem T&I IVK/0000805	65.92643391521197	332.3	359.18
PDB-LIG	InterBioScreen STOCK5S-68320	63.05299251870324	371.27	390.15
PDB-LIG	InterBioScreen STOCK3S-83770	54.0854114713217	362.28	383.16
PDB-LIG	Life Chemicals F0529-0304	68.00124688279301	346.33	361.06
PDB-LIG	Chem T&I AMSACS-12205	59.24064837905237	359.73	376.08
PDB-LIG	Nanosyn NS40942	58.766832917705734	360.31	380.12
PDB-LIG	Comgenex CGX-3127127	70.34850374064838	407.78	428.11
PDB-LIG	Pharmeks PHAR059863	70.48004987531172	324.28	340.1
PDB-LIG	Lithuania 1050567	49.17705735660848	387.74	401.04
PDB-LIG	Chem T&I AMCLME-04601	56.37905236907731	385.75	408.11
PDB-LIG	InterBioScreen STOCK4S-52524	67.2356608478803	390.3	421.25
PDB-LIG	Cerep CER0136666	70.25124688279301	352.27	378.21
PDB-LIG	Asinex BAS 02903336	64.48379052369077	427.76	444.05
PDB-LIG	Life Chemicals F0417-0114	62.12406483790524	403.81	418.03
PDB-LIG	Life Chemicals F1359-1195	60.70573566084788	409.79	425.03
PDB-LIG	Pyxis Discovery PYX 00003417	53.349750623441395	403.31	425.18
PDB-LIG	Asinex ASN 09961559	53.55985037406484	358.32	383.17
PDB-LIG	Pyxis Discovery PYX 00004219	68.93640897755611	389.26	411.16
PDB-LIG	Asinex ASN 03271999	82.05423940149626	375.23	390.12
PDB-LIG	InterBioScreen STOCK4S-65808	82.07543640897755	380.16	396.03
