Pocket Set	Molecule name	Average docking ranking	# of heavy atoms
PDB-LIG	Enamine T0505-3993	78.43266832917706	26
PDB-LIG	Chem T&I AMSACS-17229	67.24875311720699	22
PDB-LIG	Chemical Block A3692/0156694	61.084788029925186	25
PDB-LIG	Life Chemicals F0778-0231	58.08915211970075	30
PDB-LIG	Princeton Biomolecular OSSK_459353	78.64401496259352	26
PDB-LIG	Toslab 44086	68.75997506234414	23
PDB-LIG	Specs AM-900/15051004	68.08167082294264	28
PDB-LIG	Life Chemicals F2584-0097	69.72381546134663	26
PDB-LIG	Asinex ASN 06235439	69.69825436408978	28
PDB-LIG	Specs AA-504/36954121	64.56296758104739	28
PDB-LIG	Specs AP-866/42442546	62.591022443890274	25
PDB-LIG	EMC Microcollections 009B3204	72.29364089775561	28
PDB-LIG	Chembridge 9014479	61.81047381546135	23
PDB-LIG	Chem T&I NSB 0071574	77.63279301745636	30
PDB-LIG	Chem T&I AMSACS-12929	64.84039900249377	21
PDB-LIG	Life Chemicals F0396-0052	53.15211970074813	27
PDB-LIG	Chem T&I AMSACS-08712	66.75997506234414	23
PDB-LIG	Life Chemicals F0560-0107	55.281795511221944	28
PDB-LIG	Chemdiv 8005-4355	72.34663341645886	28
PDB-LIG	InterBioScreen STOCK5S-70232	52.3142144638404	29
PDB-LIG	Chembridge 5707467	63.95137157107232	28
PDB-LIG	Asinex ASN 04371767	71.55922693266832	30
PDB-LIG	A-Synthese-Biotech EX-14747	53.0	31
PDB-LIG	InterBioScreen STOCK3S-81928	58.83416458852868	29
PDB-LIG	Nanosyn NS61821	68.70074812967582	29
PDB-LIG	Asinex ASN 05317597	67.66770573566085	29
PDB-LIG	Chem T&I AMSACS-11579	70.5785536159601	20
PDB-LIG	Bionet 8K-348S	72.38653366583542	28
PDB-LIG	InterBioScreen STOCK5S-22526	70.00561097256858	26
PDB-LIG	Asinex ASN 05343028	68.14089775561098	27
PDB-LIG	Asinex ASN 03365236	62.922693266832916	28
PDB-LIG	Life Chemicals F0566-0293	62.89089775561097	29
PDB-LIG	EMC Microcollections 001A3586	64.50436408977556	30
PDB-LIG	Chem T&I AMSACS-01505	65.18640897755611	25
PDB-LIG	Chem T&I ARAK0118211	64.97319201995012	26
PDB-LIG	Chembridge 7634772	60.54426433915212	30
PDB-LIG	Chem T&I IVK/0000805	65.92643391521197	25
PDB-LIG	InterBioScreen STOCK5S-68320	63.05299251870324	29
PDB-LIG	InterBioScreen STOCK3S-83770	54.0854114713217	29
PDB-LIG	Life Chemicals F0529-0304	68.00124688279301	24
PDB-LIG	Chem T&I AMSACS-12205	59.24064837905237	25
PDB-LIG	Nanosyn NS40942	58.766832917705734	27
PDB-LIG	Comgenex CGX-3127127	70.34850374064838	29
PDB-LIG	Pharmeks PHAR059863	70.48004987531172	24
PDB-LIG	Lithuania 1050567	49.17705735660848	27
PDB-LIG	Chem T&I AMCLME-04601	56.37905236907731	27
PDB-LIG	InterBioScreen STOCK4S-52524	67.2356608478803	31
PDB-LIG	Cerep CER0136666	70.25124688279301	28
PDB-LIG	Asinex BAS 02903336	64.48379052369077	30
PDB-LIG	Life Chemicals F0417-0114	62.12406483790524	27
PDB-LIG	Life Chemicals F1359-1195	60.70573566084788	27
PDB-LIG	Pyxis Discovery PYX 00003417	53.349750623441395	32
PDB-LIG	Asinex ASN 09961559	53.55985037406484	27
PDB-LIG	Pyxis Discovery PYX 00004219	68.93640897755611	30
PDB-LIG	Asinex ASN 03271999	82.05423940149626	28
PDB-LIG	InterBioScreen STOCK4S-65808	82.07543640897755	23
PDB-LIG	Life Chemicals F0579-0521	58.598503740648376	29
PDB-LIG	Chem T&I UZI/1102918	55.6140897755611	26
PDB-LIG	Asinex ASN 06916822	58.243142144638405	29
PDB-LIG	Asinex ASN 04361294	61.28117206982544	25
PDB-LIG	Tripos 1557-10610	85.96197007481297	24
PDB-LIG	Maybridge ML 00307	58.510598503740646	20
PDB-LIG	Bionet 10X-0864	55.086034912718205	24
PDB-LIG	Tripos 1526-22023	82.39152119700748	24
PDB-LIG	InterBioScreen STOCK5S-13559	54.93079800498753	25
PDB-LIG	Otava 0120630218	76.74064837905237	21
PDB-LIG	Asinex ASN 02617640	72.37718204488777	27
PDB-LIG	Chem T&I AMSACS-08601	65.4925187032419	24
PDB-LIG	Tripos 1557-13590	72.45261845386534	26
PDB-LIG	EMC Microcollections 013A0485	80.31608478802993	21
PDB-LIG	Asinex ASN 06601079	59.47506234413965	29
PDB-LIG	Cerep CER0116166	48.21134663341646	26
PDB-LIG	Tripos 1554-07659	84.41458852867831	24
PDB-LIG	Princeton Biomolecular OSSK_115610	69.8067331670823	21
PDB-LIG	Pyxis Discovery PYX 00000172	63.072319201995015	24
PDB-LIG	Chem T&I IVK/0000448	75.214463840399	26
PDB-LIG	Life Chemicals F0577-0037	61.947630922693264	28
PDB-LIG	Life Chemicals F0642-0697	58.82543640897756	23
PDB-LIG	Chem T&I AMSACS-26179	56.687655860349125	20
PDB-LIG	Tripos 1527-02989	60.20822942643392	20
PDB-LIG	Enamine T0503-9700	48.19014962593516	24
PDB-LIG	Tripos 1513-09513	70.20386533665835	27
PDB-LIG	Chembridge 7916788	84.32668329177058	21
PDB-LIG	Asinex ASN 03798095	67.66645885286783	27
PDB-LIG	Life Chemicals F1895-0070	70.73815461346634	30
PDB-LIG	Asinex BAS 05101595	62.57793017456359	30
PDB-LIG	InterBioScreen STOCK4S-15128	72.2150872817955	30
PDB-LIG	Asinex ASN 05588575	56.43827930174564	30
PDB-LIG	Biofocus 170_4347_0164	63.46882793017456	23
PDB-LIG	InterBioScreen STOCK5S-06824	58.380299251870326	24
PDB-LIG	Biofocus 119_0552_0135	82.84039900249377	30
PDB-LIG	Cerep CER0099275	54.104738154613464	29
PDB-LIG	Chemical Block A3816/0161993	72.63528678304239	26
PDB-LIG	Biofocus 170_0148_0349	50.51620947630923	29
PDB-LIG	Life Chemicals F0631-0161	50.61845386533666	26
PDB-LIG	Chembridge 9001855	68.85473815461347	32
PDB-LIG	Maybridge HTS 07015	61.99501246882793	25
PDB-LIG	Tripos 1554-03007	65.07356608478803	21
PDB-LIG	Asinex ASN 06116813	73.87219451371571	33
PDB-LIG	Tripos 1559-05871	58.239401496259354	19
PDB-LIG	Specs AN-648/40682295	68.63029925187033	21
PDB-LIG	ASDI 150016433	55.56795511221945	10
PDB-LIG	Tripos 1557-01752	55.56296758104738	24
PDB-LIG	Tripos 1518-06794	77.01995012468828	28
PDB-LIG	InterBioScreen STOCK5S-48304	61.35349127182045	33
PDB-LIG	Chem T&I PMOS-0027433	46.23503740648379	33
PDB-LIG	Lithuania 1067744	68.27244389027432	28
PDB-LIG	Maybridge HTS 06299	56.62468827930174	24
PDB-LIG	InterBioScreen STOCK5S-05837	76.32418952618454	31
PDB-LIG	Life Chemicals F1608-0478	71.31296758104739	28
PDB-LIG	Chemdiv 1416-0529	73.84663341645886	28
PDB-LIG	Chemical Block A3577/0151844	58.155236907730675	25
PDB-LIG	Comgenex CGX-0740668	56.88653366583541	29
PDB-LIG	Asinex ASN 06745065	77.62718204488777	22
PDB-LIG	Life Chemicals F0497-0082	86.49002493765586	30
PDB-LIG	InnovaPharm STT-00192300	67.56483790523691	26
PDB-LIG	Tripos 1534-05651	53.05673316708229	27
PDB-LIG	Chembridge 5859646	83.4064837905237	25
PDB-LIG	Specs AK-968/37053096	71.99002493765586	24
PDB-LIG	InterBioScreen STOCK3S-07953	56.996882793017456	24
PDB-LIG	Maybridge RJF 01152	73.18453865336659	21
PDB-LIG	Tripos 1518-03381	66.12655860349128	27
PDB-LIG	Specs AG-205/07903010	54.916458852867834	26
PDB-LIG	Asinex ASN 04479736	62.411471321695764	28
PDB-LIG	Asinex ASN 05110337	58.87468827930174	32
PDB-LIG	Chem T&I AMCLME-05084	63.91832917705736	22
PDB-LIG	Bionet 10W-0283	57.60037406483791	20
PDB-LIG	ASDI 100018405	57.254364089775564	19
AF2-LIG	Enamine T0505-3993	75.46548042704626	26
AF2-LIG	Chem T&I AMSACS-17229	63.85978647686833	22
AF2-LIG	Chemical Block A3692/0156694	62.15444839857651	25
AF2-LIG	Life Chemicals F0778-0231	58.32597864768683	30
AF2-LIG	Princeton Biomolecular OSSK_459353	77.86049822064057	26
AF2-LIG	Toslab 44086	65.90391459074733	23
AF2-LIG	Specs AM-900/15051004	69.58078291814947	28
AF2-LIG	Life Chemicals F2584-0097	69.07259786476868	26
AF2-LIG	Asinex ASN 06235439	69.33807829181495	28
AF2-LIG	Specs AA-504/36954121	67.2405693950178	28
AF2-LIG	Specs AP-866/42442546	65.44982206405695	25
AF2-LIG	EMC Microcollections 009B3204	72.87615658362989	28
AF2-LIG	Chembridge 9014479	64.85693950177937	23
AF2-LIG	Chem T&I NSB 0071574	74.84626334519572	30
AF2-LIG	Chem T&I AMSACS-12929	64.58007117437722	21
AF2-LIG	Life Chemicals F0396-0052	54.38007117437722	27
AF2-LIG	Chem T&I AMSACS-08712	65.84270462633452	23
AF2-LIG	Life Chemicals F0560-0107	48.0220640569395	28
AF2-LIG	Chemdiv 8005-4355	73.932384341637	28
AF2-LIG	InterBioScreen STOCK5S-70232	54.772953736654806	29
AF2-LIG	Chembridge 5707467	67.06903914590747	28
AF2-LIG	Asinex ASN 04371767	74.12811387900356	30
AF2-LIG	A-Synthese-Biotech EX-14747	54.01779359430605	31
AF2-LIG	InterBioScreen STOCK3S-81928	58.1423487544484	29
AF2-LIG	Nanosyn NS61821	67.20427046263345	29
AF2-LIG	Asinex ASN 05317597	68.39288256227758	29
AF2-LIG	Chem T&I AMSACS-11579	71.77580071174377	20
AF2-LIG	Bionet 8K-348S	70.69110320284697	28
AF2-LIG	InterBioScreen STOCK5S-22526	72.71174377224199	26
AF2-LIG	Asinex ASN 05343028	70.80213523131673	27
AF2-LIG	Asinex ASN 03365236	63.74590747330961	28
AF2-LIG	Life Chemicals F0566-0293	65.55943060498221	29
AF2-LIG	EMC Microcollections 001A3586	62.644128113879006	30
AF2-LIG	Chem T&I AMSACS-01505	66.40284697508896	25
AF2-LIG	Chem T&I ARAK0118211	67.29608540925267	26
AF2-LIG	Chembridge 7634772	60.73736654804271	30
AF2-LIG	Chem T&I IVK/0000805	67.87758007117438	25
AF2-LIG	InterBioScreen STOCK5S-68320	63.73238434163701	29
AF2-LIG	InterBioScreen STOCK3S-83770	56.508185053380785	29
AF2-LIG	Life Chemicals F0529-0304	72.82562277580071	24
AF2-LIG	Chem T&I AMSACS-12205	57.491814946619215	25
AF2-LIG	Nanosyn NS40942	61.297508896797154	27
AF2-LIG	Comgenex CGX-3127127	71.4846975088968	29
AF2-LIG	Pharmeks PHAR059863	70.91814946619218	24
AF2-LIG	Lithuania 1050567	47.844839857651245	27
AF2-LIG	Chem T&I AMCLME-04601	58.89608540925267	27
AF2-LIG	InterBioScreen STOCK4S-52524	65.64768683274022	31
AF2-LIG	Cerep CER0136666	71.36370106761566	28
AF2-LIG	Asinex BAS 02903336	62.84555160142349	30
AF2-LIG	Life Chemicals F0417-0114	62.63131672597865	27
AF2-LIG	Life Chemicals F1359-1195	61.76939501779359	27
AF2-LIG	Pyxis Discovery PYX 00003417	53.90533807829181	32
AF2-LIG	Asinex ASN 09961559	55.89110320284698	27
AF2-LIG	Pyxis Discovery PYX 00004219	71.07046263345195	30
AF2-LIG	Asinex ASN 03271999	86.05266903914591	28
AF2-LIG	InterBioScreen STOCK4S-65808	86.65053380782918	23
AF2-LIG	Life Chemicals F0579-0521	61.014946619217085	29
AF2-LIG	Chem T&I UZI/1102918	56.994306049822065	26
AF2-LIG	Asinex ASN 06916822	58.43629893238434	29
AF2-LIG	Asinex ASN 04361294	63.301779359430604	25
AF2-LIG	Tripos 1557-10610	85.5829181494662	24
AF2-LIG	Maybridge ML 00307	58.85551601423487	20
AF2-LIG	Bionet 10X-0864	55.28683274021353	24
AF2-LIG	Tripos 1526-22023	83.51387900355871	24
AF2-LIG	InterBioScreen STOCK5S-13559	56.31245551601423	25
AF2-LIG	Otava 0120630218	77.86192170818505	21
AF2-LIG	Asinex ASN 02617640	75.2711743772242	27
AF2-LIG	Chem T&I AMSACS-08601	66.68042704626335	24
AF2-LIG	Tripos 1557-13590	73.55516014234875	26
AF2-LIG	EMC Microcollections 013A0485	78.74448398576513	21
AF2-LIG	Asinex ASN 06601079	59.07829181494662	29
AF2-LIG	Cerep CER0116166	53.20071174377224	26
AF2-LIG	Tripos 1554-07659	84.2982206405694	24
AF2-LIG	Princeton Biomolecular OSSK_115610	70.29181494661921	21
AF2-LIG	Pyxis Discovery PYX 00000172	62.276868327402134	24
AF2-LIG	Chem T&I IVK/0000448	75.80142348754448	26
AF2-LIG	Life Chemicals F0577-0037	60.14092526690391	28
AF2-LIG	Life Chemicals F0642-0697	57.71316725978647	23
AF2-LIG	Chem T&I AMSACS-26179	56.216370106761566	20
AF2-LIG	Tripos 1527-02989	58.47686832740214	20
AF2-LIG	Enamine T0503-9700	46.46405693950178	24
AF2-LIG	Tripos 1513-09513	70.55658362989324	27
AF2-LIG	Chembridge 7916788	86.37722419928825	21
AF2-LIG	Asinex ASN 03798095	71.79928825622775	27
AF2-LIG	Life Chemicals F1895-0070	65.04341637010675	30
AF2-LIG	Asinex BAS 05101595	61.58078291814947	30
AF2-LIG	InterBioScreen STOCK4S-15128	75.86476868327402	30
AF2-LIG	Asinex ASN 05588575	54.890391459074735	30
AF2-LIG	Biofocus 170_4347_0164	63.580071174377224	23
AF2-LIG	InterBioScreen STOCK5S-06824	61.50177935943061	24
AF2-LIG	Biofocus 119_0552_0135	84.92597864768683	30
AF2-LIG	Cerep CER0099275	52.22419928825623	29
AF2-LIG	Chemical Block A3816/0161993	75.61565836298932	26
AF2-LIG	Biofocus 170_0148_0349	49.52099644128114	29
AF2-LIG	Life Chemicals F0631-0161	47.69608540925267	26
AF2-LIG	Chembridge 9001855	70.80355871886121	32
AF2-LIG	Maybridge HTS 07015	63.982918149466194	25
AF2-LIG	Tripos 1554-03007	64.18220640569395	21
AF2-LIG	Asinex ASN 06116813	74.47544483985764	33
AF2-LIG	Tripos 1559-05871	56.012811387900356	19
AF2-LIG	Specs AN-648/40682295	67.35088967971531	21
AF2-LIG	ASDI 150016433	48.783629893238434	10
AF2-LIG	Tripos 1557-01752	55.14448398576513	24
AF2-LIG	Tripos 1518-06794	74.53665480427047	28
AF2-LIG	InterBioScreen STOCK5S-48304	61.63060498220641	33
AF2-LIG	Chem T&I PMOS-0027433	46.09252669039146	33
AF2-LIG	Lithuania 1067744	65.02989323843417	28
AF2-LIG	Maybridge HTS 06299	56.220640569395016	24
AF2-LIG	InterBioScreen STOCK5S-05837	76.8049822064057	31
AF2-LIG	Life Chemicals F1608-0478	69.69039145907473	28
AF2-LIG	Chemdiv 1416-0529	74.8220640569395	28
AF2-LIG	Chemical Block A3577/0151844	58.854092526690394	25
AF2-LIG	Comgenex CGX-0740668	54.13950177935943	29
AF2-LIG	Asinex ASN 06745065	82.08683274021352	22
AF2-LIG	Life Chemicals F0497-0082	84.64982206405693	30
AF2-LIG	InnovaPharm STT-00192300	63.838434163701066	26
AF2-LIG	Tripos 1534-05651	53.537366548042705	27
AF2-LIG	Chembridge 5859646	84.7017793594306	25
AF2-LIG	Specs AK-968/37053096	77.40071174377225	24
AF2-LIG	InterBioScreen STOCK3S-07953	55.57864768683274	24
AF2-LIG	Maybridge RJF 01152	71.04199288256228	21
AF2-LIG	Tripos 1518-03381	61.02562277580071	27
AF2-LIG	Specs AG-205/07903010	58.22562277580071	26
AF2-LIG	Asinex ASN 04479736	63.30818505338078	28
AF2-LIG	Asinex ASN 05110337	58.68256227758007	32
AF2-LIG	Chem T&I AMCLME-05084	61.45266903914591	22
AF2-LIG	Bionet 10W-0283	59.992170818505336	20
AF2-LIG	ASDI 100018405	55.71672597864769	19
PDB-PD	Enamine T0505-3993	75.55491570110317	26
PDB-PD	Chem T&I AMSACS-17229	60.754457781169776	22
PDB-PD	Chemical Block A3692/0156694	68.55241795601194	25
PDB-PD	Life Chemicals F0778-0231	59.61673489211129	30
PDB-PD	Princeton Biomolecular OSSK_459353	86.30715326441407	26
PDB-PD	Toslab 44086	57.33691806008465	23
PDB-PD	Specs AM-900/15051004	70.13578019843197	28
PDB-PD	Life Chemicals F2584-0097	60.9780059668355	26
PDB-PD	Asinex ASN 06235439	68.50953999861237	28
PDB-PD	Specs AA-504/36954121	66.94726982585166	28
PDB-PD	Specs AP-866/42442546	65.30201901061541	25
PDB-PD	EMC Microcollections 009B3204	75.72538680358011	28
PDB-PD	Chembridge 9014479	62.28890584888642	23
PDB-PD	Chem T&I NSB 0071574	73.58343162422813	30
PDB-PD	Chem T&I AMSACS-12929	59.52889752306945	21
PDB-PD	Life Chemicals F0396-0052	55.52404079650316	27
PDB-PD	Chem T&I AMSACS-08712	67.7921321029626	23
PDB-PD	Life Chemicals F0560-0107	39.86845209186151	28
PDB-PD	Chemdiv 8005-4355	77.23326163879831	28
