PocketVec distance cut-off	# of shared compounds	Fisher Test Odds Ratio	Fisher test pvalue	# PocketVec dist <= cut-off & # shared cpds >= cut-off	# PocketVec dist <= cut-off & # shared cpds < cut-off	# PocketVec dist > cut-off & # shared cpds >= cut-off	# PocketVec dist > cut-off & # shared cpds < cut-off
0.05	1	7.704	0.17192590453131704	1.0	2.0	80616.0	1242104.0
0.05	2	12.855	0.10816572555194787	1.0	2.0	49521.0	1273199.0
0.05	5	31.339	0.04637816553061821	1.0	2.0	20772.0	1301948.0
0.05	10	103.7	0.014328596857785574	1.0	2.0	6347.0	1316373.0
0.05	20	364.288	0.004108603447343778	1.0	2.0	1813.0	1320907.0
0.05	50	905.473	0.001657028663333582	1.0	2.0	730.0	1321990.0
0.05	100	1485.702	0.001011209386236682	1.0	2.0	445.0	1322275.0
0.05	200	2634.4	0.0005714397866200135	1.0	2.0	251.0	1322469.0
0.05	500	6817.644	0.00022225245970540256	1.0	2.0	97.0	1322623.0
0.05	1000	17403.711	8.845135326887178e-05	1.0	2.0	38.0	1322682.0
0.1	1	10.914	4.5427851851686145e-36	63.0	89.0	80554.0	1242017.0
0.1	2	15.013	6.353960670950306e-40	56.0	96.0	49466.0	1273105.0
0.1	5	28.116	1.4366818412137615e-46	47.0	105.0	20726.0	1301845.0
0.1	10	74.523	7.538674704007882e-57	40.0	112.0	6308.0	1316263.0
0.1	20	213.802	2.74543201794103e-64	34.0	118.0	1780.0	1320791.0
0.1	50	368.569	6.322016745559007e-54	25.0	127.0	706.0	1321865.0
0.1	100	498.699	2.1953913610040012e-48	21.0	131.0	425.0	1322146.0
0.1	200	563.654	1.2207843262807814e-33	14.0	138.0	238.0	1322333.0
0.1	500	935.204	4.282558362875016e-24	9.0	143.0	89.0	1322482.0
0.1	1000	1323.066	1.0761931687340504e-14	5.0	147.0	34.0	1322537.0
0.17	1	1.846	0.0	17455.0	161720.0	63162.0	1080386.0
0.17	2	2.187	0.0	12286.0	166889.0	37236.0	1106312.0
0.17	5	2.745	0.0	6151.0	173024.0	14622.0	1128926.0
0.17	10	3.381	0.0	2186.0	176989.0	4162.0	1139386.0
0.17	20	4.659	3.7032699319269883e-196	764.0	178411.0	1050.0	1142498.0
0.17	50	6.376	2.9578280548180166e-122	365.0	178810.0	366.0	1143182.0
0.17	100	7.053	1.1665163505236084e-84	234.0	178941.0	212.0	1143336.0
0.17	200	8.245	3.03235581298917e-57	142.0	179033.0	110.0	1143438.0
0.17	500	12.575	4.289665668609865e-33	65.0	179110.0	33.0	1143515.0
0.17	1000	11.398	4.2278181731285667e-13	25.0	179150.0	14.0	1143534.0
