PocketVec distance cut-off	# of shared compounds	Fisher Test Odds Ratio	Fisher test pvalue	# PocketVec dist <= cut-off & # shared cpds >= cut-off	# PocketVec dist <= cut-off & # shared cpds < cut-off	# PocketVec dist > cut-off & # shared cpds >= cut-off	# PocketVec dist > cut-off & # shared cpds < cut-off
0.05	1	inf	0.46287328494238916	1.0	0.0	22939.0	26620.0
0.05	2	inf	0.22701775625866769	1.0	0.0	11250.0	38309.0
0.05	25		1.0	0.0	1.0	0.0	49559.0
0.05	30		1.0	0.0	1.0	0.0	49559.0
0.05	60		1.0	0.0	1.0	0.0	49559.0
0.1	1	4.643	0.05224776580062117	8.0	2.0	22932.0	26618.0
0.1	2	13.629	0.0002020928841641174	8.0	2.0	11243.0	38307.0
0.1	25		1.0	0.0	10.0	0.0	49550.0
0.1	30		1.0	0.0	10.0	0.0	49550.0
0.1	60		1.0	0.0	10.0	0.0	49550.0
0.17	1	0.974	0.3960797605737322	2130.0	2532.0	20810.0	24088.0
0.17	2	0.932	0.06100002993969501	1007.0	3655.0	10244.0	34654.0
0.17	5	1.201	0.013038172810586566	224.0	4438.0	1811.0	43087.0
0.17	10	1.571	0.01083130756748757	40.0	4622.0	246.0	44652.0
0.17	15	2.096	0.038533987540003575	10.0	4652.0	46.0	44852.0
0.17	25		1.0	0.0	4662.0	0.0	44898.0
0.17	30		1.0	0.0	4662.0	0.0	44898.0
0.17	60		1.0	0.0	4662.0	0.0	44898.0
