ProSPECCTs Dataset	Compound library _ # of cpds	Docking strategy	AUROC
P1	LLM_1000	SMINA	0.895
P1	LLM_1000	rDock	0.9773
P1	Fragments_667	SMINA	0.9031
P1	Fragments_667	rDock	0.9064
P1.2	LLM_1000	SMINA	0.9797
P1.2	LLM_1000	rDock	0.9984
P1.2	Fragments_667	SMINA	0.9802
P1.2	Fragments_667	rDock	0.9976
P2	LLM_1000	SMINA	0.9345
P2	LLM_1000	rDock	0.9652
P2	Fragments_667	SMINA	0.8272
P2	Fragments_667	rDock	0.8469
P3	LLM_1000	SMINA	0.6624
P3	LLM_1000	rDock	0.683
P3	Fragments_667	SMINA	0.7391
P3	Fragments_667	rDock	0.6787
P4	LLM_1000	SMINA	0.6824
P4	LLM_1000	rDock	0.7273
P4	Fragments_667	SMINA	0.6702
P4	Fragments_667	rDock	0.6297
P5	LLM_1000	SMINA	0.6693
P5	LLM_1000	rDock	0.6894
P5	Fragments_667	SMINA	0.5904
P5	Fragments_667	rDock	0.6463
P5.2	LLM_1000	SMINA	0.6941
P5.2	LLM_1000	rDock	0.6324
P5.2	Fragments_667	SMINA	0.5956
P5.2	Fragments_667	rDock	0.6001
P7	LLM_1000	SMINA	0.8444
P7	LLM_1000	rDock	0.8671
P7	Fragments_667	SMINA	0.8545
P7	Fragments_667	rDock	0.814
Av	LLM_1000	SMINA	0.7952250000000001
Av	LLM_1000	rDock	0.8175125
Av	Fragments_667	SMINA	0.7700375
Av	Fragments_667	rDock	0.7649625
W.Av	LLM_1000	SMINA	0.854720561649386
W.Av	LLM_1000	rDock	0.8974494299847549
W.Av	Fragments_667	SMINA	0.8257453318797531
W.Av	Fragments_667	rDock	0.8197018585615969
