Compound Type	Standard Deviation	Docking Strategy
LLM (1000)	0.15812	rDock
LLM (1000)	0.18966	rDock
LLM (1000)	0.17597	rDock
LLM (1000)	0.18297	rDock
LLM (1000)	0.21856	rDock
LLM (1000)	0.18303	rDock
LLM (1000)	0.2223	rDock
LLM (1000)	0.24268	rDock
LLM (1000)	0.14169	rDock
LLM (1000)	0.19803	rDock
LLM (1000)	0.21246	rDock
LLM (1000)	0.21233	rDock
LLM (1000)	0.21717	rDock
LLM (1000)	0.22636	rDock
LLM (1000)	0.19443	rDock
LLM (1000)	0.2181	rDock
LLM (1000)	0.1399	rDock
LLM (1000)	0.22284	rDock
LLM (1000)	0.241	rDock
LLM (1000)	0.14232	rDock
LLM (1000)	0.12489	rDock
LLM (1000)	0.23538	rDock
LLM (1000)	0.11595	rDock
LLM (1000)	0.22186	rDock
LLM (1000)	0.18247	rDock
LLM (1000)	0.19326	rDock
LLM (1000)	0.23528	rDock
LLM (1000)	0.22277	rDock
LLM (1000)	0.21777	rDock
LLM (1000)	0.18918	rDock
LLM (1000)	0.19665	rDock
LLM (1000)	0.17553	rDock
LLM (1000)	0.17006	rDock
LLM (1000)	0.17024	rDock
LLM (1000)	0.20735	rDock
LLM (1000)	0.10753	rDock
LLM (1000)	0.18335	rDock
LLM (1000)	0.20598	rDock
LLM (1000)	0.21954	rDock
LLM (1000)	0.18348	rDock
LLM (1000)	0.10821	rDock
LLM (1000)	0.28336	rDock
LLM (1000)	0.22685	rDock
LLM (1000)	0.19491	rDock
LLM (1000)	0.21835	rDock
LLM (1000)	0.18258	rDock
LLM (1000)	0.17686	rDock
LLM (1000)	0.20276	rDock
LLM (1000)	0.1824	rDock
LLM (1000)	0.18099	rDock
LLM (1000)	0.19328	rDock
LLM (1000)	0.21046	rDock
LLM (1000)	0.22458	rDock
LLM (1000)	0.20024	rDock
LLM (1000)	0.18316	rDock
LLM (1000)	0.18096	rDock
LLM (1000)	0.12006	rDock
LLM (1000)	0.17642	rDock
LLM (1000)	0.20028	rDock
LLM (1000)	0.1601	rDock
LLM (1000)	0.19074	rDock
LLM (1000)	0.22659	rDock
LLM (1000)	0.12701	rDock
LLM (1000)	0.19059	rDock
