Docking strategy	ProSPECCTs Dataset	Compound Library	Number of mutations	AUROC
rDock	P3	LLM_128	1	0.49043791779886214
rDock	P3	LLM_128	2	0.528463237581148
rDock	P3	LLM_128	3	0.5849820558212823
rDock	P3	LLM_128	4	0.6283697105146289
rDock	P3	LLM_128	5	0.6707780948510492
SMINA	P3	LLM_128	1	0.4898212013534784
SMINA	P3	LLM_128	2	0.5304897682420471
SMINA	P3	LLM_128	3	0.5645504197324424
SMINA	P3	LLM_128	4	0.5934417561288255
SMINA	P3	LLM_128	5	0.6266463707739145
rDock	P3	Fragments_128	1	0.49209512493838875
rDock	P3	Fragments_128	2	0.5300425470809453
rDock	P3	Fragments_128	3	0.596935312801992
rDock	P3	Fragments_128	4	0.6403704656504675
rDock	P3	Fragments_128	5	0.676299063731358
SMINA	P3	Fragments_128	1	0.5331485505217479
SMINA	P3	Fragments_128	2	0.5908353454580131
SMINA	P3	Fragments_128	3	0.65172604536692
SMINA	P3	Fragments_128	4	0.6861319580472698
SMINA	P3	Fragments_128	5	0.7411919669514413
rDock	P4	LLM_128	1	0.5131036249292407
rDock	P4	LLM_128	2	0.5920623358535946
rDock	P4	LLM_128	3	0.6490089147056883
rDock	P4	LLM_128	4	0.6809522140948711
rDock	P4	LLM_128	5	0.7192851158956094
SMINA	P4	LLM_128	1	0.5140709583738299
SMINA	P4	LLM_128	2	0.5738025968467257
SMINA	P4	LLM_128	3	0.6204289082853705
SMINA	P4	LLM_128	4	0.6558079593091559
SMINA	P4	LLM_128	5	0.6807857182855424
rDock	P4	Fragments_128	1	0.48933606815960307
rDock	P4	Fragments_128	2	0.5438188028823789
rDock	P4	Fragments_128	3	0.5959131627051606
rDock	P4	Fragments_128	4	0.623788098460399
rDock	P4	Fragments_128	5	0.6477770674892953
SMINA	P4	Fragments_128	1	0.5316990279150766
SMINA	P4	Fragments_128	2	0.5915340789699104
SMINA	P4	Fragments_128	3	0.638210050846922
SMINA	P4	Fragments_128	4	0.6605343279096986
SMINA	P4	Fragments_128	5	0.700557020795066
