Uniprot ID	Compound Name	Binding
O00311	BI00036838	0
O00311	BI00601000	0
O00311	BI00645435	0
O00311	CA93.0	0
O00311	CCT241533	0
O00311	GSK1007102B	0
O00311	GSK1034945A	0
O00311	GSK114	0
O00311	GSK1173862A	0
O00311	GSK1229959A	0
O00311	GSK1307810A	0
O00311	GSK1325775A	0
O00311	GSK1383280A	0
O00311	GSK1383281A	0
O00311	GSK1389063A	0
O00311	GSK1487252A	0
O00311	GSK1520489A	0
O00311	GSK1558669A	0
O00311	GSK1576028A	0
O00311	GSK1581427A	0
O00311	GSK1581428A	0
O00311	GSK1649598A	0
O00311	GSK1660450B	0
O00311	GSK204919_KCGS	0
O00311	GSK2177277A	1
O00311	GSK2181306A	0
O00311	GSK2188764A	0
O00311	GSK223675A	0
O00311	GSK260205A	0
O00311	GSK507274A	0
O00311	GSK561866B	0
O00311	GSK614526A	0
O00311	GSK619487A	0
O00311	GSK840	0
O00311	GSK902056A	0
O00311	GSK938890A	0
O00311	GSK949675A	0
O00311	GW271431X	0
O00311	GW305178X	0
O00311	GW406108X	0
O00311	GW435821X_KCGS	0
O00311	GW440137A	0
O00311	GW440139A	0
O00311	GW441806A	0
O00311	GW493036X	0
O00311	GW494601A	0
O00311	GW494610A	0
O00311	GW552771X	0
O00311	GW557777X	0
O00311	GW579362A	0
O00311	GW581744X	0
O00311	GW589933X	0
O00311	GW622475X	0
O00311	GW693481X	0
O00311	GW694077X	0
O00311	GW695874X	0
O00311	GW696155X	0
O00311	GW709213X	0
O00311	GW767488X	0
O00311	GW777257X	0
O00311	GW778894X	0
O00311	GW779439X_PKIS1	0
O00311	GW780056X	0
O00311	GW780159X	0
O00311	GW786460X	0
O00311	GW801372X	0
O00311	GW810372X	0
O00311	GW810576X	0
O00311	GW830707A	0
O00311	GW835314X	0
O00311	GW855857X	0
O00311	GW857175X	0
O00311	GW868318X	0
O00311	GW869640X	0
O00311	GW869641X	0
O00311	GW872411X	0
O00311	GW876790X	0
O00311	JNK-IN-7	0
O00311	PFE-PKIS_21	0
O00311	PFE-PKIS_41	0
O00311	RO0281601-001	0
O00311	RO0282586-000	0
O00311	RO0282986-001	0
O00311	RO0283049-001	0
O00311	RO0283120-000	0
O00311	RO0317471-000	0
O00311	RO0317753-000	0
O00311	RO0318352-000	0
O00311	RO0318425-001	0
O00311	RO0318676-000	0
O00311	RO0319371-000	0
O00311	RO0320234-001	0
O00311	RO0320432-000	0
O00311	RO0320557-001	0
O00311	RO0480500-002	0
O00311	RO1155697-000	0
O00311	RO1166259-000	0
O00311	RO3202312-001	0
O00311	RO3206173-000	0
O00311	RO3303470-000	0
O00311	RO3303724-001	0
O00311	RO3304774-001	0
O00311	RO3305411-001	0
O00311	RO3305413-001	0
O00311	RO3308271-001	0
O00311	RO3309180-001	0
O00311	RO3310867-000	0
O00311	RO3311017-001	0
O00311	RO4367438-000	0
O00311	RO4367842-001	0
O00311	RO4442245-000	0
O00311	RO4493941-000	0
O00311	RO4503315-000	0
O00311	RO4602005-000	0
O00311	RO4624208-000	0
O00311	RO5027956-000	0
O00311	RO5033700-000	0
O00311	RO5036538-000	0
O00311	RO5036558-000	0
O00311	RO5040027-000	0
O00311	RO5043011-000	0
O00311	RO5043312-000	0
O00311	RO5045977-000	0
O00311	RO5067310-000	0
O00311	SB-219952	0
O00311	SB-220025-A	0
O00311	SB-220455	0
O00311	SB-221466	0
O00311	SB-222903	0
O00311	SB-223132	0
O00311	SB-223133	0
O00311	SB-226605	0
O00311	SB-226879	0
O00311	SB-236687	0
O00311	SB-238039-R	0
O00311	SB-239272	0
O00311	SB-242718	0
O00311	SB-242719	0
O00311	SB-249175	0
O00311	SB-250715	0
O00311	SB-251527	0
O00311	SB-264866	0
O00311	SB-284847-BT	0
O00311	SB-284851-BT	0
O00311	SB-284852-BT	0
O00311	SB-333613	0
O00311	SB-390526	0
O00311	SB-390530	0
O00311	SB-477794-AAA	0
O00311	SB-627772-A	0
O00311	SB-675259-M	0
O00311	SB-678557-A	0
O00311	SB-686709-A	0
O00311	SB-698596-AC	0
O00311	SB-725317	0
O00311	SB-731579	0
O00311	SB-732881	0
O00311	SB-732881-H	0
O00311	SB-747651A	0
O00311	SB-750140	0
O00311	SB-759335-B	0
O00311	SB-772077-B	0
O00311	TPKI-16	0
O00311	XMD-17-51	0
O00444	BI00036838	0
O00444	BI00601000	0
O00444	BI00645435	0
O00444	CA93.0	0
O00444	CCT241533	0
O00444	GSK1007102B	0
O00444	GSK1034945A	0
O00444	GSK114	0
O00444	GSK1173862A	0
O00444	GSK1229959A	0
O00444	GSK1307810A	0
O00444	GSK1325775A	0
O00444	GSK1383280A	0
O00444	GSK1383281A	0
O00444	GSK1389063A	0
O00444	GSK1487252A	0
O00444	GSK1520489A	1
O00444	GSK1558669A	0
O00444	GSK1576028A	1
O00444	GSK1581427A	0
O00444	GSK1581428A	0
O00444	GSK1649598A	0
O00444	GSK1660450B	0
O00444	GSK204919_KCGS	0
O00444	GSK2177277A	0
O00444	GSK2181306A	0
O00444	GSK2188764A	0
O00444	GSK223675A	0
O00444	GSK260205A	0
O00444	GSK507274A	0
O00444	GSK561866B	0
O00444	GSK614526A	0
O00444	GSK619487A	0
O00444	GSK840	0
O00444	GSK902056A	0
O00444	GSK938890A	0
O00444	GSK949675A	0
O00444	GW271431X	0
O00444	GW305178X	0
O00444	GW406108X	0
O00444	GW435821X_KCGS	0
O00444	GW440137A	0
O00444	GW440139A	0
O00444	GW441806A	0
O00444	GW493036X	0
O00444	GW494601A	0
O00444	GW494610A	0
O00444	GW552771X	0
O00444	GW557777X	0
O00444	GW579362A	0
O00444	GW581744X	0
O00444	GW589933X	0
O00444	GW622475X	0
O00444	GW693481X	0
O00444	GW694077X	0
O00444	GW695874X	0
O00444	GW696155X	0
O00444	GW709213X	0
O00444	GW767488X	0
O00444	GW777257X	0
O00444	GW778894X	0
O00444	GW779439X_PKIS1	0
O00444	GW780056X	0
O00444	GW780159X	0
O00444	GW786460X	0
O00444	GW801372X	0
O00444	GW810372X	0
O00444	GW810576X	0
O00444	GW830707A	0
O00444	GW835314X	0
O00444	GW855857X	0
O00444	GW857175X	0
O00444	GW868318X	0
O00444	GW869640X	0
O00444	GW869641X	0
O00444	GW872411X	0
O00444	GW876790X	0
O00444	JNK-IN-7	0
O00444	PFE-PKIS_21	0
O00444	PFE-PKIS_41	0
O00444	RO0281601-001	0
O00444	RO0282586-000	0
O00444	RO0282986-001	0
O00444	RO0283049-001	0
O00444	RO0283120-000	0
O00444	RO0317471-000	0
O00444	RO0317753-000	0
O00444	RO0318352-000	0
O00444	RO0318425-001	0
O00444	RO0318676-000	0
O00444	RO0319371-000	0
O00444	RO0320234-001	0
O00444	RO0320432-000	0
O00444	RO0320557-001	0
O00444	RO0480500-002	0
O00444	RO1155697-000	0
O00444	RO1166259-000	0
O00444	RO3202312-001	0
O00444	RO3206173-000	0
O00444	RO3303470-000	0
O00444	RO3303724-001	0
O00444	RO3304774-001	0
O00444	RO3305411-001	0
O00444	RO3305413-001	0
O00444	RO3308271-001	0
O00444	RO3309180-001	0
O00444	RO3310867-000	0
O00444	RO3311017-001	0
O00444	RO4367438-000	0
O00444	RO4367842-001	0
O00444	RO4442245-000	0
O00444	RO4493941-000	0
O00444	RO4503315-000	0
O00444	RO4602005-000	0
O00444	RO4624208-000	0
O00444	RO5027956-000	0
O00444	RO5033700-000	0
O00444	RO5036538-000	0
O00444	RO5036558-000	0
O00444	RO5040027-000	0
O00444	RO5043011-000	0
O00444	RO5043312-000	0
O00444	RO5045977-000	0
O00444	RO5067310-000	0
O00444	SB-219952	0
O00444	SB-220025-A	0
O00444	SB-220455	0
O00444	SB-221466	0
O00444	SB-222903	0
O00444	SB-223132	0
O00444	SB-223133	0
O00444	SB-226605	0
O00444	SB-226879	0
O00444	SB-236687	0
O00444	SB-238039-R	0
O00444	SB-239272	0
O00444	SB-242718	0
O00444	SB-242719	0
O00444	SB-249175	0
O00444	SB-250715	0
O00444	SB-251527	0
O00444	SB-264866	0
O00444	SB-284847-BT	0
O00444	SB-284851-BT	0
O00444	SB-284852-BT	0
O00444	SB-333613	0
O00444	SB-390526	0
O00444	SB-390530	0
O00444	SB-477794-AAA	0
O00444	SB-627772-A	0
O00444	SB-675259-M	0
O00444	SB-678557-A	0
O00444	SB-686709-A	0
O00444	SB-698596-AC	0
O00444	SB-725317	0
O00444	SB-731579	0
O00444	SB-732881	0
O00444	SB-732881-H	0
O00444	SB-747651A	0
O00444	SB-750140	0
O00444	SB-759335-B	0
O00444	SB-772077-B	0
O00444	TPKI-16	0
