Pfam domain	Domain 1	Domain 2	Length Domain 1	Length Domain 2	Seq Id	RMSD	Prop aligned	Dist centroids (A)	Pocket 1	Pocket 2	PocketVec Similarity
PF00003	O00222_PF00003_577_837	Q14831_PF00003_584_844	261	261	0.87	0.412	0.947368	1.621	O00222_PF00003_577_837_fpocket_4	Q14831_PF00003_584_844_fpocket_5	0.856
PF00003	O15303_PF00003_579_839	O75899_PF00003_475_743	261	269	0.118	2.331	1.0	6.019	O15303_PF00003_579_839_fpocket_10	O75899_PF00003_475_743_fpocket_17	0.8280000000000001
PF00003	O15303_PF00003_579_839	Q14832_PF00003_570_822	261	253	0.667	0.386	1.0	3.411	O15303_PF00003_579_839_fpocket_12	Q14832_PF00003_570_822_fpocket_5	0.834
PF00003	O15303_PF00003_579_839	Q9NZD1_PF00003_16_261	261	246	0.357	0.599	1.0	4.302	O15303_PF00003_579_839_fpocket_12	Q9NZD1_PF00003_16_261_fpocket_1	0.853
PF00003	O75899_PF00003_475_743	Q5T6X5_PF00003_587_833	269	247	0.294	2.52	0.85	2.341	O75899_PF00003_475_743_fpocket_12	Q5T6X5_PF00003_587_833_fpocket_1	0.768
PF00003	O75899_PF00003_475_743	Q5T848_PF00003_410_666	269	257	0.235	2.62	0.85	2.889	O75899_PF00003_475_743_fpocket_12	Q5T848_PF00003_410_666_fpocket_1	0.757
PF00003	P41180_PF00003_606_856	Q14831_PF00003_584_844	251	261	0.421	0.32	1.0	0.996	P41180_PF00003_606_856_fpocket_3	Q14831_PF00003_584_844_fpocket_6	0.794
PF00003	Q14832_PF00003_570_822	Q9NZD1_PF00003_16_261	253	246	0.263	0.43	1.0	5.424	Q14832_PF00003_570_822_fpocket_5	Q9NZD1_PF00003_16_261_fpocket_1	0.8069999999999999
PF00003	Q5T6X5_PF00003_587_833	Q5T848_PF00003_410_666	247	257	0.267	1.947	0.882353	3.455	Q5T6X5_PF00003_587_833_fpocket_1	Q5T848_PF00003_410_666_fpocket_1	0.774
PF00004	A6NMB9_PF00004_428_557	O15381_PF00004_301_434	130	134	0.429	0.345	1.0	1.981	A6NMB9_PF00004_428_557_fpocket_1	O15381_PF00004_301_434_fpocket_4	0.852
PF00004	A6NMB9_PF00004_428_557	O43933_PF00004_877_1007	130	131	0.533	0.388	1.0	4.195	A6NMB9_PF00004_428_557_fpocket_1	O43933_PF00004_877_1007_fpocket_5	0.864
PF00004	A6NMB9_PF00004_428_557	P36776_PF00004_519_661	130	143	0.474	0.435	1.0	1.658	A6NMB9_PF00004_428_557_fpocket_1	P36776_PF00004_519_661_fpocket_1	0.827
PF00004	A6NMB9_PF00004_428_557	Q5T2N8_PF00004_173_300	130	128	0.421	0.393	1.0	1.605	A6NMB9_PF00004_428_557_fpocket_1	Q5T2N8_PF00004_173_300_fpocket_2	0.81
PF00004	A6NMB9_PF00004_428_557	Q86XH1_PF00004_571_701	130	131	0.5	0.554	1.0	2.516	A6NMB9_PF00004_428_557_fpocket_1	Q86XH1_PF00004_571_701_fpocket_4	0.8009999999999999
PF00004	A6NMB9_PF00004_428_557	Q9Y4W6_PF00004_344_477	130	134	0.533	0.365	1.0	3.517	A6NMB9_PF00004_428_557_fpocket_1	Q9Y4W6_PF00004_344_477_fpocket_3	0.86
PF00004	O15381_PF00004_301_434	O43933_PF00004_877_1007	134	131	0.867	0.206	1.0	2.699	O15381_PF00004_301_434_fpocket_4	O43933_PF00004_877_1007_fpocket_5	0.849
PF00004	O15381_PF00004_301_434	P36776_PF00004_519_661	134	143	0.643	0.427	1.0	1.322	O15381_PF00004_301_434_fpocket_4	P36776_PF00004_519_661_fpocket_1	0.851
PF00004	O15381_PF00004_301_434	P40937_PF00004_56_177	134	122	0.214	1.307	0.95	5.872	O15381_PF00004_301_434_fpocket_5	P40937_PF00004_56_177_fpocket_4	0.79
PF00004	O15381_PF00004_301_434	Q5T2N8_PF00004_173_300	134	128	0.786	0.429	1.0	2.363	O15381_PF00004_301_434_fpocket_4	Q5T2N8_PF00004_173_300_fpocket_2	0.8
PF00004	O15381_PF00004_301_434	Q5T2N8_PF00004_173_300	134	128	0.214	1.769	1.0	0.779	O15381_PF00004_301_434_fpocket_5	Q5T2N8_PF00004_173_300_fpocket_3	0.785
PF00004	O15381_PF00004_301_434	Q86XH1_PF00004_571_701	134	131	0.444	0.442	1.0	2.722	O15381_PF00004_301_434_fpocket_4	Q86XH1_PF00004_571_701_fpocket_4	0.835
PF00004	O15381_PF00004_301_434	Q9Y4W6_PF00004_344_477	134	134	0.867	0.258	1.0	2.212	O15381_PF00004_301_434_fpocket_4	Q9Y4W6_PF00004_344_477_fpocket_3	0.868
PF00004	O15381_PF00004_301_434	Q9Y4W6_PF00004_344_477	134	134	0.615	0.928	0.928571	0.848	O15381_PF00004_301_434_fpocket_5	Q9Y4W6_PF00004_344_477_fpocket_6	0.859
PF00004	O43933_PF00004_877_1007	P36776_PF00004_519_661	131	143	0.6	0.471	1.0	2.425	O43933_PF00004_877_1007_fpocket_5	P36776_PF00004_519_661_fpocket_1	0.879
PF00004	O43933_PF00004_877_1007	Q5T2N8_PF00004_173_300	131	128	0.867	0.507	1.0	3.343	O43933_PF00004_877_1007_fpocket_5	Q5T2N8_PF00004_173_300_fpocket_2	0.854
PF00004	O43933_PF00004_877_1007	Q86XH1_PF00004_571_701	131	131	0.444	0.473	1.0	2.441	O43933_PF00004_877_1007_fpocket_5	Q86XH1_PF00004_571_701_fpocket_4	0.761
PF00004	O43933_PF00004_877_1007	Q9Y4W6_PF00004_344_477	131	134	0.867	0.31	1.0	1.13	O43933_PF00004_877_1007_fpocket_5	Q9Y4W6_PF00004_344_477_fpocket_3	0.891
