Domain (Uniprot_Pfam_Start_End)	Pocket Sets
A0A024RBG1_PF00293_17_144	AF2-PD
A0A075B6H7_PF07686_26_115	AF2-PD
A0A075B6H8_PF07686_28_117	AF2-PD
A0A075B6H9_PF07686_25_119	AF2-PD
A0A075B6I0_PF07686_29_122	AF2-PD
A0A075B6I1_PF07686_26_120	AF2-PD
A0A075B6I3_PF07686_24_123	AF2-PD
A0A075B6I4_PF07686_24_116	AF2-PD
A0A075B6I6_PF07686_24_117	AF2-PD
A0A075B6I7_PF07686_24_105	AF2-PD
A0A075B6I9_PF07686_24_116	AF2-PD
A0A075B6J1_PF07686_24_123	AF2-PD
A0A075B6J2_PF07686_24_118	AF2-PD
A0A075B6J6_PF07686_24_115	AF2-PD
A0A075B6J9_PF07686_24_118	AF2-PD
A0A075B6K0_PF07686_24_115	AF2-PD
A0A075B6K2_PF07686_24_115	AF2-PD
A0A075B6K4_PF07686_24_115	AF2-PD
A0A075B6K5_PF07686_24_115	AF2-PD
A0A075B6K6_PF07686_24_121	AF2-PD
A0A075B6L6_PF07686_25_112	AF2-PD
A0A075B6N1_PF07686_25_114	PDB-PD,AF2-PD
A0A075B6N2_PF07686_20_111	AF2-PD
A0A075B6N3_PF07686_25_114	AF2-PD
A0A075B6N4_PF07686_25_114	AF2-PD
A0A075B6P5_PF07686_26_119	AF2-PD
A0A075B6Q5_PF07686_25_118	AF2-PD
A0A075B6R0_PF07686_25_118	AF2-PD
A0A075B6R2_PF07686_24_117	AF2-PD
A0A075B6R9_PF07686_26_119	AF2-PD
A0A075B6S2_PF07686_26_118	AF2-PD
A0A075B6S4_PF07686_28_117	AF2-PD
A0A075B6S5_PF07686_28_117	AF2-PD
A0A075B6S6_PF07686_26_118	AF2-PD
A0A075B6S9_PF07686_28_115	AF2-PD
A0A075B6T6_PF07686_27_113	PDB-PD,AF2-PD
A0A075B6T7_PF07686_45_132	AF2-PD
A0A075B6T8_PF07686_25_112	AF2-PD
A0A075B6U4_PF07686_27_112	AF2-PD
A0A075B6V5_PF07686_27_113	AF2-PD
A0A075B6W5_PF07686_34_121	AF2-PD
A0A075B6X5_PF07686_25_111	AF2-PD
A0A075B759_PF00160_7_163	AF2-PD
A0A075B767_PF00160_7_163	AF2-PD
A0A087WSX0_PF07686_24_123	AF2-PD
A0A087WSY4_PF07686_24_118	AF2-PD
A0A087WSY6_PF07686_26_114	AF2-PD
A0A087WSZ0_PF07686_28_116	AF2-PD
A0A087WSZ9_PF07686_26_112	AF2-PD
A0A087WT01_PF07686_24_109	AF2-PD
A0A087WT02_PF07686_25_112	AF2-PD
A0A087WT03_PF07686_22_109	AF2-PD
A0A087WV53_PF07679_148_237	AF2-PD
A0A087WV53_PF07679_54_144	AF2-PD
A0A087WV62_PF07686_25_115	AF2-PD
A0A087WW87_PF07686_26_120	AF2-PD
A0A087X0K7_PF07686_25_113	AF2-PD
A0A087X0M5_PF07686_25_115	AF2-PD
A0A087X1C5_PF00067_345_512	AF2-PD
A0A087X1C5_PF00067_34_332	AF2-PD
A0A096LNP1_PF13841_28_57	AF2-PD
A0A0A0MRZ7_PF07686_26_120	AF2-PD
A0A0A0MRZ8_PF07686_26_114	AF2-PD
A0A0A0MRZ9_PF07686_24_124	AF2-PD
A0A0A0MS00_PF07686_23_114	AF2-PD
A0A0A0MS01_PF07686_23_119	AF2-PD
A0A0A0MS02_PF07686_25_117	AF2-PD
A0A0A0MS03_PF07686_25_113	AF2-PD
A0A0A0MS04_PF07686_25_114	AF2-PD
A0A0A0MS05_PF07686_25_113	AF2-PD
A0A0A0MS06_PF07686_25_115	AF2-PD
A0A0A0MS14_PF07686_25_117	AF2-PD
A0A0A0MS15_PF07686_26_119	AF2-PD
A0A0A0MT36_PF07686_25_113	AF2-PD
A0A0A6YYC5_PF07686_26_116	AF2-PD
A0A0A6YYD4_PF07686_35_123	AF2-PD
A0A0A6YYG2_PF07686_25_114	AF2-PD
A0A0A6YYG3_PF07686_25_113	AF2-PD
A0A0A6YYJ7_PF07686_24_113	AF2-PD
A0A0A6YYK1_PF07686_25_113	AF2-PD
A0A0A6YYK4_PF07686_27_115	AF2-PD
A0A0A6YYK6_PF07686_24_109	AF2-PD
A0A0A6YYK7_PF07686_26_116	AF2-PD
A0A0B4J1U3_PF07686_24_116	PDB-PD,AF2-PD
A0A0B4J1U4_PF07686_25_118	AF2-PD
