	domain	reference	fpocket	drug score	prank rescore	buriedness
0	A0A075B6N1_PF07686_25_114	5NQK_B	fpocket4	0.875	10.6366	17
1	A0A075B6N1_PF07686_25_114	5NQK_B	fpocket2	0.011	3.3219	7
2	A0A075B6T6_PF07686_27_113	5E9D_D	fpocket1	0.085	9.8874	19
3	A0A075B6T6_PF07686_27_113	5E9D_D	fpocket5	0.001	3.4022	15
4	A0A0B4J1U3_PF07686_24_116	6MID_L	fpocket5	0.008	6.9424	17
5	A0A0B4J1U3_PF07686_24_116	6MID_L	fpocket1	0.048	5.0611	18
6	A0A0B4J1U6_PF07686_25_114	6AVG_D	fpocket1	0.737	6.5086	17
7	A0A0B4J1U6_PF07686_25_114	6AVG_D	fpocket3	0.001	3.1011	15
8	A0A0B4J268_PF07686_22_109	6AVF_A	fpocket1	0.514	7.5599	19
9	A0A0B4J268_PF07686_22_109	6AVF_A	fpocket9	0.001	4.6615	17
10	A0A0B4J272_PF07686_28_114	6CPH_D	fpocket1	0.052	8.5984	15
11	A0A0B4J272_PF07686_28_114	6CPH_D	fpocket5	0.0	2.7932	13
12	A0A0B4J2H0_PF07686_25_117	5CBE_C	fpocket1	0.404	10.8573	20
13	A0A0B4J2H0_PF07686_25_117	5CBE_C	fpocket5	0.049	6.4983	17
14	A0A0C4DH27_PF07686_25_118	7LLI_E	fpocket6	0.318	10.6332	20
15	A0A0C4DH27_PF07686_25_118	7LLI_E	fpocket3	0.0	7.0858	21
16	A0A0K0K1A5_PF07686_25_114	5E9D_E	fpocket5	0.67	8.9927	17
17	A0A0K0K1A5_PF07686_25_114	5E9D_E	fpocket2	0.0	3.4341	11
18	A0A5B6_PF07686_25_113	6AVF_B	fpocket2	0.868	7.2429	17
19	A0A5B6_PF07686_25_113	6AVF_B	fpocket1	0.001	2.1883	16
20	A0A5B9_PF07654_10_102	4WW1_B	fpocket4	0.011	2.4799	19
21	A0A5B9_PF07654_10_102	4WW1_B	fpocket6	0.0	1.6581	13
22	A0AV96_PF00076_153_220	2DIS_A	fpocket2	0.06	7.4427	18
23	A0AV96_PF00076_153_220	2DIS_A	fpocket1	0.02	1.6127	14
24	A0AVK6_PF02319_114_182	4YO2_A	fpocket1	0.387	7.5062	25
25	A0AVK6_PF02319_114_182	4YO2_A	fpocket2	0.008	3.9529	14
26	A0AVK6_PF02319_262_347	4YO2_A	fpocket1	0.002	18.0233	21
27	A0AVK6_PF02319_262_347	4YO2_A	fpocket7	0.004	10.4138	15
28	A0FGR8_PF00168_385_491	4NPJ_A	fpocket4	0.029	6.9292	18
29	A0FGR8_PF00168_385_491	4NPJ_A	fpocket8	0.005	6.3026	18
30	A0FGR8_PF00168_537_635	4P42_A	fpocket4	0.003	18.1643	17
31	A0FGR8_PF00168_537_635	4P42_A	fpocket2	0.0	2.6927	16
32	A0FGR8_PF00168_801_910	2DMG_A	fpocket10	0.098	23.8531	17
33	A0FGR8_PF00168_801_910	2DMG_A	fpocket7	0.002	11.9277	19
34	A0FGR8_PF17047_191_370	4P42_A	fpocket8	0.994	83.7621	21
35	A0FGR8_PF17047_191_370	4P42_A	fpocket4	0.006	3.9767	14
36	A0JD37_PF07686_23_113	7LLI_F	fpocket1	0.176	7.9513	17
37	A0JD37_PF07686_23_113	7LLI_F	fpocket2	0.0	2.1731	11
38	A1A4S6_PF14604_735_784	2MIO_A	fpocket2	0.013	2.787	15
39	A1A4S6_PF14604_735_784	2MIO_A	fpocket1	0.0	1.9963	12
40	A1Z1Q3_PF01661_88_201	4IQY_A	fpocket3	0.873	21.5682	23
