Kinase pair (UniprotID1 - UniprotID2)	Max. TM-Score	Max. Seq. Id.	PocketVec distance	Exp. Prof. Jaccard Similarity
O00311-O00444	0.75617	28.859	0.1496	0.0
O00311-O14578	0.80632	33.054	0.1995	0.0
O00311-O14757	0.85995	34.468	0.1655	0.0
O00311-O14965	0.84282	29.63	0.1727	0.0
O00311-O14976	0.78007	34.783	0.1699	0.0
O00311-O60285	0.75425	31.064	0.1703	0.0
O00311-O75116	0.86753	34.562	0.152	0.0
O00311-O76039	0.865	30.741	0.1802	0.0
O00311-O94806	0.87619	33.333	0.153	0.0
O00311-O95835	0.8583	32.971	0.1608	0.0
O00311-O96013	0.82554	35.965	0.121	0.0
O00311-P05771	0.8311	31.276	0.1995	0.0
O00311-P15735	0.83355	32.766	0.1769	0.0
O00311-P17252	0.87212	31.667	0.1846	0.0
O00311-P17612	0.88479	31.727	0.144	0.0
O00311-P19784	0.8881	33.184	0.1664	0.0
O00311-P22694	0.86185	33.195	0.1486	0.0
O00311-P23443	0.88083	33.333	0.2164	0.0
O00311-P30291	0.88607	33.333	0.1622	0.0
O00311-P36507	0.71374	33.712	0.1643	0.0
O00311-P36896	0.83169	30.603	0.1661	0.0
O00311-P36897	0.84403	28.899	0.2033	0.0
O00311-P45983	0.81958	26.638	0.1498	0.0
O00311-P45984	0.83956	28.125	0.1923	0.0
O00311-P48729	0.78643	30.531	0.1758	0.0
O00311-P48730	0.83749	32.836	0.1561	0.0
O00311-P49137	0.78214	34.826	0.1711	0.0
O00311-P49674	0.86837	32.824	0.1429	0.0
O00311-P49759	0.76575	26.582	0.1807	0.0
O00311-P49760	0.75132	27.189	0.2012	0.0
O00311-P49840	0.8117	33.005	0.1614	0.0
O00311-P49841	0.99456	67.192	0.0723	0.0
O00311-P50613	0.82916	36.154	0.1773	0.0
O00311-P50750	0.87506	30.041	0.1709	0.0
O00311-P51817	0.88544	36.957	0.1674	0.0
O00311-P54646	0.87154	33.588	0.1196	0.0
O00311-P68400	0.82217	27.488	0.1576	0.0
O00311-Q00536	0.82667	31.132	0.1923	0.0
O00311-Q02750	0.884	29.412	0.1525	0.0
O00311-Q04759	0.87809	35.443	0.155	0.0
O00311-Q05655	0.86379	27.801	0.1484	0.0
O00311-Q13043	0.80167	31.513	0.2295	0.0
O00311-Q13163	0.86199	28.033	0.1772	0.0
O00311-Q13188	0.83905	31.507	0.1722	0.0
O00311-Q13464	0.77566	37.264	0.1944	0.0
O00311-Q13705	0.74959	28.112	0.1763	0.0
O00311-Q13873	0.87228	28.829	0.1721	0.0
O00311-Q13976	0.86768	29.851	0.1851	0.0
O00311-Q15759	0.87641	28.636	0.1388	0.0
O00311-Q16512	0.86029	32.955	0.1397	0.0
O00311-Q16539	0.82454	30.472	0.1174	0.0
O00311-Q2M2I8	0.82638	33.878	0.1904	0.0
O00311-Q5VT25	0.82441	36.681	0.143	0.0
O00311-Q6DT37	0.87075	28.452	0.1852	0.0
O00311-Q6P5Z2	0.88149	30.645	0.1174	0.0
O00311-Q6PHR2	0.87374	30.204	0.2145	0.0
O00311-Q7L7X3	0.88253	30.769	0.1378	0.0
O00311-Q8NEV1	0.71012	31.418	0.1979	0.0
O00311-Q8TD19	0.84757	34.483	0.1718	0.0
O00311-Q96GD4	0.89475	34.783	0.1865	0.0
O00311-Q9H093	0.88551	32.627	0.1875	0.0
O00311-Q9H0K1	0.82856	36.771	0.1401	0.0
O00311-Q9HAZ1	0.84818	35.496	0.1832	0.0
O00311-Q9NQU5	0.87875	29.461	0.1465	0.0
O00311-Q9NSY1	0.83838	29.63	0.1654	0.0
O00311-Q9UBE8	0.83128	32.5	0.1677	0.0
O00311-Q9UK32	0.89084	30.0	0.1656	0.0
O00311-Q9UPZ9	0.76391	29.13	0.1853	0.0
O00311-Q9Y572	0.86849	32.21	0.1771	0.0
O00311-Q9Y5S2	0.86777	32.157	0.1671	0.0
O00311-Q9Y616	0.83251	30.451	0.174	0.0
O00311-Q9Y6E0	0.84079	32.184	0.1262	0.0
O00444-O14578	0.87671	31.429	0.1763	0.0
O00444-O14757	0.88304	32.766	0.1634	0.0
O00444-O14965	0.86659	31.061	0.121	0.0
O00444-O14976	0.85686	34.583	0.1529	0.0
O00444-O60285	0.88667	34.615	0.2214	0.0
O00444-O75116	0.81631	26.364	0.1529	0.0
O00444-O76039	0.82472	26.18	0.2157	0.0
O00444-O94806	0.73381	33.058	0.165	0.0
O00444-O95835	0.77895	30.364	0.1722	0.0
O00444-O96013	0.7464	30.841	0.1836	0.0
O00444-P05771	0.77441	29.614	0.1624	0.0
O00444-P15735	0.76778	38.589	0.1647	0.0
O00444-P17252	0.78781	35.371	0.1301	0.0
O00444-P17612	0.77317	32.099	0.1412	0.0
O00444-P19784	0.78561	37.069	0.2046	0.0
O00444-P22694	0.7827	35.0	0.1897	0.0
O00444-P23443	0.78423	34.177	0.1876	0.0
O00444-P30291	0.80159	36.214	0.1751	0.0
O00444-P36507	0.75663	32.353	0.2121	0.0
O00444-P36896	0.77658	30.081	0.1109	0.0
O00444-P36897	0.79218	29.918	0.1395	0.0
O00444-P45983	0.78858	33.058	0.1772	0.0
O00444-P45984	0.7263	30.544	0.202	0.0
O00444-P48729	0.73581	32.377	0.1527	0.0
O00444-P48730	0.80079	35.391	0.2156	0.0
O00444-P49137	0.79838	38.034	0.1687	0.0
O00444-P49674	0.77949	33.663	0.1897	0.0
O00444-P49759	0.76724	26.05	0.1774	0.0
O00444-P49760	0.82186	29.73	0.1771	0.0
O00444-P49840	0.74808	26.606	0.185	0.0
O00444-P49841	0.81641	31.754	0.1715	0.0
O00444-P50613	0.75742	32.941	0.1318	0.0
O00444-P50750	0.75435	33.068	0.1323	0.0
O00444-P51817	0.8185	39.655	0.1782	0.0
O00444-P54646	0.76872	32.661	0.1863	0.0
O00444-P68400	0.73652	33.621	0.1848	0.0
O00444-Q00536	0.78001	31.405	0.1596	0.0
O00444-Q02750	0.7899	34.979	0.1729	0.0
O00444-Q04759	0.82266	37.657	0.1521	0.0
O00444-Q05655	0.77587	30.453	0.1375	0.0
O00444-Q13043	0.73757	30.612	0.1875	0.0
O00444-Q13163	0.72384	32.787	0.1795	0.0
O00444-Q13188	0.76767	33.466	0.1936	0.0
O00444-Q13464	0.80364	29.279	0.1662	0.0
O00444-Q13705	0.81414	35.391	0.1816	0.0
O00444-Q13873	0.78633	34.043	0.179	0.0
O00444-Q13976	0.8518	31.925	0.2135	0.0
O00444-Q15759	0.79535	30.978	0.1575	0.0
O00444-Q16512	0.7553	30.804	0.1766	0.0
O00444-Q16539	0.79451	30.978	0.1578	0.0
O00444-Q2M2I8	0.82596	32.547	0.1665	0.0
O00444-Q5VT25	0.77737	33.758	0.1884	0.0
O00444-Q6DT37	0.79392	30.093	0.1839	0.0
O00444-Q6P5Z2	0.82661	31.602	0.1538	0.0
O00444-Q6PHR2	0.77002	29.646	0.178	0.0
O00444-Q7L7X3	0.83094	30.097	0.1685	0.0
O00444-Q8NEV1	0.78868	28.251	0.1487	0.0
O00444-Q8TD19	0.82284	29.108	0.1982	0.0
O00444-Q96GD4	0.82709	28.959	0.1913	0.0
O00444-Q9H093	0.83061	31.651	0.1822	0.0
O00444-Q9H0K1	0.83267	29.73	0.1485	0.0
O00444-Q9HAZ1	0.85333	31.278	0.1798	0.0
O00444-Q9NQU5	0.74703	27.83	0.1983	0.0
O00444-Q9NSY1	0.76338	30.66	0.1716	0.0
O00444-Q9UBE8	0.80327	30.317	0.1731	0.0
O00444-Q9UK32	0.76753	31.739	0.1485	0.0
O00444-Q9UPZ9	0.75518	33.333	0.2111	0.0
O00444-Q9Y572	0.77924	32.353	0.1523	0.0
O00444-Q9Y5S2	0.74583	34.615	0.1964	0.0
O00444-Q9Y616	0.74292	27.347	0.174	0.0
O00444-Q9Y6E0	0.78321	32.51	0.1327	0.0
O14578-O14757	0.73439	27.184	0.1793	0.0
O14578-O14965	0.75884	32.812	0.1507	0.0
O14578-O14976	0.74975	33.058	0.1813	0.0
O14578-O60285	0.81182	28.571	0.1549	0.0
O14578-O75116	0.79489	33.482	0.209	0.0
O14578-O76039	0.79367	35.268	0.1645	0.0
O14578-O94806	0.75778	31.884	0.1868	0.0
O14578-O95835	0.81125	30.303	0.1535	0.0
O14578-O96013	0.84115	33.333	0.1713	0.0
O14578-P05771	0.84227	29.091	0.1715	0.0
O14578-P15735	0.81795	30.088	0.1635	0.0
O14578-P17252	0.8648	30.303	0.124	0.0
O14578-P17612	0.8881	30.0	0.1252	0.0
O14578-P19784	0.89888	30.213	0.1764	0.0
O14578-P22694	0.82453	40.351	0.1433	0.0
O14578-P23443	0.83072	37.447	0.1492	0.0
O14578-P30291	0.83464	36.466	0.2209	0.0
O14578-P36507	0.84128	29.762	0.1979	0.0
O14578-P36896	0.82813	34.016	0.202	0.0
O14578-P36897	0.84332	34.746	0.1537	0.0
O14578-P45983	0.85371	34.599	0.1757	0.0
O14578-P45984	0.82934	32.601	0.183	0.0
O14578-P48729	0.83312	27.347	0.1688	0.0
O14578-P48730	0.79356	33.778	0.1709	0.0
O14578-P49137	0.8528	36.429	0.1904	0.0
O14578-P49674	0.89202	36.559	0.1494	0.0
O14578-P49759	0.79291	32.068	0.1769	0.0
O14578-P49760	0.79062	30.8	0.1643	0.0
O14578-P49840	0.7263	30.8	0.159	0.0
O14578-P49841	0.81508	36.626	0.1503	0.0
O14578-P50613	0.78919	33.898	0.1777	0.0
O14578-P50750	0.7934	30.603	0.1966	0.0
O14578-P51817	0.79197	32.743	0.1745	0.0
O14578-P54646	0.87571	45.455	0.1863	0.0
O14578-P68400	0.82322	29.046	0.1648	0.0
O14578-Q00536	0.85216	36.325	0.2171	0.0
O14578-Q02750	0.83709	38.521	0.1578	0.0
O14578-Q04759	0.91786	42.652	0.1657	0.0
O14578-Q05655	0.77934	34.866	0.1756	0.0
O14578-Q13043	0.82852	34.348	0.1752	0.0
O14578-Q13163	0.84652	32.189	0.1832	0.0
O14578-Q13188	0.82566	35.685	0.1986	0.0
O14578-Q13464	0.85217	35.065	0.2205	0.0
O14578-Q13705	0.83933	32.114	0.1582	0.0
O14578-Q13873	0.71503	36.653	0.1665	0.0
O14578-Q13976	0.72947	33.858	0.1363	0.0
O14578-Q15759	0.88057	38.406	0.1803	0.0
O14578-Q16512	0.82127	31.076	0.1639	0.0
O14578-Q16539	0.87495	39.781	0.1875	0.0
O14578-Q2M2I8	0.83858	32.927	0.1574	0.0
O14578-Q5VT25	0.83887	31.25	0.1751	0.0
O14578-Q6DT37	0.87248	31.14	0.1567	0.0
O14578-Q6P5Z2	0.90149	33.818	0.1442	0.0
O14578-Q6PHR2	0.89215	36.123	0.1616	0.0
O14578-Q7L7X3	0.88903	37.295	0.2022	0.0
O14578-Q8NEV1	0.89528	31.381	0.1622	0.0
O14578-Q8TD19	0.91072	31.25	0.187	0.0
O14578-Q96GD4	0.89233	31.818	0.1734	0.0
O14578-Q9H093	0.82805	30.18	0.1934	0.0
O14578-Q9H0K1	0.89635	39.924	0.1931	0.0
O14578-Q9HAZ1	0.86788	33.469	0.1654	0.0
O14578-Q9NQU5	0.85037	37.327	0.1919	0.0
O14578-Q9NSY1	0.84154	36.087	0.1642	0.0
O14578-Q9UBE8	0.79173	25.896	0.1859	0.0
O14578-Q9UK32	0.86108	33.058	0.1521	0.0
O14578-Q9UPZ9	0.94316	36.032	0.1884	0.0
O14578-Q9Y572	0.86514	28.378	0.1586	0.0
O14578-Q9Y5S2	0.81762	32.468	0.1831	0.0
O14578-Q9Y616	0.89613	33.818	0.1364	0.0
O14578-Q9Y6E0	0.89055	34.008	0.1921	0.0
O14757-O14965	0.88321	33.6	0.171	0.0
O14757-O14976	0.86492	32.365	0.1599	0.0
O14757-O60285	0.72157	32.963	0.1728	0.0
O14757-O75116	0.88951	33.75	0.1321	0.0
O14757-O76039	0.89092	31.489	0.1961	0.0
O14757-O94806	0.85389	36.325	0.1571	0.0
O14757-O95835	0.81148	33.054	0.2002	0.0
O14757-O96013	0.85232	36.052	0.1861	0.0
O14757-P05771	0.86009	33.065	0.1742	0.0
O14757-P15735	0.903	36.681	0.1404	0.0
O14757-P17252	0.79196	30.894	0.1792	0.0
O14757-P17612	0.86962	29.289	0.164	0.0
O14757-P19784	0.88845	36.029	0.1782	0.0
O14757-P22694	0.86934	33.475	0.1511	0.0
O14757-P23443	0.88664	38.258	0.1493	0.0
O14757-P30291	0.82488	33.475	0.1308	0.0
O14757-P36507	0.84085	34.818	0.1652	0.0
O14757-P36896	0.8436	37.975	0.1492	0.0
O14757-P36897	0.77816	27.969	0.1616	0.0
O14757-P45983	0.74864	28.319	0.1683	0.0
O14757-P45984	0.83337	37.557	0.1746	0.0
O14757-P48729	0.83693	33.023	0.1824	0.0
O14757-P48730	0.83594	32.083	0.2	0.0
O14757-P49137	0.83621	36.652	0.1578	0.0
O14757-P49674	0.76736	34.711	0.2114	0.0
O14757-P49759	0.77755	35.714	0.1921	0.0
O14757-P49760	0.88714	35.766	0.2223	0.0
