Uniprot ID	# KIs	CS KIs
O00311	1	GSK2177277A
O00444	2	GSK1520489A,GSK1576028A
O14578	1	GSK1007102B
O14757	1	RO0480500-002
O14965	5	GSK1520489A,GSK1558669A,GSK1576028A,RO0282586-000,XMD-17-51
O14976	8	CA93.0,GSK114,GSK1173862A,GSK1649598A,GW494601A,GW494610A,GW557777X,GW830707A
O60285	11	GSK2177277A,GSK2181306A,GSK2188764A,GW305178X,GW589933X,GW780056X,RO0281601-001,RO0283120-000,RO0320234-001,RO0480500-002,XMD-17-51
O75116	10	GSK1229959A,GSK1389063A,GSK1581428A,GW830707A,GW876790X,RO0480500-002,RO4367842-001,SB-750140,SB-759335-B,SB-772077-B
O76039	7	GW778894X,GW810576X,RO0281601-001,RO0282986-001,RO0283049-001,SB-627772-A,SB-732881-H
O94806	4	GSK204919_KCGS,GW855857X,GW869641X,GW872411X
O95835	1	GSK1007102B
O96013	2	GSK2188764A,GSK619487A
P05771	3	RO0318676-000,RO0320234-001,RO0320557-001
P15735	1	CCT241533
P17252	6	RO0318425-001,RO0318676-000,RO0319371-000,RO0320234-001,RO0320432-000,RO0320557-001
P17612	9	GSK1229959A,GSK1383280A,GSK1389063A,GSK1487252A,GSK1581427A,GSK1660450B,GSK938890A,RO0480500-002,RO4367842-001
P19784	5	GSK1558669A,GSK1576028A,GSK2181306A,GW857175X,RO4493941-000
P22694	4	GSK1389063A,GSK1660450B,RO0480500-002,RO4367842-001
P23443	1	SB-747651A
P30291	2	GSK1558669A,GSK1576028A
P36507	2	PFE-PKIS_21,TPKI-16
P36896	12	GSK223675A,GW271431X,GW440139A,GW622475X,GW693481X,GW777257X,GW780159X,GW786460X,GW835314X,GW855857X,GW869640X,GW869641X
P36897	12	GSK223675A,GW271431X,GW693481X,GW695874X,GW709213X,GW777257X,GW780159X,GW786460X,GW835314X,GW855857X,GW869640X,GW869641X
P45983	1	JNK-IN-7
P45984	5	JNK-IN-7,RO3202312-001,RO3305413-001,RO4442245-000,SB-226605
P48729	3	SB-220025-A,SB-220455,SB-223133
P48730	13	GW622475X,GW779439X_PKIS1,RO1155697-000,SB-219952,SB-220025-A,SB-220455,SB-222903,SB-223132,SB-223133,SB-226605,SB-226879,SB-238039-R,SB-249175
P49137	33	GW622475X,PFE-PKIS_41,RO3202312-001,RO3303470-000,RO3305411-001,RO3305413-001,RO3308271-001,RO3310867-000,RO4367438-000,RO4442245-000,RO5027956-000,RO5036538-000,RO5040027-000,RO5043011-000,RO5045977-000,RO5067310-000,SB-220025-A,SB-220455,SB-223132,SB-223133,SB-236687,SB-238039-R,SB-239272,SB-242718,SB-242719,SB-249175,SB-250715,SB-251527,SB-264866,SB-284847-BT,SB-284852-BT,SB-333613,SB-390530
P49674	7	SB-219952,SB-220025-A,SB-220455,SB-223133,SB-226605,SB-226879,SB-238039-R
P49759	6	GW493036X,GW778894X,GW779439X_PKIS1,GW801372X,GW810576X,RO4624208-000
P49760	1	GW810372X
P49840	16	BI00036838,GSK619487A,GW778894X,RO0317471-000,RO0317753-000,RO3206173-000,RO3303724-001,SB-627772-A,SB-675259-M,SB-678557-A,SB-686709-A,SB-698596-AC,SB-725317,SB-731579,SB-732881,SB-732881-H
P49841	13	BI00036838,GW778894X,RO0317753-000,RO3206173-000,RO3303724-001,SB-627772-A,SB-675259-M,SB-678557-A,SB-686709-A,SB-698596-AC,SB-731579,SB-732881,SB-732881-H
P50613	2	GW830707A,SB-284851-BT
P50750	3	GW778894X,GW779439X_PKIS1,GW780056X
P51817	5	GSK1229959A,GSK1581428A,GSK614526A,GSK619487A,SB-390526
P54646	2	GSK1558669A,GSK2177277A
P68400	4	GSK1558669A,GSK2181306A,GW857175X,RO4493941-000
Q00536	3	GW305178X,GW778894X,RO4602005-000
Q02750	2	PFE-PKIS_21,TPKI-16
Q04759	2	RO0318352-000,RO4367842-001
Q05655	6	GSK1660450B,RO0320234-001,RO0320432-000,RO0320557-001,RO0480500-002,RO4367842-001
Q13043	1	GSK2177277A
Q13163	2	GSK114,GSK840
Q13188	1	GSK2177277A
Q13464	9	GSK1229959A,GSK1389063A,GSK1581428A,GW830707A,GW876790X,RO0480500-002,RO4367842-001,SB-750140,SB-772077-B
Q13705	7	GW435821X_KCGS,GW440137A,GW440139A,GW441806A,GW494601A,GW552771X,GW579362A
Q13873	1	GW406108X
Q13976	10	GSK1007102B,GSK1229959A,GSK1383280A,GSK1383281A,GSK1389063A,GSK1581427A,GSK619487A,GW830707A,RO0480500-002,RO4367842-001
Q15759	4	RO1166259-000,RO3202312-001,RO3303470-000,RO4442245-000
Q16512	1	GSK619487A
Q16539	38	BI00601000,GW581744X,GW868318X,PFE-PKIS_41,RO3202312-001,RO3303470-000,RO3305411-001,RO3305413-001,RO3308271-001,RO3309180-001,RO3310867-000,RO3311017-001,RO4367438-000,RO4442245-000,RO5027956-000,RO5033700-000,RO5036538-000,RO5036558-000,RO5040027-000,RO5043312-000,RO5045977-000,RO5067310-000,SB-220025-A,SB-220455,SB-221466,SB-222903,SB-223133,SB-226605,SB-236687,SB-238039-R,SB-239272,SB-242719,SB-250715,SB-251527,SB-284847-BT,SB-284852-BT,SB-333613,SB-390530
Q2M2I8	2	GW694077X,GW767488X
Q5VT25	2	GSK1229959A,GSK1581428A
Q6DT37	5	GSK1229959A,GSK1307810A,GSK1389063A,GSK1581427A,RO4367842-001
Q6P5Z2	10	GSK1007102B,GSK260205A,GSK507274A,GSK561866B,GSK619487A,GSK902056A,GSK938890A,GSK949675A,GW494610A,SB-477794-AAA
Q6PHR2	1	GSK1558669A
Q7L7X3	1	GSK1660450B
Q8NEV1	4	GSK1558669A,GSK2181306A,GW857175X,RO4493941-000
Q8TD19	1	GW696155X
Q96GD4	2	GSK1520489A,XMD-17-51
Q9H093	1	GSK2177277A
Q9H0K1	1	GSK1558669A
Q9HAZ1	6	GSK1034945A,GW493036X,GW778894X,GW801372X,RO4503315-000,RO4624208-000
Q9NQU5	1	GSK619487A
Q9NSY1	2	GSK2177277A,RO0282986-001
Q9UBE8	5	RO3304774-001,SB-222903,SB-226605,SB-226879,SB-477794-AAA
Q9UK32	3	BI00645435,GSK1660450B,GW830707A
Q9UPZ9	2	GW778894X,SB-675259-M
Q9Y572	2	GSK840,GW494601A
Q9Y5S2	4	GSK1229959A,GSK1325775A,GSK1581428A,RO4367842-001
Q9Y616	2	GSK1520489A,GSK1576028A
Q9Y6E0	1	GSK2177277A
