Pocket Set	Pocket	Buriedness
PDB-LIG	A0FGR8_PF17047_191_370_pocket_0	19
PDB-LIG	A0FGR8_PF17047_191_370_pocket_1	17
PDB-LIG	A1Z1Q3_PF01661_88_201_pocket_0	18
PDB-LIG	A6NHR9_PF13589_139_295_pocket_0	26
PDB-LIG	A8MW92_PF02820_17_69_pocket_0	9
PDB-LIG	B2RXH2_PF02373_176_292_pocket_0	20
PDB-LIG	O00139_PF00225_229_553_pocket_0	18
PDB-LIG	O00141_PF00069_98_355_pocket_0	25
PDB-LIG	O00159_PF00063_48_718_pocket_0	21
PDB-LIG	O00167_PF00702_268_514_pocket_0	21
PDB-LIG	O00194_PF00071_11_183_pocket_0	14
PDB-LIG	O00204_PF00685_60_305_pocket_0	21
PDB-LIG	O00204_PF00685_60_305_pocket_1	15
PDB-LIG	O00204_PF00685_60_305_pocket_2	20
PDB-LIG	O00212_PF00071_19_192_pocket_0	20
PDB-LIG	O00214_PF00337_18_151_pocket_0	12
PDB-LIG	O00238_PF07714_204_491_pocket_0	25
PDB-LIG	O00311_PF00069_58_221_pocket_0	23
PDB-LIG	O00338_PF00685_39_289_pocket_0	19
PDB-LIG	O00408_PF00233_655_888_pocket_0	16
PDB-LIG	O00429_PF00350_28_217_pocket_0	15
PDB-LIG	O00444_PF00069_12_265_pocket_0	19
PDB-LIG	O00482_PF00104_330_523_pocket_0	19
PDB-LIG	O00506_PF00069_20_270_pocket_0	19
PDB-LIG	O00560_PF00595_198_270_pocket_0	15
PDB-LIG	O00757_PF00316_12_199_pocket_0	24
PDB-LIG	O14522_PF00102_912_1142_pocket_0	13
PDB-LIG	O14607_PF02373_1080_1188_pocket_0	15
PDB-LIG	O14717_PF00145_4_391_pocket_0	18
PDB-LIG	O14727_PF00931_129_374_pocket_0	15
PDB-LIG	O14733_PF00069_120_380_pocket_0	22
PDB-LIG	O14744_PF05185_295_464_pocket_0	26
PDB-LIG	O14744_PF05185_295_464_pocket_1	16
PDB-LIG	O14744_PF17285_37_290_pocket_0	10
PDB-LIG	O14744_PF17286_467_635_pocket_0	20
PDB-LIG	O14757_PF00069_9_265_pocket_0	25
