Uniprot ID	Number of domains	Pfam domains
A0A024RBG1	1	{'PF00293': 1}
A0A075B6H7	1	{'PF07686': 1}
A0A075B6H8	1	{'PF07686': 1}
A0A075B6H9	1	{'PF07686': 1}
A0A075B6I0	1	{'PF07686': 1}
A0A075B6I1	1	{'PF07686': 1}
A0A075B6I3	1	{'PF07686': 1}
A0A075B6I4	1	{'PF07686': 1}
A0A075B6I6	1	{'PF07686': 1}
A0A075B6I7	1	{'PF07686': 1}
A0A075B6I9	1	{'PF07686': 1}
A0A075B6J1	1	{'PF07686': 1}
A0A075B6J2	1	{'PF07686': 1}
A0A075B6J6	1	{'PF07686': 1}
A0A075B6J9	1	{'PF07686': 1}
A0A075B6K0	1	{'PF07686': 1}
A0A075B6K2	1	{'PF07686': 1}
A0A075B6K4	1	{'PF07686': 1}
A0A075B6K5	1	{'PF07686': 1}
A0A075B6K6	1	{'PF07686': 1}
A0A075B6L2	0	
A0A075B6L6	1	{'PF07686': 1}
A0A075B6N1	1	{'PF07686': 1}
A0A075B6N2	1	{'PF07686': 1}
A0A075B6N3	1	{'PF07686': 1}
A0A075B6N4	1	{'PF07686': 1}
A0A075B6P5	1	{'PF07686': 1}
A0A075B6Q5	1	{'PF07686': 1}
A0A075B6R0	1	{'PF07686': 1}
A0A075B6R2	1	{'PF07686': 1}
A0A075B6R9	1	{'PF07686': 1}
A0A075B6S0	0	
A0A075B6S2	1	{'PF07686': 1}
A0A075B6S4	1	{'PF07686': 1}
A0A075B6S5	1	{'PF07686': 1}
A0A075B6S6	1	{'PF07686': 1}
A0A075B6S9	1	{'PF07686': 1}
A0A075B6T6	1	{'PF07686': 1}
A0A075B6T7	1	{'PF07686': 1}
A0A075B6T8	1	{'PF07686': 1}
A0A075B6U4	1	{'PF07686': 1}
A0A075B6V5	1	{'PF07686': 1}
A0A075B6W5	1	{'PF07686': 1}
A0A075B6X5	1	{'PF07686': 1}
A0A075B6Y3	0	
A0A075B6Y9	0	
A0A075B700	0	
