Uniprot ID 1	Uniprot ID 2	PocketVec distance	Exp. Prof, Jaccard Similarity
O00311	O00311	0.0	1.0
O00311	O00444	0.1496	0.0
O00311	O14578	0.1954	0.0
O00311	O14757	0.1571	0.0
O00311	O14965	0.1667	0.0
O00311	O14976	0.1708	0.0
O00311	O60285	0.1773	0.09090909090909094
O00311	O75116	0.1796	0.0
O00311	O76039	0.1786	0.0
O00311	O94806	0.1944	0.0
O00311	O95835	0.1692	0.0
O00311	O96013	0.1501	0.0
O00311	P05771	0.1646	0.0
O00311	P15735	0.1694	0.0
O00311	P17252	0.175	0.0
O00311	P17612	0.1722	0.0
O00311	P19784	0.1492	0.0
O00311	P22694	0.1799	0.0
O00311	P23443	0.1561	0.0
O00311	P30291	0.1824	0.0
O00311	P36507	0.1884	0.0
O00311	P36896	0.1732	0.0
O00311	P36897	0.1622	0.0
O00311	P45983	0.1794	0.0
O00311	P45984	0.1403	0.0
O00311	P48729	0.155	0.0
O00311	P48730	0.1694	0.0
O00311	P49137	0.1538	0.0
O00311	P49674	0.1839	0.0
O00311	P49759	0.1692	0.0
O00311	P49760	0.1639	0.0
O00311	P49840	0.1603	0.0
O00311	P49841	0.1617	0.0
O00311	P50613	0.1245	0.0
O00311	P50750	0.1603	0.0
O00311	P51817	0.1724	0.0
O00311	P54646	0.1878	0.5
O00311	P68400	0.1567	0.0
O00311	Q00536	0.1393	0.0
O00311	Q02750	0.161	0.0
O00311	Q04759	0.1787	0.0
O00311	Q05655	0.1895	0.0
O00311	Q13043	0.1651	1.0
O00311	Q13163	0.1887	0.0
O00311	Q13188	0.1644	1.0
O00311	Q13464	0.1621	0.0
O00311	Q13705	0.1745	0.0
O00311	Q13873	0.1527	0.0
O00311	Q13976	0.168	0.0
O00311	Q15759	0.1748	0.0
O00311	Q16512	0.1652	0.0
O00311	Q16539	0.1514	0.0
O00311	Q2M2I8	0.1576	0.0
O00311	Q5VT25	0.1967	0.0
O00311	Q6DT37	0.1732	0.0
O00311	Q6P5Z2	0.1543	0.0
O00311	Q6PHR2	0.165	0.0
O00311	Q7L7X3	0.1722	0.0
O00311	Q8NEV1	0.1573	0.0
O00311	Q8TD19	0.1583	0.0
O00311	Q96GD4	0.1705	0.0
O00311	Q9H093	0.1625	1.0
O00311	Q9H0K1	0.1763	0.0
O00311	Q9HAZ1	0.1717	0.0
O00311	Q9NQU5	0.1603	0.0
O00311	Q9NSY1	0.1576	0.5
O00311	Q9UBE8	0.2001	0.0
O00311	Q9UK32	0.1578	0.0
O00311	Q9UPZ9	0.187	0.0
O00311	Q9Y572	0.1705	0.0
O00311	Q9Y5S2	0.1795	0.0
O00311	Q9Y616	0.1555	0.0
O00311	Q9Y6E0	0.184	1.0
O00444	O00311	0.1496	0.0
O00444	O00444	0.0	1.0
O00444	O14578	0.1779	0.0
O00444	O14757	0.1629	0.0
O00444	O14965	0.1572	0.4
O00444	O14976	0.1891	0.0
O00444	O60285	0.1634	0.0
O00444	O75116	0.1586	0.0
O00444	O76039	0.1432	0.0
O00444	O94806	0.2079	0.0
O00444	O95835	0.1798	0.0
O00444	O96013	0.174	0.0
O00444	P05771	0.1646	0.0
O00444	P15735	0.1678	0.0
O00444	P17252	0.1641	0.0
O00444	P17612	0.1858	0.0
