Kinase pair (UniprotID1 - UniprotID2)	Max. TM-Score	Max. Seq. Id.	PocketVec distance	Exp. Prof. Jaccard Similarity
O00444-O14578	0.91548	34.008	0.1779	0.0
O00444-O14757	0.89275	35.294	0.1747	0.0
O00444-O14965	0.84584	30.738	0.1946	0.0
O00444-O14976	0.85064	32.9	0.1917	0.0
O00444-O15530	0.85056	35.217	0.166	0.0
O00444-O43930	0.88803	37.269	0.1836	0.0
O00444-O75116	0.87686	35.833	0.1913	0.0
O00444-O75385	0.89543	34.34	0.157	0.0
O00444-O75460	0.85571	34.529	0.1525	0.0
O00444-O76039	0.77241	32.627	0.1711	0.0
O00444-O94804	0.77548	35.391	0.181	0.0
O00444-O94806	0.8345	37.615	0.1749	0.0
O00444-O95819	0.83533	32.5	0.1603	0.0
O00444-O95835	0.88762	31.25	0.1682	0.0
O00444-O96013	0.88312	32.599	0.198	0.0
O00444-P05771	0.83731	32.159	0.1546	0.0
O00444-P11309	0.86795	36.402	0.2108	0.0
O00444-P11802	0.86828	32.203	0.1654	0.0
O00444-P17252	0.73475	36.179	0.1954	0.0
O00444-P17612	0.88477	38.745	0.1782	0.0
O00444-P19784	0.84995	32.34	0.1911	0.0
O00444-P22612	0.83259	34.562	0.211	0.0
O00444-P22694	0.84717	30.417	0.1422	0.0
O00444-P23443	0.86071	32.083	0.1828	0.0
O00444-P24723	0.87361	32.5	0.1784	0.0
O00444-P24941	0.83857	34.468	0.1732	0.0
O00444-P27361	0.89077	37.692	0.2198	0.0
O00444-P27448	0.83119	33.921	0.1614	0.0
O00444-P28482	0.87984	36.864	0.1755	0.0
O00444-P30291	0.86971	31.429	0.1755	0.0
O00444-P31749	0.87784	34.632	0.1953	0.0
O00444-P31751	0.84715	39.394	0.1773	0.0
O00444-P33981	0.78369	35.185	0.1964	0.0
O00444-P36507	0.89444	33.047	0.1602	0.0
O00444-P36896	0.79784	35.268	0.153	0.0
O00444-P36897	0.81263	35.16	0.1671	0.0
O00444-P45983	0.89496	35.145	0.1711	0.0
O00444-P45984	0.8346	36.91	0.1952	0.0
O00444-P49137	0.87147	32.083	0.1928	0.0
O00444-P49759	0.89335	34.199	0.1843	0.0
O00444-P49760	0.86373	36.444	0.1711	0.0
O00444-P49761	0.81974	34.632	0.1733	0.0
O00444-P49840	0.90329	39.7	0.1746	0.0
O00444-P49841	0.86505	33.621	0.1791	0.0
O00444-P50613	0.86156	31.982	0.1901	0.0
O00444-P50750	0.86324	35.526	0.2042	0.0
O00444-P51817	0.84676	30.0	0.1563	0.0
O00444-P53350	0.84657	40.87	0.2238	0.0
O00444-P53779	0.83326	32.287	0.1964	0.0
O00444-P68400	0.77383	31.356	0.1596	0.0
O00444-Q00526	0.89205	35.424	0.1876	0.0
O00444-Q00535	0.84531	32.018	0.2114	0.0
O00444-Q00536	0.85022	30.736	0.1995	0.0
O00444-Q02156	0.89264	34.199	0.1779	0.0
O00444-Q02750	0.85051	36.957	0.1979	0.0
O00444-Q04759	0.87519	37.5	0.1911	0.0
O00444-Q05655	0.89689	37.5	0.1308	0.0
O00444-Q13043	0.85456	37.054	0.1749	0.0
O00444-Q13131	0.77755	35.714	0.1921	0.0
O00444-Q13177	0.88507	38.29	0.2073	0.0
O00444-Q13188	0.83621	36.652	0.1578	0.0
O00444-Q13464	0.83594	32.083	0.2	0.0
O00444-Q13555	0.88831	31.933	0.1626	0.0
O00444-Q13557	0.88714	35.766	0.2223	0.0
O00444-Q13627	0.87241	32.773	0.224	0.0
O00444-Q13873	0.83586	38.667	0.1837	0.0
O00444-Q13976	0.89341	35.507	0.1635	0.0
O00444-Q14004	0.90424	35.581	0.1559	0.0
O00444-Q14680	0.84033	33.028	0.1876	0.0
O00444-Q15131	0.74966	28.636	0.1865	0.0
O00444-Q15759	0.83424	34.746	0.1997	0.0
O00444-Q15831	0.83907	33.333	0.1921	0.0
O00444-Q16512	0.88907	32.906	0.2	0.0
O00444-Q16513	0.85948	31.25	0.186	0.0
O00444-Q16539	0.87463	32.5	0.1678	0.0
O00444-Q16644	0.83944	35.865	0.1742	0.0
O00444-Q2M2I8	0.89057	38.077	0.235	0.0
O00444-Q5VT25	0.83312	34.361	0.1968	0.0
O00444-Q6A1A2	0.88035	36.017	0.1704	0.0
O00444-Q6P5Z2	0.87087	33.193	0.1684	0.0
O00444-Q6PHR2	0.87594	33.333	0.2064	0.0
O00444-Q7KZI7	0.78336	35.426	0.1942	0.0
O00444-Q7L7X3	0.82111	31.557	0.157	0.0
O00444-Q8N4C8	0.8934	33.333	0.175	0.0
O00444-Q8NEV1	0.7967	34.052	0.1669	0.0
O00444-Q8TD08	0.81216	38.428	0.1602	0.0
O00444-Q8TDX7	0.88984	32.906	0.1925	0.0
O00444-Q92918	0.88296	33.333	0.2077	0.0
O00444-Q96GD4	0.83693	33.023	0.1824	0.0
O00444-Q96L34	0.74864	28.319	0.1683	0.0
O00444-Q96NX5	0.88219	45.324	0.1555	0.0
O00444-Q96RR4	0.90149	33.818	0.1442	0.0
O00444-Q9H093	0.84663	33.094	0.1513	0.0
O00444-Q9H0K1	0.87248	31.14	0.1567	0.0
O00444-Q9H2K8	0.84652	32.189	0.1832	0.0
O00444-Q9HAZ1	0.7263	30.8	0.159	0.0
O00444-Q9NQU5	0.79062	30.8	0.1643	0.0
O00444-Q9NSY1	0.79291	32.068	0.1769	0.0
O00444-Q9P289	0.87076	29.339	0.1828	0.0
O00444-Q9UBE8	0.85668	32.51	0.164	0.0
O00444-Q9UK32	0.89202	36.559	0.1494	0.0
O00444-Q9UKE5	0.83371	33.2	0.2078	0.0
O00444-Q9UL54	0.84474	34.31	0.1933	0.0
O00444-Q9UPZ9	0.8528	36.429	0.1904	0.0
O00444-Q9Y243	0.79356	33.778	0.1709	0.0
O00444-Q9Y2K2	0.82939	33.735	0.1824	0.0
O00444-Q9Y572	0.85371	34.599	0.1757	0.0
O00444-Q9Y5S2	0.84332	34.746	0.1537	0.0
O00444-Q9Y616	0.83225	32.353	0.1501	0.0
O00444-Q9Y6E0	0.75134	32.937	0.1984	0.0
O14578-O14757	0.72157	32.963	0.1728	0.0
