Pocket Set	Pocket	Volume (A³)	Buriedness
PDB-LIG	A0FGR8_PF17047_191_370_pocket_0	2647.62	19
PDB-LIG	A0FGR8_PF17047_191_370_pocket_1	2855.38	17
PDB-LIG	A1Z1Q3_PF01661_88_201_pocket_0	3806.25	18
PDB-LIG	A6NHR9_PF13589_139_295_pocket_0	2174.88	26
PDB-LIG	A8MW92_PF02820_17_69_pocket_0	4732.62	9
PDB-LIG	B2RXH2_PF02373_176_292_pocket_0	2528.12	20
PDB-LIG	O00139_PF00225_229_553_pocket_0	3414.5	18
PDB-LIG	O00141_PF00069_98_355_pocket_0	2262.38	25
PDB-LIG	O00159_PF00063_48_718_pocket_0	2432.62	21
PDB-LIG	O00167_PF00702_268_514_pocket_0	2646.88	21
PDB-LIG	O00194_PF00071_11_183_pocket_0	4063.12	14
PDB-LIG	O00204_PF00685_60_305_pocket_0	1775.88	21
PDB-LIG	O00204_PF00685_60_305_pocket_1	2779.75	15
PDB-LIG	O00204_PF00685_60_305_pocket_2	3308.0	20
PDB-LIG	O00212_PF00071_19_192_pocket_0	2782.38	20
PDB-LIG	O00214_PF00337_18_151_pocket_0	3878.62	12
PDB-LIG	O00238_PF07714_204_491_pocket_0	2272.25	25
PDB-LIG	O00311_PF00069_58_221_pocket_0	2055.12	23
PDB-LIG	O00338_PF00685_39_289_pocket_0	2247.5	19
PDB-LIG	O00408_PF00233_655_888_pocket_0	2459.75	16
PDB-LIG	O00429_PF00350_28_217_pocket_0	3975.12	15
PDB-LIG	O00444_PF00069_12_265_pocket_0	2814.5	19
PDB-LIG	O00482_PF00104_330_523_pocket_0	2333.0	19
PDB-LIG	O00506_PF00069_20_270_pocket_0	2810.25	19
PDB-LIG	O00560_PF00595_198_270_pocket_0	3479.88	15
PDB-LIG	O00757_PF00316_12_199_pocket_0	3365.5	24
PDB-LIG	O14522_PF00102_912_1142_pocket_0	4203.88	13
PDB-LIG	O14607_PF02373_1080_1188_pocket_0	3731.38	15
PDB-LIG	O14717_PF00145_4_391_pocket_0	2623.5	18
PDB-LIG	O14727_PF00931_129_374_pocket_0	3459.38	15
PDB-LIG	O14733_PF00069_120_380_pocket_0	2067.5	22
PDB-LIG	O14744_PF05185_295_464_pocket_0	1744.5	26
PDB-LIG	O14744_PF05185_295_464_pocket_1	3813.0	16
PDB-LIG	O14744_PF17285_37_290_pocket_0	4356.38	10
PDB-LIG	O14744_PF17286_467_635_pocket_0	2491.75	20
PDB-LIG	O14757_PF00069_9_265_pocket_0	2374.62	25
PDB-LIG	O14757_PF00069_9_265_pocket_1	4352.75	13
PDB-LIG	O14757_PF00069_9_265_pocket_2	4114.62	14
PDB-LIG	O14757_PF00069_9_265_pocket_3	4081.5	13
PDB-LIG	O14782_PF00225_16_265_pocket_0	4062.88	14
PDB-LIG	O14786_PF00754_290_421_pocket_0	4160.38	11
PDB-LIG	O14792_PF00685_54_298_pocket_0	2264.62	22
PDB-LIG	O14920_PF00069_15_297_pocket_0	2247.12	22
PDB-LIG	O14931_PF07686_22_128_pocket_0	4376.88	16
PDB-LIG	O14936_PF00069_12_276_pocket_0	2478.75	21
PDB-LIG	O14965_PF00069_133_383_pocket_0	2675.0	19
PDB-LIG	O14965_PF00069_133_383_pocket_1	3722.12	17
PDB-LIG	O14965_PF00069_133_383_pocket_2	3329.62	18
PDB-LIG	O14966_PF00071_9_175_pocket_0	3615.5	14
PDB-LIG	O14976_PF00069_40_313_pocket_0	2507.75	23
PDB-LIG	O14976_PF00069_40_313_pocket_1	3434.25	16
PDB-LIG	O14994_PF02750_193_395_pocket_0	2158.88	19
PDB-LIG	O15054_PF02373_1377_1485_pocket_0	3236.5	16
