Pocket (PDB+Chain)	Uniprot ID	tSNE1	tSNE2
1a42A	P00918	-273.62418	-100.36635
1bk0A	P05326	-78.093735	-70.81427
1bn1A	P00918	-229.37791	-106.153656
1bnmA	P00918	-204.3123	-110.779915
1bnnA	P00918	-216.89482	-114.143715
1bnqA	P00918	-275.6776	-110.717415
1bnuA	P00918	-172.58823	-92.1183
1bnvA	P00918	-208.45395	-102.13457
1bnwA	P00918	-241.02293	-138.61281
1c4u2	P00734	259.70374	-81.863174
1c4v2	P00734	296.94644	20.876818
1cimA	P00918	-182.55377	-89.17549
1d3dB	P00734	261.85895	35.26236
1d3pB	P00734	256.2865	39.904274
1d4pB	P00734	299.43466	-12.406209
1d6wA	P00734	269.9797	9.424229
1d9iA	P00734	271.80087	25.389965
1drfA	P00374	98.51271	-62.11733
1g30B	P00734	297.40988	-28.905817
1g32B	P00734	290.9339	-33.048546
1hb1A	P05326	-73.118324	-52.107246
1hb4A	P05326	-96.50179	-48.080795
1hfrA	P00374	12.409401	22.70028
1i8zA	P00918	-250.75687	-136.23592
1i91A	P00918	-214.21255	-151.27832
1kmvA	P00374	41.586555	29.792267
1ktsB	P00734	305.82373	-38.82388
1kttB	P00734	295.6545	-42.471874
1kwqA	P00918	-231.09775	-120.67093
1mvsA	P00374	61.289402	33.372684
1nzqH	P00734	193.59651	1.491725
1o0dH	P00734	251.34253	-68.93856
1odmA	P05326	-87.46227	-66.871056
1odnA	P05326	-20.042765	-102.98231
1ohkA	P00374	110.22873	-63.065933
1oklA	P00918	-262.72452	-88.37625
1osfA	P07900	89.165985	-131.66286
1oytH	P00734	295.08096	6.5845184
1pd9A	P00374	54.921375	26.155882
1pwlA	P15121	-115.1283	189.8199
1pwmA	P15121	-35.956005	152.85873
1qiqA	P05326	-88.49263	-56.80088
1qjfA	P05326	-96.90741	-71.878296
1rmzA	P39900	-131.7162	246.36485
1s3vA	P00374	52.12907	36.227688
1s3wA	P00374	64.54672	4.2838945
1t41A	P15121	-125.61904	206.53519
1ttmA	P00918	-184.1852	-151.17854
1u72A	P00374	18.083063	28.178284
1uy6A	P07900	169.65833	56.465397
1uy7A	P07900	173.62216	67.62801
1uy8A	P07900	159.95674	82.56551
1uy9A	P07900	154.91632	75.30829
1uycA	P07900	142.00237	83.133896
1uydA	P07900	163.50523	45.92877
1uyeA	P07900	143.79848	58.20917
1uyfA	P07900	153.1847	46.35766
1uygA	P07900	143.48976	94.86255
1uyhA	P07900	150.4441	87.88155
1uykA	P07900	167.27242	90.920105
1uzwA	P05326	-111.39443	-53.97409
1w05A	P05326	-60.25518	-53.854706
1w3vA	P05326	-69.07633	-88.44835
1w3xA	P05326	-78.09923	-81.45118
1x97A	P15121	-36.179634	144.34059
1xq0A	P00918	-180.43471	-141.16858
1yhoA	P00374	26.39459	-9.81838
1ypeH	P00734	276.60132	1.9305432
1ypkH	P00734	280.70648	-11.839765
1yplH	P00734	226.82224	-0.13992925
1ypmH	P00734	235.94691	-1.2211858
1z3nA	P15121	-104.0385	184.53178
1z89A	P15121	-123.45265	180.15926
1z9yA	P00918	-179.19815	-102.374535
1ze8A	P00918	-214.82756	-176.6944
2a2xH	P00734	261.17264	-47.925365
2ankH	P00734	276.49777	-51.810974
2anmH	P00734	255.85655	-55.52048
2aw1A	P00918	-195.74779	-169.91167
2bu9A	P05326	-110.18756	-80.56796
2byhA	P07900	54.76312	-101.72891
2byiA	P07900	52.627724	-90.071045
2cf9H	P00734	286.03485	8.787521
2dhfA	P00374	31.871635	37.51949
2eu2A	P00918	-218.98396	-129.7335
2feqH	P00734	272.50864	-65.24959
2fesH	P00734	266.03818	-58.647797
2fwyA	P07900	153.45024	64.707504
2fwzA	P07900	162.76892	67.448364
2gdeH	P00734	237.02075	-91.223564
2h15A	P00918	-228.88612	-78.26087
2h55A	P07900	146.23851	71.48083
2hd6A	P00918	-237.8885	-150.671
2hl4A	P00918	-203.98027	-175.91791
2hocA	P00918	-224.4025	-154.2901
2hu6A	P39900	-135.60403	276.28714
2ikgA	P15121	-114.26482	201.36333
2ikhA	P15121	-114.859955	211.82431
2iviB	P05326	-79.00974	-60.722103
2ivjA	P05326	-87.60559	-77.23762
2jh0D	P00734	305.65582	3.931448
2jh6D	P00734	274.64874	-40.531376
2nvcA	P15121	-23.926868	143.98564
2nvdA	P15121	9.735815	128.78854
2qfoA	P07900	122.316154	-106.9557
2qg0A	P07900	114.78766	-105.71882
2qxwA	P15121	-131.58409	185.9229
2r59A	P09960	-63.32813	10.555281
2uujB	P00734	252.40771	15.4727745
2uukB	P00734	244.48447	16.771288
2uwdA	P07900	38.1034	-66.93918
2v3oH	P00734	289.77457	-4.435251
2vauA	P05326	-97.90533	-60.691563
2vbdA	P05326	-108.7423	-67.45978
2vbpA	P05326	-95.709045	-84.24977
2vciA	P07900	39.3477	-58.219376
2vcjA	P07900	30.21728	-64.063515
2vcmA	P05326	-85.07398	-91.11456
2wd3A	P00918	-185.96663	-129.41641
2wi4A	P07900	166.8354	105.34434
2wi6A	P07900	92.29086	-81.43838
2x90A	Q10714	-171.32043	86.27392
2x91A	Q10714	-180.03047	79.990746
2x92A	Q10714	-186.85893	99.2619
2x93A	Q10714	-175.69101	96.64447
2x94A	Q10714	-191.7139	89.132195
