	domain	fpocket	druggability score	prank rescore	buriedness	min pLDDT
0	A0A024RBG1_PF00293_17_144	fpocket1	0.007	18.5201	14	70.55
1	A0A024RBG1_PF00293_17_144	fpocket5	0.005	3.759	13	90.19
2	A0A075B6H7_PF07686_26_115	fpocket1	0.677	10.6554	18	95.81
3	A0A075B6H7_PF07686_26_115	fpocket3	0.014	3.4365	12	96.45
4	A0A075B6H8_PF07686_28_117	fpocket1	0.348	12.1706	15	95.82
5	A0A075B6H8_PF07686_28_117	fpocket5	0.026	3.3287	17	96.23
6	A0A075B6H9_PF07686_25_119	fpocket1	0.002	6.3931	18	94.06
7	A0A075B6I0_PF07686_29_122	fpocket2	0.33	7.8856	15	95.14
8	A0A075B6I1_PF07686_26_120	fpocket1	0.324	9.6992	16	92.6
9	A0A075B6I1_PF07686_26_120	fpocket2	0.062	6.9031	14	91.29
10	A0A075B6I3_PF07686_24_123	fpocket1	0.047	6.9769	15	96.35
11	A0A075B6I3_PF07686_24_123	fpocket2	0.019	4.5704	18	85.1
12	A0A075B6I4_PF07686_24_116	fpocket1	0.039	5.4844	17	95.21
13	A0A075B6I4_PF07686_24_116	fpocket2	0.0	3.5872	14	97.1
14	A0A075B6I6_PF07686_24_117	fpocket1	0.309	6.0414	16	95.5
15	A0A075B6I6_PF07686_24_117	fpocket2	0.003	7.0376	11	92.67
16	A0A075B6I7_PF07686_24_105	fpocket1	0.074	3.1803	14	88.24
17	A0A075B6I7_PF07686_24_105	fpocket3	0.034	6.1684	13	94.13
18	A0A075B6I9_PF07686_24_116	fpocket1	0.145	6.7071	17	92.6
19	A0A075B6I9_PF07686_24_116	fpocket4	0.007	8.9637	12	95.62
20	A0A075B6J1_PF07686_24_123	fpocket2	0.007	6.5271	17	94.38
21	A0A075B6J1_PF07686_24_123	fpocket4	0.003	3.5035	18	93.41
22	A0A075B6J2_PF07686_24_118	fpocket1	0.001	5.9586	17	92.99
23	A0A075B6J2_PF07686_24_118	fpocket2	0.251	6.2141	18	89.37
24	A0A075B6J6_PF07686_24_115	fpocket1	0.106	6.4893	16	94.85
25	A0A075B6J6_PF07686_24_115	fpocket2	0.018	2.9318	10	96.95
26	A0A075B6J9_PF07686_24_118	fpocket1	0.467	6.9476	19	97.07
27	A0A075B6J9_PF07686_24_118	fpocket4	0.002	2.9682	17	95.85
28	A0A075B6K0_PF07686_24_115	fpocket1	0.248	8.2297	17	97.38
29	A0A075B6K0_PF07686_24_115	fpocket3	0.001	1.9153	13	73.2
30	A0A075B6K2_PF07686_24_115	fpocket1	0.096	8.2556	17	96.63
31	A0A075B6K4_PF07686_24_115	fpocket1	0.28	7.1015	16	97.11
32	A0A075B6K4_PF07686_24_115	fpocket4	0.037	2.6872	12	82.62
33	A0A075B6K5_PF07686_24_115	fpocket1	0.658	6.814	17	96.65
34	A0A075B6K5_PF07686_24_115	fpocket3	0.0	5.0506	9	74.94
35	A0A075B6K6_PF07686_24_121	fpocket1	0.123	7.4792	19	94.28
36	A0A075B6K6_PF07686_24_121	fpocket4	0.006	8.1219	15	72.53
37	A0A075B6L6_PF07686_25_112	fpocket1	0.189	4.1322	18	91.11
38	A0A075B6L6_PF07686_25_112	fpocket6	0.002	1.8541	13	94.55
39	A0A075B6N1_PF07686_25_114	fpocket3	0.0	2.8839	14	95.83
40	A0A075B6N1_PF07686_25_114	fpocket4	0.576	12.1987	15	72.36
41	A0A075B6N2_PF07686_20_111	fpocket1	0.353	9.3511	16	96.84
42	A0A075B6N2_PF07686_20_111	fpocket3	0.008	3.32	17	96.82
43	A0A075B6N3_PF07686_25_114	fpocket1	0.231	3.2096	16	95.77
44	A0A075B6N3_PF07686_25_114	fpocket5	0.016	3.3044	12	88.42
45	A0A075B6N4_PF07686_25_114	fpocket1	0.437	7.3347	16	94.27
46	A0A075B6N4_PF07686_25_114	fpocket6	0.0	3.0348	12	94.53
47	A0A075B6P5_PF07686_26_119	fpocket1	0.422	9.0596	17	96.0
48	A0A075B6P5_PF07686_26_119	fpocket5	0.577	3.9582	12	97.03
49	A0A075B6Q5_PF07686_25_118	fpocket1	0.922	6.5486	19	79.55
50	A0A075B6Q5_PF07686_25_118	fpocket3	0.007	2.6989	15	94.08
51	A0A075B6R0_PF07686_25_118	fpocket1	0.226	13.583	21	86.77
52	A0A075B6R0_PF07686_25_118	fpocket5	0.09	4.8973	11	89.09
53	A0A075B6R2_PF07686_24_117	fpocket2	0.004	4.4965	16	95.07
54	A0A075B6R2_PF07686_24_117	fpocket4	0.001	4.0941	15	95.07
55	A0A075B6R9_PF07686_26_119	fpocket1	0.0	4.6528	13	75.64
56	A0A075B6R9_PF07686_26_119	fpocket2	0.535	4.9264	21	80.52
57	A0A075B6S2_PF07686_26_118	fpocket1	0.2	8.8594	18	96.75
58	A0A075B6S2_PF07686_26_118	fpocket8	0.524	5.1038	12	96.82
59	A0A075B6S4_PF07686_28_117	fpocket1	0.299	9.4832	19	95.53
60	A0A075B6S4_PF07686_28_117	fpocket5	0.102	3.0166	12	96.73
61	A0A075B6S5_PF07686_28_117	fpocket1	0.002	3.3062	16	98.04
62	A0A075B6S5_PF07686_28_117	fpocket3	0.226	8.2549	17	96.74
63	A0A075B6S6_PF07686_26_118	fpocket1	0.545	9.032	22	96.06
64	A0A075B6S6_PF07686_26_118	fpocket2	0.001	2.3132	13	97.59
65	A0A075B6S9_PF07686_28_115	fpocket1	0.254	6.6766	15	95.42
66	A0A075B6S9_PF07686_28_115	fpocket4	0.116	2.0774	11	96.56
67	A0A075B6T6_PF07686_27_113	fpocket1	0.486	7.0818	19	89.09
68	A0A075B6T6_PF07686_27_113	fpocket4	0.0	4.0002	14	78.99
69	A0A075B6T7_PF07686_45_132	fpocket3	0.122	6.3474	16	70.31
70	A0A075B6T7_PF07686_45_132	fpocket5	0.001	2.508	10	78.32
71	A0A075B6T8_PF07686_25_112	fpocket5	0.375	5.72	15	92.93
72	A0A075B6T8_PF07686_25_112	fpocket9	0.0	2.0438	12	90.59
73	A0A075B6U4_PF07686_27_112	fpocket1	0.234	9.6664	15	95.45
74	A0A075B6U4_PF07686_27_112	fpocket3	0.001	3.9534	8	89.73
75	A0A075B6V5_PF07686_27_113	fpocket1	0.352	5.955	16	95.53
76	A0A075B6V5_PF07686_27_113	fpocket2	0.001	2.502	13	96.84
77	A0A075B6W5_PF07686_34_121	fpocket1	0.045	9.7212	18	96.55
78	A0A075B6W5_PF07686_34_121	fpocket6	0.003	3.3763	14	95.82
79	A0A075B6X5_PF07686_25_111	fpocket1	0.648	7.879	17	95.08
80	A0A075B6X5_PF07686_25_111	fpocket4	0.117	4.6408	11	97.61
81	A0A075B759_PF00160_7_163	fpocket3	0.184	2.636	14	94.67
82	A0A075B759_PF00160_7_163	fpocket6	0.01	6.0637	17	94.67
83	A0A075B767_PF00160_7_163	fpocket3	0.001	3.2958	14	81.15
84	A0A075B767_PF00160_7_163	fpocket7	0.093	8.7098	17	95.82
85	A0A087WSX0_PF07686_24_123	fpocket1	0.132	7.7175	15	95.8
86	A0A087WSX0_PF07686_24_123	fpocket4	0.004	4.8326	20	76.14
87	A0A087WSY4_PF07686_24_118	fpocket1	0.776	6.4892	17	87.84
88	A0A087WSY4_PF07686_24_118	fpocket2	0.029	2.7712	14	93.23
89	A0A087WSY6_PF07686_26_114	fpocket1	0.393	12.4238	19	96.88
90	A0A087WSY6_PF07686_26_114	fpocket2	0.001	2.7039	12	97.52
91	A0A087WSZ0_PF07686_28_116	fpocket1	0.316	7.5108	19	95.58
92	A0A087WSZ0_PF07686_28_116	fpocket5	0.068	2.9622	11	97.45
93	A0A087WSZ9_PF07686_26_112	fpocket1	0.523	11.6535	17	93.35
94	A0A087WSZ9_PF07686_26_112	fpocket4	0.0	3.9107	12	94.17
95	A0A087WT01_PF07686_24_109	fpocket1	0.356	11.3385	18	94.81
96	A0A087WT01_PF07686_24_109	fpocket3	0.001	4.6892	16	90.14
97	A0A087WT02_PF07686_25_112	fpocket1	0.439	6.9397	17	94.7
98	A0A087WT02_PF07686_25_112	fpocket5	0.085	3.1033	11	89.29
99	A0A087WT03_PF07686_22_109	fpocket1	0.056	8.8925	20	94.56
100	A0A087WT03_PF07686_22_109	fpocket2	0.0	4.1363	14	92.17
101	A0A087WV53_PF07679_148_237	fpocket2	0.066	3.158	17	94.21
102	A0A087WV53_PF07679_148_237	fpocket4	0.0	1.3965	17	98.09
103	A0A087WV53_PF07679_54_144	fpocket3	0.478	3.4292	20	76.86
104	A0A087WV53_PF07679_54_144	fpocket4	0.004	2.1743	17	90.66
105	A0A087WV62_PF07686_25_115	fpocket1	0.386	6.9812	20	94.85
106	A0A087WV62_PF07686_25_115	fpocket6	0.0	3.3233	14	95.24
107	A0A087WW87_PF07686_26_120	fpocket1	0.268	7.7112	20	95.8
108	A0A087WW87_PF07686_26_120	fpocket4	0.363	2.0694	13	96.8
109	A0A087X0K7_PF07686_25_113	fpocket1	0.133	4.4328	16	94.5
110	A0A087X0K7_PF07686_25_113	fpocket9	0.06	3.5475	12	91.57
111	A0A087X0M5_PF07686_25_115	fpocket1	0.625	6.5322	21	95.48
112	A0A087X0M5_PF07686_25_115	fpocket5	0.0	2.248	13	94.1
113	A0A087X1C5_PF00067_345_512	fpocket14	0.964	17.7368	19	89.87
114	A0A087X1C5_PF00067_345_512	fpocket15	0.005	9.0213	14	94.05
115	A0A087X1C5_PF00067_34_332	fpocket14	0.222	10.9308	18	95.45
116	A0A087X1C5_PF00067_34_332	fpocket24	0.702	20.573	20	72.18
117	A0A096LNP1_PF13841_28_57	fpocket2	0.141	3.4609	11	80.12
118	A0A0A0MRZ7_PF07686_26_120	fpocket1	0.232	7.7495	20	94.91
119	A0A0A0MRZ7_PF07686_26_120	fpocket3	0.191	5.8367	9	97.25
120	A0A0A0MRZ8_PF07686_26_114	fpocket1	0.495	8.8517	21	95.81
