Uniprot ID 1	Uniprot ID 2	PocketVec distance	Exp. Prof, Jaccard Similarity
O00444	O00444	0.0	1.0
O00444	O14578	0.1779	0.0
O00444	O14757	0.1629	0.0
O00444	O14965	0.1572	0.2142857142857143
O00444	O14976	0.1891	0.09090909090909094
O00444	O15530	0.1696	0.0
O00444	O43930	0.1708	0.0
O00444	O75116	0.1586	0.0
O00444	O75385	0.1573	0.0
O00444	O75460	0.1514	0.0
O00444	O76039	0.1432	0.0
O00444	O94804	0.1659	0.0
O00444	O94806	0.2079	0.0
O00444	O95819	0.1571	0.0
O00444	O95835	0.1798	0.0
O00444	O96013	0.174	0.0
O00444	P05771	0.1646	0.0
O00444	P11309	0.151	0.0
O00444	P11802	0.1842	0.0
O00444	P17252	0.1641	0.0
O00444	P17612	0.1858	0.0
O00444	P19784	0.158	0.0
O00444	P22612	0.1701	0.1428571428571429
O00444	P22694	0.1812	0.0
O00444	P23443	0.1545	0.0
O00444	P24723	0.1575	0.0
O00444	P24941	0.1412	0.0
O00444	P27361	0.1541	0.0
O00444	P27448	0.1569	0.0
O00444	P28482	0.1433	0.0
O00444	P30291	0.1802	0.0
O00444	P31749	0.1567	0.0
O00444	P31751	0.1699	0.0
O00444	P33981	0.1569	0.0
O00444	P36507	0.1997	0.0
O00444	P36896	0.1828	0.0
O00444	P36897	0.1744	0.0
O00444	P45983	0.1769	0.0
O00444	P45984	0.1652	0.0
O00444	P49137	0.1385	0.0
O00444	P49759	0.1712	0.0
O00444	P49760	0.1365	0.0
O00444	P49761	0.1728	0.0
O00444	P49840	0.1584	0.125
O00444	P49841	0.1431	0.125
O00444	P50613	0.157	0.0
O00444	P50750	0.1714	0.0
O00444	P51817	0.167	0.0
O00444	P53350	0.1418	0.0
O00444	P53779	0.1551	0.0
O00444	P68400	0.134	0.0
O00444	Q00526	0.192	0.0
O00444	Q00535	0.1541	0.0
O00444	Q00536	0.1567	0.0
O00444	Q02156	0.1955	0.0
O00444	Q02750	0.162	0.0
O00444	Q04759	0.152	0.0
O00444	Q05655	0.1889	0.0
O00444	Q13043	0.1599	0.0
O00444	Q13131	0.147	0.0
O00444	Q13177	0.1721	0.0
O00444	Q13188	0.1603	0.0
O00444	Q13464	0.1726	0.0
O00444	Q13555	0.1406	0.0
O00444	Q13557	0.1685	0.0
O00444	Q13627	0.1843	0.0
O00444	Q13873	0.155	0.0
O00444	Q13976	0.1474	0.0
O00444	Q14004	0.1595	0.0
O00444	Q14680	0.1788	0.0
O00444	Q15131	0.1889	0.19999999999999996
O00444	Q15759	0.1748	0.0
O00444	Q15831	0.1784	0.0
O00444	Q16512	0.147	0.125
O00444	Q16513	0.1789	0.0
O00444	Q16539	0.1421	0.0
O00444	Q16644	0.151	0.0
O00444	Q2M2I8	0.1625	0.1428571428571429
O00444	Q5VT25	0.1862	0.0
O00444	Q6A1A2	0.15	0.0
O00444	Q6P5Z2	0.1772	0.0
O00444	Q6PHR2	0.1706	0.16666666666666663
O00444	Q7KZI7	0.144	0.0
O00444	Q7L7X3	0.181	0.0
O00444	Q8N4C8	0.1669	0.0
O00444	Q8NEV1	0.1696	0.0
O00444	Q8TD08	0.191	0.0
O00444	Q8TDX7	0.1662	0.0
O00444	Q92918	0.1568	0.16666666666666663
O00444	Q96GD4	0.1899	0.25
O00444	Q96L34	0.1499	0.0
O00444	Q96NX5	0.1922	0.0
O00444	Q96RR4	0.1556	0.0
O00444	Q9H093	0.1889	0.125
O00444	Q9H0K1	0.1704	0.09090909090909094
O00444	Q9H2K8	0.1698	0.0
O00444	Q9HAZ1	0.132	0.0
O00444	Q9NQU5	0.1736	0.0
O00444	Q9NSY1	0.1505	0.08333333333333337
O00444	Q9P289	0.1714	0.0
O00444	Q9UBE8	0.2069	0.0
O00444	Q9UK32	0.166	0.16666666666666663
O00444	Q9UKE5	0.1788	0.0
O00444	Q9UL54	0.1796	0.0
O00444	Q9UPZ9	0.1743	0.0
O00444	Q9Y243	0.1729	0.0
O00444	Q9Y2K2	0.1517	0.0
O00444	Q9Y572	0.1692	0.0
O00444	Q9Y5S2	0.1806	0.0
O00444	Q9Y616	0.1535	0.11111111111111116
O00444	Q9Y6E0	0.1848	0.0
O14578	O00444	0.1779	0.0
O14578	O14578	0.0	1.0
O14578	O14757	0.1538	0.0
O14578	O14965	0.1841	0.0
O14578	O14976	0.1648	0.1428571428571429
O14578	O15530	0.1836	0.0
O14578	O43930	0.1891	0.0
O14578	O75116	0.1749	0.0
O14578	O75385	0.1575	0.0
O14578	O75460	0.2072	0.0
O14578	O76039	0.1686	0.0
O14578	O94804	0.2117	0.0
O14578	O94806	0.2269	1.0
O14578	O95819	0.1864	0.0
O14578	O95835	0.2096	0.0
O14578	O96013	0.1766	0.0
O14578	P05771	0.17	0.0
O14578	P11309	0.1724	0.0
O14578	P11802	0.2036	0.0
O14578	P17252	0.1867	0.0
O14578	P17612	0.1561	0.0
O14578	P19784	0.1602	0.0
O14578	P22612	0.1573	0.0
O14578	P22694	0.2048	0.0
O14578	P23443	0.1853	0.0
O14578	P24723	0.1525	0.0
O14578	P24941	0.1803	0.0
O14578	P27361	0.1906	0.0
O14578	P27448	0.1943	0.0
O14578	P28482	0.1969	0.0
O14578	P30291	0.1838	0.0
O14578	P31749	0.2075	0.0
O14578	P31751	0.1906	0.0
O14578	P33981	0.1772	0.0
O14578	P36507	0.1943	0.0
O14578	P36896	0.1621	0.33333333333333337
O14578	P36897	0.1718	0.5
O14578	P45983	0.2045	0.0
