,strategy,pocket,PocketVec distance
0,AF2-PD,Q14582_PF00010_54_106_fpocket_4,0.1424
1,AF2-PD,P62308_PF01423_7_72_fpocket_2,0.1448
2,AF2-PD,Q9Y2L8_PF00096_577_599_fpocket_1,0.1483
3,AF2-PD,P41002_PF00646_32_72_fpocket_1,0.154
4,PDB-PD,P23469_PF00102_451_688_fpocket_3,0.1558
5,PDB-PD,Q92793_PF06001_1192_1231_fpocket_2,0.1562
6,AF2-PD,Q09472_PF06001_1156_1195_fpocket_2,0.1576
7,PDB-PD,P01833_PF07686_354_457_fpocket_1,0.1584
8,AF2-PD,Q05195_PF00010_57_109_fpocket_4,0.1588
9,PDB-PD,P04003_PF18453_541_589_fpocket_7,0.1591
10,AF2-PD,P68104_PF03143_333_442_fpocket_6,0.1594
11,PDB-PD,P08758_PF00191_174_240_fpocket_4,0.1601
12,AF2-PD,Q8N6Y0_PF10506_299_363_fpocket_3,0.1603
13,AF2-PD,Q15940_PF00096_158_180_fpocket_1,0.1614
14,AF2-PD,Q14257_PF13202_66_91_fpocket_1,0.1615
15,AF2-PD,Q9UGM3_PF00530_605_702_fpocket_4,0.162
16,AF2-PD,Q92953_PF02214_37_136_fpocket_4,0.1622
17,AF2-PD,O75093_PF00008_1047_1079_fpocket_1,0.1626
18,AF2-PD,A0A0K0K1E9_PF07686_25_114_fpocket_4,0.1627
19,AF2-PD,P51815_PF02023_45_134_fpocket_7,0.1628
20,AF2-PD,Q53EL9_PF00084_357_412_fpocket_1,0.1629
21,AF2-PD,Q14943_PF00047_227_307_fpocket_4,0.1636
22,AF2-PD,Q92793_PF06001_1192_1231_fpocket_1,0.1636
23,AF2-PD,Q9NZL3_PF00096_512_534_fpocket_2,0.1639
24,AF2-PD,P17693_PF07654_211_290_fpocket_3,0.1639
25,AF2-PD,Q96L34_PF02149_709_752_fpocket_2,0.1643
26,AF2-PD,Q01658_PF00808_11_75_fpocket_3,0.1643
27,AF2-PD,Q9UH99_PF18580_481_538_fpocket_2,0.1644
