Domain	# of ligands	Comma-separated ligands
A0FGR8_PF17047_191_370	2	EGC,PEE
A1Z1Q3_PF01661_88_201	1	AR6
A6NHR9_PF13589_139_295	1	ATP
A8MW92_PF02820_17_69	1	E3X
B2RXH2_PF02373_176_292	1	PD2
O00139_PF00225_229_553	2	ADP,ANP
O00141_PF00069_98_355	3	ANP,GMG,MMG
O00159_PF00063_48_718	1	AOV
O00167_PF00702_268_514	3	1RI,1SI,9FX
O00194_PF00071_11_183	1	GDP
O00204_PF00685_60_305	4	A3P,AND,NHE,PLO
O00212_PF00071_19_192	2	GDP,GNP
O00214_PF00337_18_151	3	4IU,5KM,SZS
O00238_PF07714_204_491	1	LDN
O00311_PF00069_58_221	3	0SX,0SY,ADP
O00338_PF00685_39_289	1	A3P
O00408_PF00233_655_888	35	19F,1L6,788,7OG,7OJ,7OP,7OV,7OY,7P4,7XS,7XV,7Y1,7Y4,87R,9GA,9GJ,C6Z,CZV,CZY,D07,DY1,EH9,EOG,EOJ,EOS,EOY,EP7,EPV,FKG,FKJ,FKV,IBM,Q2T,QMZ,QOQ
O00429_PF00350_28_217	3	GCP,GDP,GNH
O00444_PF00069_12_265	3	4J7,631,ANP
O00482_PF00104_330_523	13	470,71W,EPH,N1V,N27,N2J,P3A,P6L,PIZ,PLC,QU7,QY4,RJW
O00506_PF00069_20_270	1	J60
O00560_PF00595_198_270	2	JVK,K7Z
O00757_PF00316_12_199	2	96G,AMP
O14522_PF00102_912_1142	1	B3P
O14607_PF02373_1080_1188	3	K0I,MMK,S2I
O14717_PF00145_4_391	1	SAH
O14727_PF00931_129_374	3	ADP,ATP,DTP
O14733_PF00069_120_380	16	1FM,6HF,6HL,862,8E8,95U,FU6,H8Z,IHH,J0B,J0E,J3H,J3N,OQ2,OQ8,SU9
O14744_PF05185_295_464	27	0XU,3XV,4Z2,5QH,5QJ,5QK,5QL,81X,84W,85E,85K,97L,97X,ADN,CUX,F5J,K8H,K8N,MTA,SAH,SAM,SFG,WFM,WFS,WFV,ZR1,ZR4
O14744_PF17285_37_290	2	QN4,YJG
O14744_PF17286_467_635	2	QKY,QL1
O14757_PF00069_9_265	133	09H,12C,199,1AM,1AO,1HK,1KO,22K,2HK,306,373,38M,3A3,3B3,3C3,3D3,3DL,3DV,3DW,3DX,3FE,3HK,3X7,3XK,3XL,422,42C,43A,4HK,4K4,4UB,4YM,582,5BE,5CV,5HK,5UY,6HK,710,76A,77A,7CS,7HK,85A,A0Q,A0T,A1K,A1N,A25,A3H,A3K,A3Q,A42,A58,ABO,AGS,AGX,AGY,ANP,BVI,BWI,BXI,BYL,C72,C73,D4Q,D4Z,D58,DBQ,DF1,DF2,DFW,DFY,DFZ,H0K,H1K,H2K,H3K,H4K,H5K,H6K,H7K,H8K,HK0,HK1,HK3,HK4,HK5,HK6,HK7,HK8,HK9,HKC,HYM,IDZ,M54,MI5,PFP,PFQ,S25,STU,TQ1,TVT,TW2,TWH,TWK,U0N,U0Q,U0T,UCM,UCN,X8D,X8E,X8I,XEZ,YDI,YDJ,YDK,YEX,YM5,YM6,YM7,YM8,YVQ,YXD,ZY6,ZYQ,ZYR,ZYS,ZYT,ZYU,ZYV,ZYW
O14782_PF00225_16_265	1	ADP
O14786_PF00754_290_421	6	6K8,8DR,AAG,AR5,HRG,R40
O14792_PF00685_54_298	1	A3P
