Pfam domain	# of occurrences	Pfam domain Name
PF00096	5302	zinc finger, c2h2 type
PF00028	698	cadherin domain
PF00041	614	fibronectin type iii domain
PF07679	575	immunoglobulin i-set domain
PF07686	433	immunoglobulin v-set domain
PF00069	365	protein kinase domain
PF00076	338	rna recognition motif
PF00084	323	sushi repeat (scr repeat)
PF07645	296	calcium-binding egf domain
PF00008	258	egf-like domain
PF00046	249	homeodomain
PF13927	240	immunoglobulin domain
PF00435	237	spectrin repeat
PF00595	223	pdz domain
PF00168	223	c2 domain
PF00053	218	laminin egf domain
PF00169	208	ph domain
PF06758	197	olduvai domain
PF13912	173	c2h2-type zinc finger
PF00412	158	lim domain
PF00431	149	cub domain
PF00071	139	ras family
PF00651	138	btb/poz domain
PF07714	133	protein Tyr and Ser/Thr kinase
PF00018	132	sh3 domain
PF19030	129	thrombospondin type 1 domain
PF00089	125	trypsin
PF00090	124	thrombospondin type 1 domain
PF00059	116	lectin c-type domain
PF00017	110	sh2 domain
PF00271	107	helicase conserved c-terminal domain
PF00010	106	helix-loop-helix dna-binding domain
PF07654	104	immunoglobulin c1-set domain
PF00307	101	calponin homology (ch) domain
PF13895	100	immunoglobulin domain
PF00047	94	immunoglobulin domain
PF02210	91	laminin g domain
PF00092	90	von willebrand factor type a domain
PF00013	89	kh domain
PF13499	85	ef-hand domain pair
PF00005	80	abc transporter
PF00530	80	scavenger receptor cysteine-rich domain
PF14604	80	variant sh3 domain
PF00630	76	filamin/abp280 repeat
PF00628	74	phd-finger
PF00536	73	sam domain (sterile alpha motif)
PF00621	72	rhogef domain
PF00051	69	kringle domain
PF00270	69	dead/deah box helicase
PF00397	66	ww domain
PF00643	66	b-box zinc finger
PF12661	66	human growth factor-like egf
PF00620	66	rhogap domain
PF08266	65	cadherin-like
PF00130	64	phorbol esters/diacylglycerol binding domain (c1 domain)
PF01833	63	ipt/tig domain
PF12874	62	zinc-finger of c2h2 type
PF00067	62	cytochrome p450
PF16184	61	cadherin-like
PF00191	60	annexin
PF07707	60	btb and c-terminal kelch
PF02023	59	scan domain
PF00094	59	von willebrand factor type d domain
PF14670	57	coagulation factor xa inhibitory site
PF07653	57	variant sh3 domain
PF00093	56	von willebrand factor type c domain
PF00240	54	ubiquitin family
PF00439	53	bromodomain
PF00004	53	atpase family associated with various cellular activities (aaa)
PF08742	53	c8 domain
PF03160	52	calx-beta domain
PF00505	52	hmg (high mobility group) box
PF00102	51	protein-tyrosine phosphatase
PF13639	51	ring finger domain
PF00250	51	forkhead domain
PF02214	50	btb/poz domain
PF00104	48	ligand-binding domain of nuclear hormone receptor
PF13920	48	zinc finger, c3hc4 type (ring finger)
PF07648	47	kazal-type serine protease inhibitor domain
PF00373	47	ferm central domain
PF00787	47	px domain
PF00125	47	core histone h2a/h2b/h3/h4
PF00105	46	zinc finger, c4 type (two domains)
PF12662	46	complement clr-like egf-like
PF00225	46	kinesin motor domain
PF13894	46	c2h2-type zinc finger
PF01826	46	trypsin inhibitor like cysteine rich domain
PF15227	46	zinc finger of c3hc4-type, ring
PF00226	45	dnaj domain
PF00020	45	tnfr/ngfr cysteine-rich region
PF00106	45	short chain dehydrogenase
PF00626	44	gelsolin repeat
PF00085	44	thioredoxin
PF00048	44	small cytokines (intecrine/chemokine), interleukin-8 like
PF00098	43	zinc knuckle
PF00027	43	cyclic nucleotide-binding domain
PF00063	42	myosin head (motor domain)
PF00097	42	zinc finger, c3hc4 type (ring finger)
PF00030	40	beta/gamma crystallin
PF00179	40	ubiquitin-conjugating enzyme
PF13923	39	zinc finger, c3hc4 type (ring finger)
PF00079	39	serpin (serine protease inhibitor)
PF00782	39	dual specificity phosphatase, catalytic domain
PF07647	38	sam domain (sterile alpha motif)
PF01421	38	reprolysin (m12b) family zinc metalloprotease 
PF00019	37	transforming growth factor beta like domain
PF00615	37	regulator of g protein signaling domain
PF00629	36	mam domain, meprin/a5/mu
PF00567	36	tudor domain
PF00788	36	ras association (ralgds/af-6) domain
PF01477	35	plat/lh2 domain
PF07525	34	socs box
PF00061	34	lipocalin / cytosolic fatty-acid binding protein family
PF00685	33	sulfotransferase domain
PF02412	32	thrombospondin type 3 repeat
PF00035	32	double-stranded rna binding motif
PF00134	32	cyclin, n-terminal domain
PF08205	32	cd80-like c2-set immunoglobulin domain 
PF13833	32	ef-hand domain pair
PF00176	32	snf2-related domain
PF00386	32	c1q domain
PF00627	31	uba/ts-n domain
PF12947	31	egf domain
PF00531	31	death domain
PF00571	30	cbs domain
PF12937	30	f-box-like
PF00641	30	zn-finger in ran binding protein and others
PF01363	30	fyve zinc finger
PF00036	30	ef hand
PF00385	30	chromo (chrromatin organisation modifier) domain
PF02820	30	mbt repeat
PF00025	30	adp-ribosylation factor family
PF00754	30	f5/8 type c domain
PF00086	29	thyroglobulin type-1 repeat
PF06467	29	mym-type zinc finger with fcs sequence motif
PF00211	29	adenylate and guanylate cyclase catalytic domain
PF01412	29	putative gtpase activating protein for arf
PF00178	29	ets-domain
PF00249	28	myb-like dna-binding domain
PF13202	28	ef hand
PF17862	28	aaa+ lid domain
PF00619	28	caspase recruitment domain
PF00149	28	calcineurin-like phosphoesterase
PF00632	28	hect-domain (ubiquitin-transferase)
PF00640	28	phosphotyrosine interaction domain (ptb/pid)
PF01023	27	s-100/icabp type calcium binding domain
PF00646	27	f-box domain
PF00014	27	kunitz/bovine pancreatic trypsin inhibitor domain
PF01284	27	membrane-associating domain
PF09379	27	ferm n-terminal domain 
PF03372	26	endonuclease/exonuclease/phosphatase family
PF00581	26	rhodanese-like domain
PF13841	26	beta defensin
PF05729	25	nacht domain
PF00246	25	zinc carboxypeptidase
PF19236	25	adam cysteine-rich domain
PF00610	25	domain found in dishevelled, egl-10, and pleckstrin (dep)
PF00625	25	guanylate kinase
PF00254	25	fkbp-type peptidyl-prolyl cis-trans isomerase
PF14608	25	rna-binding, nab2-type zinc finger
PF09380	25	ferm c-terminal ph-like domain
PF00855	24	pwwp domain
PF07974	24	egf-like domain
PF00193	24	extracellular link domain
PF00147	24	fibrinogen beta and gamma chains, c-terminal globular domain
PF01392	24	fz domain
PF00091	24	tubulin/ftsz family, gtpase domain
PF00160	24	cyclophilin type peptidyl-prolyl cis-trans isomerase/cld
PF18720	23	tenascin egf domain
PF00095	23	wap-type (whey acidic protein) 'four-disulfide core'
PF00413	23	matrixin
PF00029	23	connexin
PF00652	22	ricin-type beta-trefoil lectin domain
PF02893	22	gram domain
PF00040	22	fibronectin type ii domain
PF00167	22	fibroblast growth factor
PF02758	22	paad/dapin/pyrin domain
PF00054	22	laminin g domain
PF00050	22	kazal-type serine protease inhibitor domain
PF00003	22	7 transmembrane sweet-taste receptor of 3 gcpr
PF02373	22	jmjc domain, hydroxylase
PF03953	22	tubulin c-terminal domain
PF00337	22	galactoside-binding lectin
PF00293	22	nudix domain
PF02469	21	fasciclin domain
PF01485	21	ibr domain, a half ring-finger domain
PF00031	21	cystatin domain
PF00233	21	3'5'-cyclic nucleotide phosphodiesterase
PF17820	21	pdz domain
PF13465	21	zinc-finger double domain
PF00021	21	u-par/ly-6 domain
PF00801	20	pkd domain
PF00561	20	alpha/beta hydrolase fold
PF00320	20	gata zinc finger
PF01471	20	putative peptidoglycan binding domain
PF00618	20	rasgef n-terminal motif
PF00200	20	disintegrin
PF00219	20	insulin-like growth factor binding protein
PF00009	20	elongation factor tu gtp binding domain
PF00638	20	ranbp1 domain
PF00129	19	class i histocompatibility antigen, domains alpha 1 and 2
PF01753	19	mynd finger
PF17771	19	adam cysteine-rich domain
PF13193	19	amp-binding enzyme c-terminal domain
PF00989	19	pas fold
PF01423	19	lsm domain 
PF15288	19	zinc knuckle
PF00227	19	proteasome subunit
PF17779	18	nod2 winged helix domain
PF00194	18	eukaryotic-type carbonic anhydrase
PF04408	18	helicase associated domain (ha2)
PF10613	18	ligated ion channel l-glutamate- and glycine-binding site
PF00690	18	cation transporter/atpase, n-terminus
PF00702	18	haloacid dehalogenase-like hydrolase
PF00248	18	aldo/keto reductase family
PF00569	18	zinc finger, zz type
PF12774	17	hydrolytic atp binding site of dynein motor region
PF17776	17	nlrc4 helical domain hd2
PF02037	17	sap domain
PF00157	17	pou domain - n-terminal to homeobox domain
PF07717	17	oligonucleotide/oligosaccharide-binding (ob)-fold
PF00155	17	aminotransferase class i and ii
PF00907	17	t-box
PF01759	17	unc-6/ntr/c345c module
PF01399	17	pci domain
PF00503	17	g-protein alpha subunit
PF18199	16	dynein heavy chain c-terminal domain
PF12780	16	p-loop containing dynein motor region d4
PF12775	16	p-loop containing dynein motor region
PF01302	16	cap-gly domain
PF00143	16	interferon alpha/beta domain
PF02984	16	cyclin, c-terminal domain
PF00300	16	histidine phosphatase superfamily (branch 1)
PF00927	16	transglutaminase family, c-terminal ig like domain
PF13804	16	retro-transcribing viruses envelope glycoprotein
PF00653	16	inhibitor of apoptosis domain
PF13909	16	c2h2-type zinc-finger domain
PF02518	16	histidine kinase-, dna gyrase b-, and hsp90-like atpase
PF00229	16	tnf(tumour necrosis factor) family 
PF00631	16	ggl domain
PF01217	16	clathrin adaptor complex small chain
PF17655	16	inward rectifier potassium channel c-terminal domain
PF01007	16	inward rectifier potassium channel transmembrane domain
PF03798	16	tlc domain
PF06602	16	myotubularin-like phosphatase domain
PF00055	16	laminin n-terminal (domain vi)
PF03028	15	dynein heavy chain region d6 p-loop domain 
PF17852	15	dynein heavy chain aaa lid domain
PF12781	15	atp-binding dynein motor region
PF12777	15	microtubule-binding stalk of dynein motor
PF01852	15	start domain
PF00066	15	lnr domain
PF00074	15	pancreatic ribonuclease
PF12714	15	tila domain
PF03456	15	udenn domain
PF13086	15	aaa domain
PF02798	15	glutathione s-transferase, n-terminal domain
PF02828	15	l27 domain
PF00135	15	carboxylesterase family
PF00350	15	dynamin family
PF00173	15	cytochrome b5-like heme/steroid binding domain
PF01388	15	arid/bright dna binding domain
PF01369	15	sec7 domain
PF00188	15	cysteine-rich secretory protein family
PF18198	14	dynein heavy chain aaa lid domain
PF02148	14	zn-finger in ubiquitin-hydrolases and other protein
PF00564	14	pb1 domain
PF00538	14	linker histone h1 and h5 family
PF00024	14	pan domain
PF00107	14	zinc-binding dehydrogenase
PF13620	14	carboxypeptidase regulatory-like domain
PF00378	14	enoyl-coa hydratase/isomerase
PF03144	14	elongation factor tu domain 2
PF02008	14	cxxc zinc finger domain
PF00656	14	caspase domain
PF02770	14	acyl-coa dehydrogenase, middle domain
PF14575	14	ephrin type-a receptor 2 transmembrane domain
PF01404	14	ephrin receptor ligand binding domain
PF13832	14	phd-zinc-finger like domain
PF03114	14	bar domain
PF02351	14	gdnf/gas1 domain
PF01590	14	gaf domain
PF00786	14	p21-rho-binding domain
PF00403	14	heavy-metal-associated domain
PF00650	14	cral/trio domain
PF02736	14	myosin n-terminal sh3-like domain
PF00007	14	cystine-knot domain
PF01067	14	calpain large subunit, domain iii
PF00131	14	metallothionein
PF10523	13	ben domain
PF07859	13	alpha/beta hydrolase fold
PF00077	13	retroviral aspartyl protease
PF00039	13	fibronectin type i domain
PF00406	13	adenylate kinase
PF08240	13	alcohol dehydrogenase groes-like domain
PF04969	13	cs domain
PF00112	13	papain family cysteine protease
PF00735	13	septin
PF01426	13	bah domain
PF13716	13	divergent cral/trio domain
PF02376	13	cut domain
PF00334	13	nucleoside diphosphate kinase
PF00789	13	ubx domain
PF03221	13	tc5 transposase dna-binding domain
PF01433	13	peptidase family m1 domain
PF01661	13	macro domain
PF00899	13	thif family
PF02319	13	e2f/dp family winged-helix dna-binding domain
PF00324	13	amino acid permease
PF00043	13	glutathione s-transferase, c-terminal domain
PF19028	12	spondin-like tsp1 domain
PF17857	12	aaa+ lid domain
PF18044	12	ccch-type zinc finger
PF00441	12	acyl-coa dehydrogenase, c-terminal domain
PF00232	12	glycosyl hydrolase family 1
PF01413	12	c-terminal tandem repeated domain in type 4 procollagen
PF00042	12	globin
PF00175	12	oxidoreductase nad-binding domain 
PF14555	12	uba-like domain
PF00313	12	'cold-shock' dna-binding domain
PF03455	12	ddenn domain
PF09279	12	phosphoinositide-specific phospholipase c, efhand-like
PF13087	12	aaa domain
PF00241	12	cofilin/tropomyosin-type actin-binding protein
PF03567	12	sulfotransferase family
PF00088	12	trefoil (p-type) domain
PF05485	12	thap domain
PF00850	12	histone deacetylase domain
PF00052	12	laminin b (domain iv)
PF08447	12	pas fold
PF00594	12	vitamin k-dependent carboxylation/gamma-carboxyglutamic (gla) domain
PF02174	12	ptb domain (irs-1 type)
PF03165	12	mh1 domain
PF00078	12	reverse transcriptase (rna-dependent dna polymerase)
PF00354	12	pentaxin family
PF07177	12	neuralized
PF17900	12	peptidase m1 n-terminal domain
PF13589	12	histidine kinase-, dna gyrase b-, and hsp90-like atpase
PF16746	12	bar domain of appl family
PF14429	11	c2 domain in dock180 and zizimin proteins
PF19317	11	gag protein p24 c-terminal domain
PF14787	11	gag-polyprotein viral zinc-finger
PF02263	11	guanylate-binding protein, n-terminal domain
PF02771	11	acyl-coa dehydrogenase, n-terminal domain
PF13561	11	enoyl-(acyl carrier protein) reductase
PF07992	11	pyridine nucleotide-disulphide oxidoreductase
PF00273	11	serum albumin family
PF07565	11	band 3 cytoplasmic domain
PF07732	11	multicopper oxidase
PF08686	11	plac (protease and lacunin) domain
PF02198	11	sterile alpha motif (sam)/pointed domain
PF01248	11	ribosomal protein l7ae/l30e/s12e/gadd45 family
PF01823	11	mac/perforin domain
PF01593	11	flavin containing amine oxidoreductase
PF01740	11	stas domain
PF13640	11	2og-fe(ii) oxygenase superfamily
PF14497	11	glutathione s-transferase, c-terminal domain
PF00082	11	subtilase family
PF13771	11	phd-like zinc-binding domain
PF16489	11	gpcr-autoproteolysis inducing (gain) domain
PF00568	11	wh1 domain
PF00049	11	insulin/igf/relaxin family
PF04218	11	cenp-b n-terminal dna-binding domain
PF07703	11	alpha-2-macroglobulin bait region domain
PF17791	11	macroglobulin domain mg3
PF07677	11	a-macroglobulin receptor binding domain
PF12906	11	ring-variant domain
PF07527	11	hairy orange
PF13768	11	von willebrand factor type a domain
PF07728	11	aaa domain (dynein-related subfamily)
PF12872	10	ost-hth/lotus domain
PF07258	10	comm domain
PF00607	10	gag protein p24 n-terminal domain
PF05773	10	rwd domain
PF02815	10	mir domain
PF13837	10	myb/sant-like dna-binding domain
PF00326	10	prolyl oligopeptidase family
PF02886	10	lbp / bpi / cetp family, c-terminal domain
PF04548	10	aig1 family
PF13671	10	aaa domain
PF13848	10	thioredoxin-like domain
PF00151	10	lipase
PF00575	10	s1 rna binding domain
PF13426	10	pas domain
PF16179	10	rel homology dimerisation domain
PF00554	10	rel homology dna-binding domain
PF08711	10	tfiis helical bundle-like domain
PF04212	10	mit (microtubule interacting and transport) domain
PF00075	10	rnase h
PF05193	10	peptidase m16 inactive domain
PF04089	10	brichos domain
PF08241	10	methyltransferase domain
PF01335	10	death effector domain
PF00068	10	phospholipase a2
PF01424	10	r3h domain
PF06268	10	fascin domain
PF00011	10	hsp20/alpha crystallin family
PF01979	10	amidohydrolase family
PF00364	10	biotin-requiring enzyme
PF03061	10	thioesterase superfamily
PF09011	10	hmg-box domain
PF18104	10	jumonji domain-containing protein 2a tudor domain
PF17789	10	macroglobulin domain mg4
PF02752	10	arrestin (or s-antigen), c-terminal domain
PF00339	10	arrestin (or s-antigen), n-terminal domain
PF03098	10	animal haem peroxidase
PF02170	9	paz domain
PF07546	9	emi domain
PF15711	9	interleukin-like emt inducer
PF01105	9	emp24/gp25l/p24 family/gold
PF02841	9	guanylate-binding protein, c-terminal domain
PF17855	9	mcm aaa-lid domain
PF00493	9	mcm p-loop domain
PF02257	9	rfx dna-binding domain
PF03727	9	hexokinase
PF00349	9	hexokinase
PF01266	9	fad dependent oxidoreductase
