Pocket Set	Domain	PDB	Chain	DOI hyperlink
PDB-LIG	A0FGR8_PF17047_191_370	4P42	A	http://doi.org/10.2210/pdb4P42/pdb
PDB-LIG	A1Z1Q3_PF01661_88_201	4IQY	A	http://doi.org/10.2210/pdb4IQY/pdb
PDB-LIG	A6NHR9_PF13589_139_295	6MW7	C	http://doi.org/10.2210/pdb6MW7/pdb
PDB-LIG	A8MW92_PF02820_17_69	6L1P	B	http://doi.org/10.2210/pdb6L1P/pdb
PDB-LIG	B2RXH2_PF02373_176_292	2W2I	A	http://doi.org/10.2210/pdb2W2I/pdb
PDB-LIG	O00139_PF00225_229_553	6BBN	E	http://doi.org/10.2210/pdb6BBN/pdb
PDB-LIG	O00141_PF00069_98_355	2R5T	A	http://doi.org/10.2210/pdb2R5T/pdb
PDB-LIG	O00159_PF00063_48_718	4BYF	A	http://doi.org/10.2210/pdb4BYF/pdb
PDB-LIG	O00167_PF00702_268_514	5ZMA	C	http://doi.org/10.2210/pdb5ZMA/pdb
PDB-LIG	O00194_PF00071_11_183	2F7S	B	http://doi.org/10.2210/pdb2F7S/pdb
PDB-LIG	O00204_PF00685_60_305	1Q20	A	http://doi.org/10.2210/pdb1Q20/pdb
PDB-LIG	O00212_PF00071_19_192	7KDC	A	http://doi.org/10.2210/pdb7KDC/pdb
PDB-LIG	O00214_PF00337_18_151	7P1M	A	http://doi.org/10.2210/pdb7P1M/pdb
PDB-LIG	O00238_PF07714_204_491	3MDY	A	http://doi.org/10.2210/pdb3MDY/pdb
PDB-LIG	O00311_PF00069_58_221	6YA6	A	http://doi.org/10.2210/pdb6YA6/pdb
PDB-LIG	O00338_PF00685_39_289	3BFX	A	http://doi.org/10.2210/pdb3BFX/pdb
PDB-LIG	O00408_PF00233_655_888	5U00	B	http://doi.org/10.2210/pdb5U00/pdb
PDB-LIG	O00429_PF00350_28_217	3W6P	B	http://doi.org/10.2210/pdb3W6P/pdb
PDB-LIG	O00444_PF00069_12_265	3COK	A	http://doi.org/10.2210/pdb3COK/pdb
PDB-LIG	O00482_PF00104_330_523	6VC2	A	http://doi.org/10.2210/pdb6VC2/pdb
PDB-LIG	O00506_PF00069_20_270	2XIK	A	http://doi.org/10.2210/pdb2XIK/pdb
PDB-LIG	O00560_PF00595_198_270	6R9H	A	http://doi.org/10.2210/pdb6R9H/pdb
PDB-LIG	O00757_PF00316_12_199	3IFA	A	http://doi.org/10.2210/pdb3IFA/pdb
PDB-LIG	O14522_PF00102_912_1142	2OOQ	A	http://doi.org/10.2210/pdb2OOQ/pdb
PDB-LIG	O14607_PF02373_1080_1188	4UF0	B	http://doi.org/10.2210/pdb4UF0/pdb
PDB-LIG	O14717_PF00145_4_391	1G55	A	http://doi.org/10.2210/pdb1G55/pdb
PDB-LIG	O14727_PF00931_129_374	1Z6T	B	http://doi.org/10.2210/pdb1Z6T/pdb
PDB-LIG	O14733_PF00069_120_380	6IB0	A	http://doi.org/10.2210/pdb6IB0/pdb
PDB-LIG	O14744_PF05185_295_464	6V0P	A	http://doi.org/10.2210/pdb6V0P/pdb
PDB-LIG	O14744_PF17285_37_290	6V0P	A	http://doi.org/10.2210/pdb6V0P/pdb
PDB-LIG	O14744_PF17286_467_635	6UXY	A	http://doi.org/10.2210/pdb6UXY/pdb
PDB-LIG	O14757_PF00069_9_265	2YEX	A	http://doi.org/10.2210/pdb2YEX/pdb
PDB-LIG	O14782_PF00225_16_265	3B6V	A	http://doi.org/10.2210/pdb3B6V/pdb
PDB-LIG	O14786_PF00754_290_421	5JGI	B	http://doi.org/10.2210/pdb5JGI/pdb
