	uniprot	numb domains	domains
0	A0A024RBG1	1	{'PF00293': 1}
1	A0A075B6H7	1	{'PF07686': 1}
2	A0A075B6H8	1	{'PF07686': 1}
3	A0A075B6H9	1	{'PF07686': 1}
4	A0A075B6I0	1	{'PF07686': 1}
5	A0A075B6I1	1	{'PF07686': 1}
6	A0A075B6I3	1	{'PF07686': 1}
7	A0A075B6I4	1	{'PF07686': 1}
8	A0A075B6I6	1	{'PF07686': 1}
9	A0A075B6I7	1	{'PF07686': 1}
10	A0A075B6I9	1	{'PF07686': 1}
11	A0A075B6J1	1	{'PF07686': 1}
12	A0A075B6J2	1	{'PF07686': 1}
13	A0A075B6J6	1	{'PF07686': 1}
14	A0A075B6J9	1	{'PF07686': 1}
15	A0A075B6K0	1	{'PF07686': 1}
16	A0A075B6K2	1	{'PF07686': 1}
17	A0A075B6K4	1	{'PF07686': 1}
18	A0A075B6K5	1	{'PF07686': 1}
19	A0A075B6K6	1	{'PF07686': 1}
20	A0A075B6L6	1	{'PF07686': 1}
21	A0A075B6N1	1	{'PF07686': 1}
22	A0A075B6N2	1	{'PF07686': 1}
23	A0A075B6N3	1	{'PF07686': 1}
24	A0A075B6N4	1	{'PF07686': 1}
25	A0A075B6P5	1	{'PF07686': 1}
26	A0A075B6Q5	1	{'PF07686': 1}
27	A0A075B6R0	1	{'PF07686': 1}
28	A0A075B6R2	1	{'PF07686': 1}
29	A0A075B6R9	1	{'PF07686': 1}
30	A0A075B6S2	1	{'PF07686': 1}
31	A0A075B6S4	1	{'PF07686': 1}
32	A0A075B6S5	1	{'PF07686': 1}
33	A0A075B6S6	1	{'PF07686': 1}
34	A0A075B6S9	1	{'PF07686': 1}
35	A0A075B6T6	1	{'PF07686': 1}
36	A0A075B6T7	1	{'PF07686': 1}
37	A0A075B6T8	1	{'PF07686': 1}
38	A0A075B6U4	1	{'PF07686': 1}
39	A0A075B6V5	1	{'PF07686': 1}
40	A0A075B6W5	1	{'PF07686': 1}
41	A0A075B6X5	1	{'PF07686': 1}
42	A0A075B759	1	{'PF00160': 1}
43	A0A075B767	1	{'PF00160': 1}
44	A0A087WSX0	1	{'PF07686': 1}
45	A0A087WSY4	1	{'PF07686': 1}
46	A0A087WSY6	1	{'PF07686': 1}
47	A0A087WSZ0	1	{'PF07686': 1}
48	A0A087WSZ9	1	{'PF07686': 1}
49	A0A087WT01	1	{'PF07686': 1}
50	A0A087WT02	1	{'PF07686': 1}
51	A0A087WT03	1	{'PF07686': 1}
52	A0A087WUL8	45	{'PF06758': 45}
53	A0A087WV53	2	{'PF07679': 2}
54	A0A087WV62	1	{'PF07686': 1}
55	A0A087WW87	1	{'PF07686': 1}
56	A0A087X0K7	1	{'PF07686': 1}
57	A0A087X0M5	1	{'PF07686': 1}
58	A0A087X1C5	2	{'PF00067': 2}
59	A0A096LNP1	1	{'PF13841': 1}
60	A0A0A0MRZ7	1	{'PF07686': 1}
61	A0A0A0MRZ8	1	{'PF07686': 1}
62	A0A0A0MRZ9	1	{'PF07686': 1}
63	A0A0A0MS00	1	{'PF07686': 1}
64	A0A0A0MS01	1	{'PF07686': 1}
65	A0A0A0MS02	1	{'PF07686': 1}
66	A0A0A0MS03	1	{'PF07686': 1}
67	A0A0A0MS04	1	{'PF07686': 1}
68	A0A0A0MS05	1	{'PF07686': 1}
69	A0A0A0MS06	1	{'PF07686': 1}
70	A0A0A0MS14	1	{'PF07686': 1}
71	A0A0A0MS15	1	{'PF07686': 1}
72	A0A0A0MT36	1	{'PF07686': 1}
73	A0A0A6YYC5	1	{'PF07686': 1}
74	A0A0A6YYD4	1	{'PF07686': 1}
75	A0A0A6YYG2	1	{'PF07686': 1}
76	A0A0A6YYG3	1	{'PF07686': 1}
77	A0A0A6YYJ7	1	{'PF07686': 1}
78	A0A0A6YYK1	1	{'PF07686': 1}
79	A0A0A6YYK4	1	{'PF07686': 1}
80	A0A0A6YYK6	1	{'PF07686': 1}
81	A0A0A6YYK7	1	{'PF07686': 1}
82	A0A0B4J1U3	1	{'PF07686': 1}
83	A0A0B4J1U4	1	{'PF07686': 1}
84	A0A0B4J1U6	1	{'PF07686': 1}
85	A0A0B4J1U7	1	{'PF07686': 1}
86	A0A0B4J1V0	1	{'PF07686': 1}
87	A0A0B4J1V1	1	{'PF07686': 1}
88	A0A0B4J1V2	1	{'PF07686': 1}
89	A0A0B4J1V6	1	{'PF07686': 1}
90	A0A0B4J1V7	1	{'PF07686': 1}
91	A0A0B4J1X5	1	{'PF07686': 1}
92	A0A0B4J1X8	1	{'PF07686': 1}
93	A0A0B4J1Y8	1	{'PF07686': 1}
94	A0A0B4J1Y9	1	{'PF07686': 1}
95	A0A0B4J1Z2	1	{'PF07686': 1}
96	A0A0B4J234	1	{'PF07686': 1}
97	A0A0B4J235	1	{'PF07686': 1}
98	A0A0B4J237	1	{'PF07686': 1}
99	A0A0B4J238	1	{'PF07686': 1}
100	A0A0B4J240	1	{'PF07686': 1}
101	A0A0B4J241	1	{'PF07686': 1}
102	A0A0B4J244	1	{'PF07686': 1}
103	A0A0B4J245	1	{'PF07686': 1}
104	A0A0B4J248	1	{'PF07686': 1}
105	A0A0B4J249	1	{'PF07686': 1}
106	A0A0B4J262	1	{'PF07686': 1}
107	A0A0B4J263	1	{'PF07686': 1}
108	A0A0B4J264	1	{'PF07686': 1}
109	A0A0B4J265	1	{'PF07686': 1}
110	A0A0B4J266	1	{'PF07686': 1}
111	A0A0B4J268	1	{'PF07686': 1}
112	A0A0B4J271	1	{'PF07686': 1}
